headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Corrections and clarifications,2021-09-30T20:00:10Z,<p>Winter Covid plans | Preppy style</p>,https://www.theguardian.com/news/2021/sep/30/corrections-and-clarifications,173,<p>Winter Covid plans | Preppy style</p>,News,News,article,Corrections and clarifications column editor,,news/2021/sep/30/corrections-and-clarifications
"Top Republicans rub shoulders with extremists in secretive rightwing group, leak reveals",2021-09-30T17:34:54Z,<p>Wealthy entrepreneurs and media moguls also named on membership list for influential Council for National Policy</p>,https://www.theguardian.com/us-news/2021/sep/30/revealed-council-national-policy-republicans-extremists,1240,<p>Wealthy entrepreneurs and media moguls also named on membership list for influential Council for National Policy</p>,US news,News,article,Jason Wilson,"Republicans, US news, World news, Donald Trump, US politics",us-news/2021/sep/30/revealed-council-national-policy-republicans-extremists
"Hydroxychloroquine sales spiked almost 100% in Australia at start of Covid pandemic, study finds",2021-09-30T17:30:08Z,"<p>There was also a rise in prescriptions for ivermectin being filled, despite no evidence either drug is effective against the virus</p>",https://www.theguardian.com/australia-news/2021/oct/01/hydroxychloroquine-sales-spiked-almost-100-in-australia-at-start-of-covid-pandemic-study-finds,646,"<p>There was also a rise in prescriptions for ivermectin being filled, despite no evidence either drug is effective against the virus</p>",Australia news,News,article,Donna Lu,"Health, Coronavirus, Drugs, Medical research, Australia news",australia-news/2021/oct/01/hydroxychloroquine-sales-spiked-almost-100-in-australia-at-start-of-covid-pandemic-study-finds
Josh Frydenberg’s podcast series begins with his log cabin story and an undiplomatic confession,2021-09-30T17:30:07Z,"<p>The treasurer’s account of his relentless rise could have been excruciating but fortunately we hit the 2019 election and a thought crime</p><ul><li><a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">Get our free news app</a>; <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email?CMP=cvau_sfl"">get our morning email briefing</a></li></ul>",https://www.theguardian.com/australia-news/2021/oct/01/josh-frydenbergs-podcast-series-begins-with-his-log-cabin-story-and-an-undiplomatic-confession,613,"<p>The treasurer’s account of his relentless rise could have been excruciating but fortunately we hit the 2019 election and a thought crime</p><ul><li><a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">Get our free news app</a>; <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email?CMP=cvau_sfl"">get our morning email briefing</a></li></ul>",Australia news,News,article,Katharine Murphy,"Josh Frydenberg, Australian politics, Podcasts, Australian media, Australia news",australia-news/2021/oct/01/josh-frydenbergs-podcast-series-begins-with-his-log-cabin-story-and-an-undiplomatic-confession
Republicans are about to lose Texas – so they’re changing the rules,2021-09-30T14:00:04Z,"<p>For years, Fort Bend county was a Republican bastion, but recently it has become more politically competitive as local organizers work against gerrymandering</p><ul><li><a href=""https://www.theguardian.com/us-news/2017/feb/22/us-politics-minute-sign-up-email-newsletter-app-notification"">Don’t already get Fight to Vote in your inbox? Sign up here</a></li></ul>",https://www.theguardian.com/us-news/2021/sep/30/republicans-texas-voting-rights-gerrymandering-fight-to-vote-newsletter,845,"<p>For years, Fort Bend county was a Republican bastion, but recently it has become more politically competitive as local organizers work against gerrymandering</p><ul><li><a href=""https://www.theguardian.com/us-news/2017/feb/22/us-politics-minute-sign-up-email-newsletter-app-notification"">Don’t already get Fight to Vote in your inbox? Sign up here</a></li></ul>",US news,News,article,Sam Levine in New York,"Texas, US politics, Republicans, US news, World news",us-news/2021/sep/30/republicans-texas-voting-rights-gerrymandering-fight-to-vote-newsletter
Arizona’s recount didn’t find more Trump votes. But Republicans got what they wanted,2021-09-30T13:32:39Z,<p>The sham audit actually increased Biden’s vote. But Arizona Republicans’ goal was never to overturn the last election – it was to lay the groundwork for overturning the next one</p>,https://www.theguardian.com/commentisfree/2021/sep/30/arizona-recount-republicans-got-what-they-wanted,1074,<p>The sham audit actually increased Biden’s vote. But Arizona Republicans’ goal was never to overturn the last election – it was to lay the groundwork for overturning the next one</p>,Opinion,Opinion,article,David Litt,"US politics, Republicans, Arizona",commentisfree/2021/sep/30/arizona-recount-republicans-got-what-they-wanted
First Thing: Joe Biden’s bold domestic agenda hangs in the balance,2021-09-30T10:47:11Z,"<p>The US president faces a crucial 24 hours over his social policy plans; plus, leak reveals top Republicans in group with extremists</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Don’t already get First Thing in your inbox? Sign up here</a></strong></li></ul>",https://www.theguardian.com/us-news/2021/sep/30/first-thing-joe-bidens-bold-domestic-agenda-hangs-in-the-balance,1397,"<p>The US president faces a crucial 24 hours over his social policy plans; plus, leak reveals top Republicans in group with extremists</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Don’t already get First Thing in your inbox? Sign up here</a></strong></li></ul>",US news,News,article,Mattha Busby,"US news, Joe Biden, Joe Manchin",us-news/2021/sep/30/first-thing-joe-bidens-bold-domestic-agenda-hangs-in-the-balance
Victoria to cut Pfizer interval as cases surge to record high – as it happened,2021-09-30T08:26:17Z,"<p><a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-6155097e8f089420bc4182de#block-6155097e8f089420bc4182de"">NSW extends stay-at-home orders</a> for 17 regional LGAs as state <a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-61550c758f089420bc4182fb#block-61550c758f089420bc4182fb"">records 941 cases</a>; South Australia records <a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-61555c8a8f089420bc4185e3#block-61555c8a8f089420bc4185e3"">one local case</a>; five Queensland areas <a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-6154fea48f083dd418e938eb#block-6154fea48f083dd418e938eb"">including Brisbane and Gold Coast</a> return to stage two restrictions. This blog is now closed</p><ul><li><a href=""https://www.theguardian.com/australia-news/2021/sep/30/australian-digital-seal-to-prove-covid-vaccine-status-for-travel-ready-in-weeks"">Australian ‘digital seal’ to prove Covid vaccine status for travel ‘ready in weeks’</a></li><li><a href=""https://www.theguardian.com/australia-news/2021/aug/30/nsw-covid-19-lockdown-restrictions-sydney-suburbs-regional-new-south-wales-lgas-act-canberra-update-coronavirus-face-mask-rules-explained-5km-radius-travel-masks"">NSW</a> and <a href=""https://www.theguardian.com/australia-news/2021/aug/30/victoria-lockdown-restrictions-covid-19-melbourne-coronavirus-new-rules-latest-update-covid19-explained-5km-radius-travel-face-masks-compulsory-exercising-home-gatherings-intimate-partner-what-you-need-to-know"">Vic restrictions</a>; <a href=""https://www.theguardian.com/australia-news/2021/aug/30/victoria-hotspots-covid-19-full-list-public-exposure-sites-melbourne-tier-1-2-3-vic-venues-case-location-alerts-metro-regional-coronavirus-cases-outbreak-locations"">Vic hotspots</a></li><li><a href=""https://www.theguardian.com/australia-news/ng-interactive/2021/aug/30/covid-19-vaccine-rollout-australia-vaccination-rate-progress-how-many-people-vaccinated-percent-tracker-australian-states-number-total-daily-live-data-stats-updates-news-schedule-tracking-chart-percentage-new-cases-today"">Vaccine rollout and rates tracker</a>;<a href=""https://www.theguardian.com/australia-news/datablog/ng-interactive/2021/sep/09/covid-19-australia-tracker-map-data-cases-today-coronavirus-tracking-stats-live-data-update-by-state-melbourne-regional-victoria-vic-sydney-nsw-how-many-new-active-case-numbers-statistics-deaths-death-toll""> Cases and data tracker</a></li><li><a href=""https://www.theguardian.com/australia-news/datablog/ng-interactive/2021/sep/15/5km-10km-from-home-radius-map-how-far-your-travel-limit-bubble-around-me-sydney-nsw-melbourne-victoria-vic-5-10-km-kilometre-calculator-tool-overlap-hotspot-lga-location"">5km to 25km from home map: check your travel radius</a></li><li><a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">Get our free news app</a>; <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email?CMP=cvau_sfl"">get our morning email briefing</a></li></ul>",https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination,9934,"<p><a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-6155097e8f089420bc4182de#block-6155097e8f089420bc4182de"">NSW extends stay-at-home orders</a> for 17 regional LGAs as state <a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-61550c758f089420bc4182fb#block-61550c758f089420bc4182fb"">records 941 cases</a>; South Australia records <a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-61555c8a8f089420bc4185e3#block-61555c8a8f089420bc4185e3"">one local case</a>; five Queensland areas <a href=""https://www.theguardian.com/australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination?page=with:block-6154fea48f083dd418e938eb#block-6154fea48f083dd418e938eb"">including Brisbane and Gold Coast</a> return to stage two restrictions. This blog is now closed</p><ul><li><a href=""https://www.theguardian.com/australia-news/2021/sep/30/australian-digital-seal-to-prove-covid-vaccine-status-for-travel-ready-in-weeks"">Australian ‘digital seal’ to prove Covid vaccine status for travel ‘ready in weeks’</a></li><li><a href=""https://www.theguardian.com/australia-news/2021/aug/30/nsw-covid-19-lockdown-restrictions-sydney-suburbs-regional-new-south-wales-lgas-act-canberra-update-coronavirus-face-mask-rules-explained-5km-radius-travel-masks"">NSW</a> and <a href=""https://www.theguardian.com/australia-news/2021/aug/30/victoria-lockdown-restrictions-covid-19-melbourne-coronavirus-new-rules-latest-update-covid19-explained-5km-radius-travel-face-masks-compulsory-exercising-home-gatherings-intimate-partner-what-you-need-to-know"">Vic restrictions</a>; <a href=""https://www.theguardian.com/australia-news/2021/aug/30/victoria-hotspots-covid-19-full-list-public-exposure-sites-melbourne-tier-1-2-3-vic-venues-case-location-alerts-metro-regional-coronavirus-cases-outbreak-locations"">Vic hotspots</a></li><li><a href=""https://www.theguardian.com/australia-news/ng-interactive/2021/aug/30/covid-19-vaccine-rollout-australia-vaccination-rate-progress-how-many-people-vaccinated-percent-tracker-australian-states-number-total-daily-live-data-stats-updates-news-schedule-tracking-chart-percentage-new-cases-today"">Vaccine rollout and rates tracker</a>;<a href=""https://www.theguardian.com/australia-news/datablog/ng-interactive/2021/sep/09/covid-19-australia-tracker-map-data-cases-today-coronavirus-tracking-stats-live-data-update-by-state-melbourne-regional-victoria-vic-sydney-nsw-how-many-new-active-case-numbers-statistics-deaths-death-toll""> Cases and data tracker</a></li><li><a href=""https://www.theguardian.com/australia-news/datablog/ng-interactive/2021/sep/15/5km-10km-from-home-radius-map-how-far-your-travel-limit-bubble-around-me-sydney-nsw-melbourne-victoria-vic-5-10-km-kilometre-calculator-tool-overlap-hotspot-lga-location"">5km to 25km from home map: check your travel radius</a></li><li><a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">Get our free news app</a>; <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email?CMP=cvau_sfl"">get our morning email briefing</a></li></ul>",Australia news,News,liveblog,"Josh Taylor (now), Donna Lu (earlier) and Mostafa Rachwani (earlier)","Australia news, New South Wales, Coronavirus, Victoria, Gladys Berejiklian, Health, Vaccines and immunisation, Queensland",australia-news/live/2021/sep/30/australia-covid-queensland-victoria-act-sydney-gladys-berejiklian-daniel-andrews-lockdown-nrl-football-league-vaccination
Tony Abbott says China tensions should not prevent Taiwan joining trade pact,2021-09-30T06:24:34Z,"<p>The former PM calls on the Australian government to urge the US to rejoin the Trans-Pacific Partnership and backs the UK to join</p><ul><li><a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">Get our free news app</a>; <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email?CMP=cvau_sfl"">get our morning email briefing</a></li></ul>",https://www.theguardian.com/australia-news/2021/sep/30/tony-abbott-says-china-tensions-should-not-prevent-taiwan-joining-trade-pact,790,"<p>The former PM calls on the Australian government to urge the US to rejoin the Trans-Pacific Partnership and backs the UK to join</p><ul><li><a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">Get our free news app</a>; <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email?CMP=cvau_sfl"">get our morning email briefing</a></li></ul>",Australia news,News,article,Daniel Hurst Foreign affairs and defence correspondent,"Tony Abbott, Australian politics, Australia news, China, Taiwan, Asia Pacific",australia-news/2021/sep/30/tony-abbott-says-china-tensions-should-not-prevent-taiwan-joining-trade-pact
"Sex, power and humiliation: eight lessons women learned from Monica Lewinsky’s shaming",2021-09-30T05:00:04Z,"<p>She was a 22-year-old intern, he was the most powerful man in the world – yet everyone blamed her for their affair. As the story is retold in a new drama, this is what that vicious period taught us</p>",https://www.theguardian.com/lifeandstyle/2021/sep/30/sex-power-and-humiliation-eight-lessons-women-learned-from-monica-lewinskys-shaming,2312,"<p>She was a 22-year-old intern, he was the most powerful man in the world – yet everyone blamed her for their affair. As the story is retold in a new drama, this is what that vicious period taught us</p>",Life and style,Lifestyle,article,Zoe Williams,"Women, Monica Lewinsky, US news, Bill Clinton, World news, Feminism, Life and style, Hillary Clinton, US politics",lifeandstyle/2021/sep/30/sex-power-and-humiliation-eight-lessons-women-learned-from-monica-lewinskys-shaming
