headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Stunning Rupert Murdoch deposition leaves Fox News in a world of trouble,2023-02-28T21:09:35Z,<p>Media mogul’s admission in Dominion Systems election case that he let cable network broadcast falsehoods stuns observers</p>,https://www.theguardian.com/media/2023/feb/28/rupert-murdoch-deposition-fox-news-dominion-voting-systems,1011,<p>Media mogul’s admission in Dominion Systems election case that he let cable network broadcast falsehoods stuns observers</p>,Media,News,article,Ed Pilkington,"Rupert Murdoch, US news, US politics, Media, Fox News",media/2023/feb/28/rupert-murdoch-deposition-fox-news-dominion-voting-systems
Supreme court justices appear skeptical about Biden’s student debt relief plan – as it happened,2023-02-28T21:05:20Z,"<p>Signature policy at risk as conservatives argue president does not have authority to lessen debt burden</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></strong></li></ul>",https://www.theguardian.com/us-news/live/2023/feb/28/student-debt-relief-supreme-court-biden-china-committee-live,3644,"<p>Signature policy at risk as conservatives argue president does not have authority to lessen debt burden</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></strong></li></ul>",US news,News,liveblog,Chris Stein in Washington,"US politics, US news, US supreme court, Republicans, Democrats, House of Representatives, US Congress, Joe Biden",us-news/live/2023/feb/28/student-debt-relief-supreme-court-biden-china-committee-live
Hasan Minhaj on Covid lab leak report: ‘How can you conclude with low confidence?’,2023-02-28T16:53:48Z,<p>Late-night hosts discuss the energy department’s Covid lab leak report and new evidence that Fox News anchors knowingly lied </p>,https://www.theguardian.com/culture/2023/feb/28/hasan-minhaj-covid-lab-leak-report-daily-show-recap,808,<p>Late-night hosts discuss the energy department’s Covid lab leak report and new evidence that Fox News anchors knowingly lied </p>,Culture,Arts,article,Adrian Horton,"Late-night TV roundup, Stephen Colbert, Seth Meyers, Jimmy Kimmel, TV comedy, Comedy, Culture, Television & radio, Television",culture/2023/feb/28/hasan-minhaj-covid-lab-leak-report-daily-show-recap
‘It’s just gotten crazy’: how the origins of Covid became a toxic US political debate,2023-02-28T14:03:24Z,"<p>New report supporting theory the coronavirus leaked from a Chinese lab has sparked the latest eruption in a long fight over how the virus started, clouding efforts to pursue a neutral, fact-based inquiry</p>",https://www.theguardian.com/world/2023/feb/28/lab-leak-natural-spillover-how-origins-covid-us-political-debate,1578,"<p>New report supporting theory the coronavirus leaked from a Chinese lab has sparked the latest eruption in a long fight over how the virus started, clouding efforts to pursue a neutral, fact-based inquiry</p>",World news,News,article,David Smith in Washington,"Coronavirus, US politics, US news, World news, Infectious diseases, Science, Microbiology, Medical research, Biology",world/2023/feb/28/lab-leak-natural-spillover-how-origins-covid-us-political-debate
Crikey examines Rupert Murdoch’s admission that Fox News hosts ‘endorsed’ US election lie,2023-02-28T14:00:09Z,"<p>Lawyers consider implications of patriarch’s testimony as they prepare to fight defamation suit brought by Lachlan Murdoch</p><ul><li><a href=""https://www.theguardian.com/australia-news/live/2023/mar/01/australia-live-news-politics-labor-coalition-infrastructure-nsw-perrottet-rajwinder-singh-cost-of-living-climate-transport-interest-inflation"">Follow our Australia news live blog for the latest updates</a></li><li>Get our <a href=""https://www.theguardian.com/australia-news/2022/oct/29/email-newsletters-guardian-australia-best-daily-news-emails-newsletter-free-sign-up-inbox-subscribe-headlines?CMP=cvau_sfl"">morning and afternoon news emails</a>, <a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul>",https://www.theguardian.com/media/2023/mar/01/crikey-examines-rupert-murdochs-admission-that-fox-news-hosts-endorsed-us-election-lie,658,"<p>Lawyers consider implications of patriarch’s testimony as they prepare to fight defamation suit brought by Lachlan Murdoch</p><ul><li><a href=""https://www.theguardian.com/australia-news/live/2023/mar/01/australia-live-news-politics-labor-coalition-infrastructure-nsw-perrottet-rajwinder-singh-cost-of-living-climate-transport-interest-inflation"">Follow our Australia news live blog for the latest updates</a></li><li>Get our <a href=""https://www.theguardian.com/australia-news/2022/oct/29/email-newsletters-guardian-australia-best-daily-news-emails-newsletter-free-sign-up-inbox-subscribe-headlines?CMP=cvau_sfl"">morning and afternoon news emails</a>, <a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul>",Media,News,article,Amanda Meade,"Lachlan Murdoch, News Corporation, Fox News, Law (Australia), Law (US), Media, Law, Australia news, Rupert Murdoch",media/2023/mar/01/crikey-examines-rupert-murdochs-admission-that-fox-news-hosts-endorsed-us-election-lie
First Thing: Settler violence in West Bank escalates ,2023-02-28T11:49:41Z,"<p>Rampage in Palestinian village likened to ‘Kristallnacht in Huwara’ with one dead and 350 hurt. Plus, what’s the ethical alternative to veganism?</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Don’t already get First Thing in your inbox? Sign up here</a></strong></li></ul>",https://www.theguardian.com/us-news/2023/feb/28/first-thing-settler-violence-in-west-bank-escalates,1422,"<p>Rampage in Palestinian village likened to ‘Kristallnacht in Huwara’ with one dead and 350 hurt. Plus, what’s the ethical alternative to veganism?</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Don’t already get First Thing in your inbox? Sign up here</a></strong></li></ul>",US news,News,article,Nicola Slawson,US news,us-news/2023/feb/28/first-thing-settler-violence-in-west-bank-escalates
Ron DeSantis takes control of Disney’s governing district after ‘don’t say gay’ row,2023-02-28T07:45:58Z,<p>Move comes after Florida governor lashed out at theme park’s protest of law restricting sexual orientation discussion in schools</p>,https://www.theguardian.com/us-news/2023/feb/27/florida-desantis-walt-disney-world-self-governing-district,675,<p>Move comes after Florida governor lashed out at theme park’s protest of law restricting sexual orientation discussion in schools</p>,US news,News,article,Ed Pilkington,"Ron DeSantis, Walt Disney Company, Florida, US news, US politics, Republicans",us-news/2023/feb/27/florida-desantis-walt-disney-world-self-governing-district
Undocumented ex-US border patrol agent helps veterans facing deportation ,2023-02-28T06:00:12Z,"<p>Raul Rodriguez, 54, was fired after confirming with his father that his US birth certificate was a fake</p>",https://www.theguardian.com/us-news/2023/feb/28/us-border-patrol-agent-undocumented-veterans-deportation,747,"<p>Raul Rodriguez, 54, was fired after confirming with his father that his US birth certificate was a fake</p>",US news,News,article,Ramon Antonio Vargas,"US immigration, US news",us-news/2023/feb/28/us-border-patrol-agent-undocumented-veterans-deportation
Rupert Murdoch testified that Fox News hosts ‘endorsed’ stolen election narrative,2023-02-28T02:00:11Z,<p>Network owner also admitted in $1.6bn defamation lawsuit deposition that Trump’s claims were ‘damaging to everybody’</p>,https://www.theguardian.com/media/2023/feb/27/rupert-murdoch-deposition-dominion-lawsuit-fox-news,591,<p>Network owner also admitted in $1.6bn defamation lawsuit deposition that Trump’s claims were ‘damaging to everybody’</p>,Media,News,article,Dani Anguiano in Los Angeles,"Rupert Murdoch, Fox News, US elections 2020, Donald Trump, US news, Media, US politics, TV news, Television industry",media/2023/feb/27/rupert-murdoch-deposition-dominion-lawsuit-fox-news
Marianne Williamson to run for president again to ‘help repair America’,2023-02-28T00:09:16Z,<p>Self-help author who brought quirky spiritualism to the 2020 presidential race becomes first Democrat to challenge Biden</p>,https://www.theguardian.com/us-news/2023/feb/27/marianne-williamson-2024-white-house-race,400,<p>Self-help author who brought quirky spiritualism to the 2020 presidential race becomes first Democrat to challenge Biden</p>,US news,News,article,Guardian staff and agency,"US elections 2024, Marianne Williamson, US news, US politics, Joe Biden, Democrats",us-news/2023/feb/27/marianne-williamson-2024-white-house-race
