headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Covid news: UK health secretary says mandatory vaccination for NHS workers ‘no longer proportionate’ – as it happened,2022-01-31T22:44:09Z,"<p><strong>This blog is now closed</strong></p><p>Sajid Javid says says mandatory jabs were ‘<a href=""https://www.theguardian.com/world/live/2022/jan/31/covid-live-news-china-detects-37-cases-among-olympics-personnel-canada-investigates-anti-vaccine-protesters?page=with:block-61f829c78f0893aa7aee8532#block-61f829c78f0893aa7aee8532"">right policy at the time</a>’ but announces review</p><ul><li><a href=""https://www.theguardian.com/world/2022/jan/31/austria-lifts-lockdown-of-unvaccinated-as-europe-opens-up-covid"">Austria lifts ‘lockdown of the unvaccinated’ as Europe slowly opens up</a></li><li><a href=""https://www.theguardian.com/society/2022/jan/31/ministers-plan-to-scrap-vaccine-mandate-for-nhs-staff-in-england"">Ministers plan to scrap vaccine mandate for NHS staff in England</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/canada-anti-vaccine-protests-criminal-charges"">Canada investigating anti-vaxxers for allegedly desecrating monuments</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/beijing-seals-off-several-communities-over-two-cases-of-covid-19"">Beijing seals off several communities over two cases of Covid-19</a></li></ul>",https://www.theguardian.com/world/live/2022/jan/31/covid-live-news-china-detects-37-cases-among-olympics-personnel-canada-investigates-anti-vaccine-protesters,7411,"<p><strong>This blog is now closed</strong></p><p>Sajid Javid says says mandatory jabs were ‘<a href=""https://www.theguardian.com/world/live/2022/jan/31/covid-live-news-china-detects-37-cases-among-olympics-personnel-canada-investigates-anti-vaccine-protesters?page=with:block-61f829c78f0893aa7aee8532#block-61f829c78f0893aa7aee8532"">right policy at the time</a>’ but announces review</p><ul><li><a href=""https://www.theguardian.com/world/2022/jan/31/austria-lifts-lockdown-of-unvaccinated-as-europe-opens-up-covid"">Austria lifts ‘lockdown of the unvaccinated’ as Europe slowly opens up</a></li><li><a href=""https://www.theguardian.com/society/2022/jan/31/ministers-plan-to-scrap-vaccine-mandate-for-nhs-staff-in-england"">Ministers plan to scrap vaccine mandate for NHS staff in England</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/canada-anti-vaccine-protests-criminal-charges"">Canada investigating anti-vaxxers for allegedly desecrating monuments</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/beijing-seals-off-several-communities-over-two-cases-of-covid-19"">Beijing seals off several communities over two cases of Covid-19</a></li></ul>",World news,News,liveblog,"Rachel Hall, Tom Ambrose, Elias Visontay and Helen Livingstone","Coronavirus, World news, China, Winter Olympics, Canada",world/live/2022/jan/31/covid-live-news-china-detects-37-cases-among-olympics-personnel-canada-investigates-anti-vaccine-protesters
"Morning mail: unboosted aged care residents dominate Covid toll, UK warning to Moscow, and unapproved rapid tests",2022-01-31T19:59:43Z,"<p><strong>Tuesday</strong>: Nearly half of Australia’s aged care homes grapple with outbreaks as the government defends missing its booster rollout deadline. Plus what’s new to streaming this month</p><ul><li><em>If you would like to receive the Guardian Australia morning mail to your email inbox every weekday, <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email"">sign up here</a>.</em></li></ul>",https://www.theguardian.com/australia-news/2022/feb/01/morning-mail-unboosted-aged-care-residents-dominate-covid-toll-uk-warning-to-moscow-and-unapproved-rapid-tests,1244,"<p><strong>Tuesday</strong>: Nearly half of Australia’s aged care homes grapple with outbreaks as the government defends missing its booster rollout deadline. Plus what’s new to streaming this month</p><ul><li><em>If you would like to receive the Guardian Australia morning mail to your email inbox every weekday, <a href=""https://www.theguardian.com/world/guardian-australia-morning-mail/2014/jun/24/-sp-guardian-australias-morning-mail-subscribe-by-email"">sign up here</a>.</em></li></ul>",Australia news,News,article,Melissa Godin,,australia-news/2022/feb/01/morning-mail-unboosted-aged-care-residents-dominate-covid-toll-uk-warning-to-moscow-and-unapproved-rapid-tests
Ukraine crisis: UK considering further military deployments and ‘unprecedented’ sanctions – as it happened,2022-01-31T18:38:16Z,"<p>British foreign secretary Liz Truss says ‘those in and around the Kremlin will have nowhere to hide’</p><ul><li><a href=""https://www.theguardian.com/world/2022/jan/31/liz-truss-vows-nowhere-to-hide-for-putin-allies-if-ukraine-invaded"">Liz Truss vows ‘nowhere to hide’ for Putin allies if Ukraine invaded</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/us-to-target-putins-inner-circle-with-sanctions-in-event-of-ukraine-invasion"">US to target Putin inner circle with sanctions in event of Ukraine invasion</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/viktor-orban-hungarian-pm-vladimir-putin-moscow-russia-visit"">Hungarian PM Orbán to visit ally Putin in Moscow</a></li></ul>",https://www.theguardian.com/world/live/2022/jan/31/ukraine-russia-crisis-live-diplomatic-face-off-expected-at-first-un-security-council-meeting,4415,"<p>British foreign secretary Liz Truss says ‘those in and around the Kremlin will have nowhere to hide’</p><ul><li><a href=""https://www.theguardian.com/world/2022/jan/31/liz-truss-vows-nowhere-to-hide-for-putin-allies-if-ukraine-invaded"">Liz Truss vows ‘nowhere to hide’ for Putin allies if Ukraine invaded</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/us-to-target-putins-inner-circle-with-sanctions-in-event-of-ukraine-invasion"">US to target Putin inner circle with sanctions in event of Ukraine invasion</a></li><li><a href=""https://www.theguardian.com/world/2022/jan/31/viktor-orban-hungarian-pm-vladimir-putin-moscow-russia-visit"">Hungarian PM Orbán to visit ally Putin in Moscow</a></li></ul>",World news,News,liveblog,Oliver Holmes,"Ukraine, World news, Europe, Russia, US news",world/live/2022/jan/31/ukraine-russia-crisis-live-diplomatic-face-off-expected-at-first-un-security-council-meeting
Quiet part loud: Trump says Pence ‘could have overturned the election’,2022-01-31T15:41:22Z,"<p>In statement protesting against reform of Electoral Count Act, ex-president appears to admit Joe Biden won</p>",https://www.theguardian.com/us-news/2022/jan/31/donald-trump-mike-pence-overturn-election,663,"<p>In statement protesting against reform of Electoral Count Act, ex-president appears to admit Joe Biden won</p>",US news,News,article,Martin Pengelly in New York,"Donald Trump, US elections 2020, US elections 2024, US politics, US news, World news, Republicans, US Congress, US Senate",us-news/2022/jan/31/donald-trump-mike-pence-overturn-election
Johnson still seeking to control image in eye of partygate storm,2022-01-31T15:05:14Z,"<p><strong>Analysis:</strong> the PM will continue to avoid press while his political life is threatened by row over lockdown parties</p><ul><li><a href=""https://www.theguardian.com/uk-news/2022/jan/31/sue-gray-report-into-downing-street-parties"">Read Sue Gray’s report</a></li><li><a href=""https://www.theguardian.com/politics/live/2022/jan/31/uk-politics-live-omicron-nhs-workers-coronavirus-vaccines-no-10-sue-gray-report"">Today’s politics news – live updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/politics/2022/jan/31/expect-johnson-to-hide-in-his-bunker-until-hes-weathered-the-storm,499,"<p><strong>Analysis:</strong> the PM will continue to avoid press while his political life is threatened by row over lockdown parties</p><ul><li><a href=""https://www.theguardian.com/uk-news/2022/jan/31/sue-gray-report-into-downing-street-parties"">Read Sue Gray’s report</a></li><li><a href=""https://www.theguardian.com/politics/live/2022/jan/31/uk-politics-live-omicron-nhs-workers-coronavirus-vaccines-no-10-sue-gray-report"">Today’s politics news – live updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Politics,News,article,Heather Stewart Political editor,"Boris Johnson, Coronavirus, Politics, UK news, Media, Gray report",politics/2022/jan/31/expect-johnson-to-hide-in-his-bunker-until-hes-weathered-the-storm
Kamala Harris drove within yards of pipe bomb on January 6 – report,2022-01-31T14:38:51Z,"<p>Then vice-president elect remained inside DNC for nearly two hours before bomb was found, new details by CNN reveal</p>",https://www.theguardian.com/us-news/2022/jan/31/kamala-harris-pipe-bomb-january-6-report,444,"<p>Then vice-president elect remained inside DNC for nearly two hours before bomb was found, new details by CNN reveal</p>",US news,News,article,Martin Pengelly in New York,"Kamala Harris, US news, US Capitol attack, US politics, Joe Biden",us-news/2022/jan/31/kamala-harris-pipe-bomb-january-6-report
Norma Waterson obituary,2022-01-31T13:55:03Z,Celebrated singer of traditional English folk music whose embrace of other musical styles won her a wide following,https://www.theguardian.com/music/2022/jan/31/norma-waterson-obituary,1302,Celebrated singer of traditional English folk music whose embrace of other musical styles won her a wide following,Music,Arts,article,Robin Denselow,"Music, Culture, Folk music, Jazz, Mercury prize, Awards and prizes, Norma Waterson, Eliza Carthy",music/2022/jan/31/norma-waterson-obituary
Hungarian PM Orbán to visit ally Putin in Moscow,2022-01-31T11:52:10Z,"<p>Seen as Putin’s closest EU ally, his meeting with  Russian president will be watched nervously in Europe’s capitals</p>",https://www.theguardian.com/world/2022/jan/31/viktor-orban-hungarian-pm-vladimir-putin-moscow-russia-visit,900,"<p>Seen as Putin’s closest EU ally, his meeting with  Russian president will be watched nervously in Europe’s capitals</p>",World news,News,article,Shaun Walker in Budapest,"Viktor Orbán, Hungary, Russia, Vladimir Putin, Ukraine, European Union, Europe, World news",world/2022/jan/31/viktor-orban-hungarian-pm-vladimir-putin-moscow-russia-visit
First Thing: inquiry into US Covid response has bipartisan support,2022-01-31T10:57:01Z,"<p>New Covid commission would inform US response to future outbreaks as well as current impact of the virus. Plus, the intimacy famine</p>",https://www.theguardian.com/us-news/2022/jan/31/first-thing-inquiry-into-us-covid-response-has-bipartisan-support,1213,"<p>New Covid commission would inform US response to future outbreaks as well as current impact of the virus. Plus, the intimacy famine</p>",US news,News,article,Nicola Slawson,US news,us-news/2022/jan/31/first-thing-inquiry-into-us-covid-response-has-bipartisan-support
Texas Democrat tied to Azerbaijan inquiry faces tough primary election contest,2022-01-31T10:00:47Z,<p>An FBI raid could give Henry Cuellar’s progressive challenger a primary boost – but a Cuellar loss could open the door for Republicans</p>,https://www.theguardian.com/us-news/2022/jan/31/texas-democrat-henry-cuellar,1063,<p>An FBI raid could give Henry Cuellar’s progressive challenger a primary boost – but a Cuellar loss could open the door for Republicans</p>,US news,News,article,Carlos Sanchez,"US news, World news, Texas, Democrats",us-news/2022/jan/31/texas-democrat-henry-cuellar
