headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Arizona’s top election official seeks investigation into Republican Kari Lake,2023-01-31T21:49:49Z,"<p>Losing gubernatorial candidate may have violated a state law that protects voter’s signatures, Democrat Adrian Fontes says</p>",https://www.theguardian.com/us-news/2023/jan/31/kari-lake-investigation-arizona-elections-official,338,"<p>Losing gubernatorial candidate may have violated a state law that protects voter’s signatures, Democrat Adrian Fontes says</p>",US news,News,article,Rachel Leingang,"Arizona, US politics, Republicans, Democrats, US news",us-news/2023/jan/31/kari-lake-investigation-arizona-elections-official
Trump says in video ‘anyone in my position not taking the fifth would be an absolute fool’ – as it happened,2023-01-31T21:00:23Z,"<ul><li>Ex-president repeatedly asserts right against self-incrimination</li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",https://www.theguardian.com/us-news/live/2023/jan/31/biden-end-covid-emergency-reproductive-health-crisis-politics-live-updates,4133,"<ul><li>Ex-president repeatedly asserts right against self-incrimination</li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",US news,News,liveblog,Chris Stein in Washington,"US politics, Donald Trump, US news, Joe Biden, Coronavirus, US domestic policy, House of Representatives, US Congress, World news, New York, Donald Trump trials",us-news/live/2023/jan/31/biden-end-covid-emergency-reproductive-health-crisis-politics-live-updates
Corrections and clarifications,2023-01-31T21:00:00Z,<p>Barbara Kruger | Chalfont and Latimer station</p>,https://www.theguardian.com/news/2023/jan/31/corrections-and-clarifications,211,<p>Barbara Kruger | Chalfont and Latimer station</p>,News,News,article,Corrections and clarifications column editor,,news/2023/jan/31/corrections-and-clarifications
Judge who told Pence not to overturn election predicts ‘beginning of end of Trump’,2023-01-31T20:19:14Z,"<p>‘What Trump has done is quite arguably the worst crime against the US that a president could commit,’ says J Michael Luttig</p>",https://www.theguardian.com/us-news/2023/jan/31/trump-beginning-end-judge-predicts,562,"<p>‘What Trump has done is quite arguably the worst crime against the US that a president could commit,’ says J Michael Luttig</p>",US news,News,article,Martin Pengelly in New York,"Donald Trump, US news, US Capitol attack, Mike Pence, US politics, US elections 2020, US elections 2024, Donald Trump trials",us-news/2023/jan/31/trump-beginning-end-judge-predicts
"Russia-Ukraine war: France to send extra howitzers; military casualties from both sides ‘total 200,000’ – as it happened",2023-01-31T18:55:12Z,"<p>This live blog has now closed, you can <a href=""https://www.theguardian.com/world/ukraine"">read the latest from the war in Ukraine here</a></p>",https://www.theguardian.com/world/live/2023/jan/31/russia-ukraine-war-live-biden-says-the-us-will-not-provide-f-16-fighter-jets-to-ukraine,7839,"<p>This live blog has now closed, you can <a href=""https://www.theguardian.com/world/ukraine"">read the latest from the war in Ukraine here</a></p>",World news,News,liveblog,Léonie Chao-Fong (now); Martin Belam and Helen Sullivan (earlier),"Ukraine, Russia, World news, Europe",world/live/2023/jan/31/russia-ukraine-war-live-biden-says-the-us-will-not-provide-f-16-fighter-jets-to-ukraine
US and UK rule out sending fighter jets to Ukraine,2023-01-31T18:30:29Z,"<p>Refusals deal significant blow to Kyiv’s efforts to bolster military capability in war with Russia</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/jan/31/russia-ukraine-war-live-biden-says-the-us-will-not-provide-f-16-fighter-jets-to-ukraine"">Russia-Ukraine war – latest news updates</a></li></ul>",https://www.theguardian.com/world/2023/jan/31/us-will-not-supply-f-16-fighter-jets-to-ukraine-says-joe-biden,755,"<p>Refusals deal significant blow to Kyiv’s efforts to bolster military capability in war with Russia</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/jan/31/russia-ukraine-war-live-biden-says-the-us-will-not-provide-f-16-fighter-jets-to-ukraine"">Russia-Ukraine war – latest news updates</a></li></ul>",World news,News,article,Dan Sabbagh in Kyiv,"Ukraine, Russia, Joe Biden, US foreign policy, US news, Europe, World news",world/2023/jan/31/us-will-not-supply-f-16-fighter-jets-to-ukraine-says-joe-biden
"Trump pleaded the fifth more than 400 times in fraud deposition, video shows",2023-01-31T18:22:16Z,<p>Former president repeatedly invoked constitutional right against self-incrimination in New York footage from late last summer</p>,https://www.theguardian.com/us-news/2023/jan/31/trump-news-pleads-fifth-video-new-york-fraud-deposition,829,<p>Former president repeatedly invoked constitutional right against self-incrimination in New York footage from late last summer</p>,US news,News,article,Martin Pengelly in New York,"Donald Trump, US news, New York, US politics, World news, Donald Trump trials",us-news/2023/jan/31/trump-news-pleads-fifth-video-new-york-fraud-deposition
Kimmel on Trump 2024: ‘Kind of sad – like when Michael Jordan went to play for the Wizards’,2023-01-31T16:27:13Z,"<p>Late-night hosts discuss Trump’s 2024 campaign, even more George Santos lies and the police killing of Tyre Nichols</p>",https://www.theguardian.com/culture/2023/jan/31/jimmy-kimmel-trump-stephen-colbert-seth-meyers-late-night,886,"<p>Late-night hosts discuss Trump’s 2024 campaign, even more George Santos lies and the police killing of Tyre Nichols</p>",Culture,Arts,article,Guardian staff,"Late-night TV roundup, Stephen Colbert, Seth Meyers, Jimmy Kimmel, TV comedy, Comedy, Culture, Television & radio, Television",culture/2023/jan/31/jimmy-kimmel-trump-stephen-colbert-seth-meyers-late-night
Donald Trump sues Bob Woodward over The Trump Tapes for $50m,2023-01-31T15:43:33Z,<p>Washington Post reporter and publisher Simon &amp; Schuster say lawsuit ‘without merit … we will aggressively defend against it’</p>,https://www.theguardian.com/media/2023/jan/31/donald-trump-sues-bob-woodward-over-the-trump-tapes-for-50m,668,<p>Washington Post reporter and publisher Simon &amp; Schuster say lawsuit ‘without merit … we will aggressively defend against it’</p>,Books,Arts,article,Martin Pengelly in New York,"Books, Bob Woodward, Donald Trump, Media, US news, US politics, Politics books, US press and publishing, World news, Donald Trump trials",media/2023/jan/31/donald-trump-sues-bob-woodward-over-the-trump-tapes-for-50m
Trump seems oddly relaxed about Republican rival Nikki Haley. Is it because she doesn’t stand a chance?,2023-01-31T15:11:25Z,"<p>Ron DeSantis would supposedly be ‘disloyal’ if he challenged Trump for the White House. Haley, meanwhile, ‘should do it’. Guess who’s a bigger threat?</p>",https://www.theguardian.com/commentisfree/2023/jan/31/trump-seems-oddly-relaxed-about-republican-rival-nikki-haley-is-it-because-she-doesnt-stand-a-chance,714,"<p>Ron DeSantis would supposedly be ‘disloyal’ if he challenged Trump for the White House. Haley, meanwhile, ‘should do it’. Guess who’s a bigger threat?</p>",Opinion,Opinion,article,Arwa Mahdawi,"US politics, US news, Donald Trump, Republicans, Ron DeSantis",commentisfree/2023/jan/31/trump-seems-oddly-relaxed-about-republican-rival-nikki-haley-is-it-because-she-doesnt-stand-a-chance
