headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Trump to appear in New York court on Tuesday to answer criminal charges,2023-03-31T23:47:17Z,"<p>Details of charges not known as indictment remains under seal, while lawyer says former president will not be placed in handcuffs</p>",https://www.theguardian.com/us-news/2023/mar/31/trump-appear-court-new-york-tuesday-criminal-charges,869,"<p>Details of charges not known as indictment remains under seal, while lawyer says former president will not be placed in handcuffs</p>",US news,News,article,Joan E Greve in Washington,"Donald Trump, US news, World news, New York, Michael Cohen, Stormy Daniels, Donald Trump trials",us-news/2023/mar/31/trump-appear-court-new-york-tuesday-criminal-charges
"Rupert Murdoch took direct role in Fox News 2020 election call, filings reveal",2023-03-31T22:33:34Z,<p>Messages newly released in Dominion Voting Systems defamation case show media mogul discussed when to call Trump’s defeat</p>,https://www.theguardian.com/media/2023/mar/31/rupert-murdoch-fox-news-2020-election-dominion,751,<p>Messages newly released in Dominion Voting Systems defamation case show media mogul discussed when to call Trump’s defeat</p>,Media,News,article,Martin Pengelly in New York,"Fox News, US news, Media, Fox, US elections 2020",media/2023/mar/31/rupert-murdoch-fox-news-2020-election-dominion
Trump to appear in court Tuesday as Stormy Daniels interview postponed over ‘security issues’ – as it happened,2023-03-31T22:13:32Z,"<p>Court officials confirm arraignment while Manhattan district attorney rejects House Republicans’ demands </p><ul><li><a href=""https://www.theguardian.com/us-news/2023/mar/30/donald-trump-indicted-stormy-daniels-hush-money"">Full story: Donald Trump indicted over hush money payment</a></li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",https://www.theguardian.com/us-news/live/2023/mar/31/donald-trump-indictment-former-us-president-first-to-face-criminal-charges-stormy-daniels,6609,"<p>Court officials confirm arraignment while Manhattan district attorney rejects House Republicans’ demands </p><ul><li><a href=""https://www.theguardian.com/us-news/2023/mar/30/donald-trump-indicted-stormy-daniels-hush-money"">Full story: Donald Trump indicted over hush money payment</a></li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",US news,News,liveblog,"Johana Bhuiyan (now), Chris Stein and Martin Belam (earlier)","Donald Trump, US news, World news, US politics, Republicans, Democrats, Donald Trump trials",us-news/live/2023/mar/31/donald-trump-indictment-former-us-president-first-to-face-criminal-charges-stormy-daniels
US Capitol rioter who wore horned headdress to be released early,2023-03-31T18:42:38Z,<p>Jacob Chansley was sentenced to three years and five months in November 2021 but it is now due to be freed 25 May</p>,https://www.theguardian.com/us-news/2023/mar/31/jan-6-rioter-qanon-release-jacob-chansley,515,<p>Jacob Chansley was sentenced to three years and five months in November 2021 but it is now due to be freed 25 May</p>,US news,News,article,Ramon Antonio Vargas,"US Capitol attack, US news, US politics",us-news/2023/mar/31/jan-6-rioter-qanon-release-jacob-chansley
Russia-Ukraine war: Biden tells Russia to release WSJ reporter accused of espionage; China’s Xi urged to speak to Zelenskiy – as it happened,2023-03-31T18:00:39Z,"<p>US administration furious after Evan Gershkovich taken into custody; Spanish PM calls on Xi Jinping to meet Ukraine president </p><ul><li><strong><a href=""https://www.theguardian.com/world/series/russia-ukraine-war-at-a-glance"">Russia-Ukraine war at a glance</a></strong></li></ul>",https://www.theguardian.com/world/live/2023/mar/31/russia-ukraine-war-live-turkey-approves-finland-nato-bid-ukraine-marks-bucha-massacre-anniversary,7238,"<p>US administration furious after Evan Gershkovich taken into custody; Spanish PM calls on Xi Jinping to meet Ukraine president </p><ul><li><strong><a href=""https://www.theguardian.com/world/series/russia-ukraine-war-at-a-glance"">Russia-Ukraine war at a glance</a></strong></li></ul>",World news,News,liveblog,"Léonie Chao-Fong (now); Tobi Thomas, Kevin Rawlinson, Martin Belam and Helen Sullivan (earlier)","Ukraine, Russia, World news, Evan Gershkovich",world/live/2023/mar/31/russia-ukraine-war-live-turkey-approves-finland-nato-bid-ukraine-marks-bucha-massacre-anniversary
The Guardian view on Trump’s indictment: he’ll fight the law. Who will win?,2023-03-31T17:07:50Z,<p>The former president faces far more serious allegations than paying hush money to an adult film star. This is only the beginning</p>,https://www.theguardian.com/commentisfree/2023/mar/31/the-guardian-view-on-trumps-indictment-hell-fight-the-law-who-will-win,612,<p>The former president faces far more serious allegations than paying hush money to an adult film star. This is only the beginning</p>,Opinion,Opinion,article,Editorial,"Donald Trump, US news, US politics, Stormy Daniels, Donald Trump trials",commentisfree/2023/mar/31/the-guardian-view-on-trumps-indictment-hell-fight-the-law-who-will-win
A 2006 encounter and cash for silence: how the Trump-Stormy Daniels case unfolded,2023-03-31T15:58:42Z,<p>The former president’s meeting with a porn star at a golf event in Nevada kicked off a scandal that led to a criminal indictment</p>,https://www.theguardian.com/us-news/2023/mar/31/trump-stormy-daniels-affair-hush-money-indictment,1035,<p>The former president’s meeting with a porn star at a golf event in Nevada kicked off a scandal that led to a criminal indictment</p>,US news,News,article,Martin Pengelly in New York,"Donald Trump, Stormy Daniels, US crime, US news, US politics, New York, World news, Donald Trump trials",us-news/2023/mar/31/trump-stormy-daniels-affair-hush-money-indictment
Colbert hails Trump’s indictment: ‘I didn’t know it would feel this good’,2023-03-31T15:19:47Z,<p>Late-night hosts discuss the New York grand jury’s decision to indict Trump and an embarrassing day for Lauren Boebert</p>,https://www.theguardian.com/culture/2023/mar/31/late-night-stephen-colbert-trump-indictment,815,<p>Late-night hosts discuss the New York grand jury’s decision to indict Trump and an embarrassing day for Lauren Boebert</p>,Culture,Arts,article,Guardian staff,"Late-night TV roundup, Stephen Colbert, Seth Meyers, Jimmy Kimmel, TV comedy, Comedy, Culture, Television & radio, Television",culture/2023/mar/31/late-night-stephen-colbert-trump-indictment
"Reactions to Trump’s indictment run the gamut, cynical to sublime",2023-03-31T15:08:04Z,<p>Republicans line up to support ex-president as Democrats hope for more charges – and one man’s one-word judgment</p>,https://www.theguardian.com/us-news/2023/mar/31/reactions-to-trumps-indictment-run-the-gamut-cynical-to-sublime,1545,<p>Republicans line up to support ex-president as Democrats hope for more charges – and one man’s one-word judgment</p>,US news,News,article,Lauren Gambino,"Donald Trump, US news, Stormy Daniels, US politics, Republicans, Democrats, Donald Trump trials",us-news/2023/mar/31/reactions-to-trumps-indictment-run-the-gamut-cynical-to-sublime
UK house price correction ‘has some way to go’ after March falls; eurozone and US inflation falls – as it happened,2023-03-31T15:05:44Z,"<p>Average UK house prices <a href=""https://www.theguardian.com/business/live/2023/mar/31/uk-national-accounts-gdp-growth-recession-house-prices-inflation-eurozone-us-pce-business-live?filterKeyEvents=false&amp;page=with:block-642678e28f082ce94b43647f#block-642678e28f082ce94b43647f"">fell 3.1% in year to March</a>, while energy costs are now falling in the eurozone and US core PCE inflation has dropped</p><ul><li><a href=""https://www.theguardian.com/business/2023/mar/31/uk-house-prices-fall-at-fastest-annual-rate-since-2009"">UK house prices fall at fastest annual rate since 2009</a></li><li><a href=""https://www.theguardian.com/business/2023/mar/31/eurozone-inflation-falls-sharply-as-energy-prices-drop"">Eurozone inflation falls sharply as energy prices drop</a></li><li><a href=""https://www.theguardian.com/business/2023/mar/31/uk-avoids-recession-as-economy-stronger-than-first-thought-at-end-of-2022"">UK avoids recession as economy stronger than first thought at end of 2022</a></li></ul>",https://www.theguardian.com/business/live/2023/mar/31/uk-national-accounts-gdp-growth-recession-house-prices-inflation-eurozone-us-pce-business-live,6227,"<p>Average UK house prices <a href=""https://www.theguardian.com/business/live/2023/mar/31/uk-national-accounts-gdp-growth-recession-house-prices-inflation-eurozone-us-pce-business-live?filterKeyEvents=false&amp;page=with:block-642678e28f082ce94b43647f#block-642678e28f082ce94b43647f"">fell 3.1% in year to March</a>, while energy costs are now falling in the eurozone and US core PCE inflation has dropped</p><ul><li><a href=""https://www.theguardian.com/business/2023/mar/31/uk-house-prices-fall-at-fastest-annual-rate-since-2009"">UK house prices fall at fastest annual rate since 2009</a></li><li><a href=""https://www.theguardian.com/business/2023/mar/31/eurozone-inflation-falls-sharply-as-energy-prices-drop"">Eurozone inflation falls sharply as energy prices drop</a></li><li><a href=""https://www.theguardian.com/business/2023/mar/31/uk-avoids-recession-as-economy-stronger-than-first-thought-at-end-of-2022"">UK avoids recession as economy stronger than first thought at end of 2022</a></li></ul>",Business,News,liveblog,Graeme Wearden,"Business, Economics, Stock markets, Economic growth (GDP), House prices",business/live/2023/mar/31/uk-national-accounts-gdp-growth-recession-house-prices-inflation-eurozone-us-pce-business-live
