headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Former aides warn of ‘running out of time’ to prevent Trump re-election ,2023-12-31T21:08:41Z,"<p>Sarah Matthews, Cassidy Hutchinson and Alyssa Farah Griffin insist Trump’s behavior would be worse if he wins second term</p>",https://www.theguardian.com/us-news/2023/dec/31/former-aides-warn-trump-re-election-could-end-us-democracy,811,"<p>Sarah Matthews, Cassidy Hutchinson and Alyssa Farah Griffin insist Trump’s behavior would be worse if he wins second term</p>",US news,News,article,Richard Luscombe,"US elections 2024, Donald Trump, US news, US politics, Republicans, US Capitol attack",us-news/2023/dec/31/former-aides-warn-trump-re-election-could-end-us-democracy
US-Mexico border crossings in December set monthly record high,2023-12-31T21:07:28Z,"<p>Over 300,000 people were on track to cross as Biden makes<strong> </strong>urgent efforts to curb migrant flows that have become political liability</p>",https://www.theguardian.com/us-news/2023/dec/31/us-mexico-border-crossings-december,653,"<p>Over 300,000 people were on track to cross as Biden makes<strong> </strong>urgent efforts to curb migrant flows that have become political liability</p>",US news,News,article,Edward Helmore,"US immigration, US-Mexico border, US news, US politics, Biden administration",us-news/2023/dec/31/us-mexico-border-crossings-december
"Congressman Jonathan Jackson on Biden, Gaza and making his famous father proud",2023-12-31T18:00:08Z,"<p>After a lifetime of activism, a son of Jesse Jackson marks his first year as a politician representing Illinois</p>",https://www.theguardian.com/us-news/2023/dec/31/jonathan-jackson-jesse-jackson-martin-luther-king,1941,"<p>After a lifetime of activism, a son of Jesse Jackson marks his first year as a politician representing Illinois</p>",US news,News,article,David Smith in Washington,"House of Representatives, Democrats, Illinois, Jesse Jackson, US news, US politics",us-news/2023/dec/31/jonathan-jackson-jesse-jackson-martin-luther-king
"Clarence Thomas must recuse himself from ruling on Trump’s 2024 eligibility, Raskin says",2023-12-31T16:43:22Z,<p>Democrat speaks on supreme court stepping in to adjudicate Maine and Colorado rulings that removed Trump from ballots</p>,https://www.theguardian.com/us-news/2023/dec/31/clarence-thomas-supreme-court-trump-2024-eligibility,712,<p>Democrat speaks on supreme court stepping in to adjudicate Maine and Colorado rulings that removed Trump from ballots</p>,US news,News,article,Richard Luscombe,"Donald Trump, US news, US politics, Donald Trump trials",us-news/2023/dec/31/clarence-thomas-supreme-court-trump-2024-eligibility
How 2023 became the year Congress forgot to ban TikTok,2023-12-31T13:00:03Z,<p>Momentum seemed to be with US lawmakers as they planned to stop 150m Americans from using TikTok. What happened?</p>,https://www.theguardian.com/technology/2023/dec/31/us-tiktok-ban-federal,1188,<p>Momentum seemed to be with US lawmakers as they planned to stop 150m Americans from using TikTok. What happened?</p>,Technology,News,article,Kari Paul,"TikTok, Politics and technology, Technology, US politics, US elections 2024, Joe Biden, Donald Trump, US Congress, US news",technology/2023/dec/31/us-tiktok-ban-federal
Trump 2024 trials in limbo as supreme court becomes entangled,2023-12-31T13:00:03Z,<p>Potential trial delays mean the former president could spend less time in courtroom and more time on the campaign trail</p>,https://www.theguardian.com/us-news/2023/dec/31/trump-trial-delays-cases,1341,<p>Potential trial delays mean the former president could spend less time in courtroom and more time on the campaign trail</p>,US news,News,article,Hugo Lowell,"Donald Trump, US news, US elections 2024, World news, US politics, Donald Trump trials",us-news/2023/dec/31/trump-trial-delays-cases
Voting Rights Act faces new wave of dire threats in 2024,2023-12-31T13:00:02Z,<p>A victory in 2023 in Alabama after a supreme court ruling may be short-lived as three cases pose a dire threat to voting rights</p>,https://www.theguardian.com/us-news/2023/dec/31/voting-rights-act-threats-2024-black-voters,1758,<p>A victory in 2023 in Alabama after a supreme court ruling may be short-lived as three cases pose a dire threat to voting rights</p>,US news,News,article,Sam Levine in New York,"US voting rights, US news, US politics, Arkansas, Georgia, Texas, US supreme court",us-news/2023/dec/31/voting-rights-act-threats-2024-black-voters
Mainstream media is playing into Trump’s neo-fascist hands. I’m sticking with democracy and the Guardian,2023-12-31T11:00:03Z,<p>I trust the Guardian to illuminate what’s really happening as America faces an election in which one of the two likely candidates engaged in an attempted coup</p>,https://www.theguardian.com/commentisfree/2023/dec/31/mainstream-media-is-playing-into-trumps-neo-fascist-hands-im-sticking-with-democracy-and-the-guardian,611,<p>I trust the Guardian to illuminate what’s really happening as America faces an election in which one of the two likely candidates engaged in an attempted coup</p>,Opinion,Opinion,article,Robert Reich,"US elections 2024, US politics, US news, Donald Trump, Joe Biden, Donald Trump trials",commentisfree/2023/dec/31/mainstream-media-is-playing-into-trumps-neo-fascist-hands-im-sticking-with-democracy-and-the-guardian
My plan to topple the Tory dark lords in 2024,2023-12-31T10:00:02Z,<p>We need a fellowship of socially conscious heroes to fight the Conservatives and NHS data-grabbing firms and save our democracy</p>,https://www.theguardian.com/commentisfree/2023/dec/31/topple-tory-dark-lords-palantir-nhs-data-good-law-project-topham-guerin,967,<p>We need a fellowship of socially conscious heroes to fight the Conservatives and NHS data-grabbing firms and save our democracy</p>,Opinion,Opinion,article,Stewart Lee,"NHS, Data protection, Society, Technology, Surveillance, Health, Conservatives, Politics, JRR Tolkien, Books, Culture, Peter Thiel",commentisfree/2023/dec/31/topple-tory-dark-lords-palantir-nhs-data-good-law-project-topham-guerin
"The alternative 2023 sports awards: quotes, gaffes and animal cameos",2023-12-31T08:00:58Z,"<p>The best and worst of 2023 – featuring Saudi cash, the war on woke, and an emotional horse</p>",https://www.theguardian.com/sport/2023/dec/31/the-alternative-2023-sports-awards-quotes-gaffes-and-animal-cameos,3231,"<p>The best and worst of 2023 – featuring Saudi cash, the war on woke, and an emotional horse</p>",Sport,Sport,article,David Hills,"Sport, Football, Fifa, Golf, Football politics",sport/2023/dec/31/the-alternative-2023-sports-awards-quotes-gaffes-and-animal-cameos
