headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Italian senate suspended as lawmakers test positive – as it happened,2020-09-30T23:33:39Z,"<p>This blog is now closed. We’ve launched a new blog at the link below: </p><ul><li><a href=""https://www.theguardian.com/world/live/2020/oct/01/coronavirus-live-news-spain-puts-madrid-under-lockdown-34m-jobs-lost-in-latin-america"">Coronavirus updates – live</a></li></ul>",https://www.theguardian.com/world/live/2020/sep/30/coronavirus-live-news-60m-indians-may-have-contracted-covid-disney-announces-mass-layoffs,14534,"<p>This blog is now closed. We’ve launched a new blog at the link below: </p><ul><li><a href=""https://www.theguardian.com/world/live/2020/oct/01/coronavirus-live-news-spain-puts-madrid-under-lockdown-34m-jobs-lost-in-latin-america"">Coronavirus updates – live</a></li></ul>",World news,News,liveblog,"Jessica Murray (now); Amy Walker, Caroline Davies, Haroon Siddique, Ben Doherty and Helen Sullivan (earlier)","Coronavirus, World news, UK news, Science, Infectious diseases, US news, Australia news, Microbiology, Medical research",world/live/2020/sep/30/coronavirus-live-news-60m-indians-may-have-contracted-covid-disney-announces-mass-layoffs
Jair Bolsonaro attacks 'international greed' over Amazon  – as it happened,2020-09-30T21:46:03Z,"<p>Brazilian leader vows to continue to exploit country’s natural resources in combative comments at UN biodiversity summit</p><ul><li><a href=""https://www.theguardian.com/environment/2020/sep/29/all-eyes-on-china-what-to-look-out-for-at-the-un-biodiversity-summit-aoe"">All eyes on China: what to look out for at the UN biodiversity summit</a></li></ul>",https://www.theguardian.com/environment/live/2020/sep/30/xi-jinping-to-address-world-leaders-at-un-biodiversity-summit-live-updates-aoe,5570,"<p>Brazilian leader vows to continue to exploit country’s natural resources in combative comments at UN biodiversity summit</p><ul><li><a href=""https://www.theguardian.com/environment/2020/sep/29/all-eyes-on-china-what-to-look-out-for-at-the-un-biodiversity-summit-aoe"">All eyes on China: what to look out for at the UN biodiversity summit</a></li></ul>",Environment,News,liveblog,Patrick Greenfield and Phoebe Weston,"UN biodiversity summit 2020, Environment, Conservation, Wildlife",environment/live/2020/sep/30/xi-jinping-to-address-world-leaders-at-un-biodiversity-summit-live-updates-aoe
"Morning mail: Trump's debate backtrack, $1.4bn for manufacturing, Pell in Rome",2020-09-30T21:08:07Z,<p><strong>Thursday</strong><strong>:</strong> President told white extremist group to ‘stand back and stand by’ during debate ‘shitshow’. Plus: join the Jimmy Barnes Zoom book club</p>,https://www.theguardian.com/australia-news/2020/oct/01/morning-mail-trumps-debate-backtrack-14bn-for-manufacturing-pell-in-rome,1281,<p><strong>Thursday</strong><strong>:</strong> President told white extremist group to ‘stand back and stand by’ during debate ‘shitshow’. Plus: join the Jimmy Barnes Zoom book club</p>,Australia news,News,article,Richard Parkin,,australia-news/2020/oct/01/morning-mail-trumps-debate-backtrack-14bn-for-manufacturing-pell-in-rome
London Irish end their 10-year wait for a win at much-changed Exeter,2020-09-30T19:54:27Z,<ul><li>Exeter 19-22 London Irish</li><li>Agustín Creevy scores decisive third try in 70th minute</li></ul>,https://www.theguardian.com/sport/2020/sep/30/london-irish-end-their-10-year-wait-for-a-win-exeter-premiership-rugby-union,618,<ul><li>Exeter 19-22 London Irish</li><li>Agustín Creevy scores decisive third try in 70th minute</li></ul>,Sport,Sport,article,Robert Kitson at Sandy Park,"Prem Rugby, Exeter, London Irish, Rugby union, Sport",sport/2020/sep/30/london-irish-end-their-10-year-wait-for-a-win-exeter-premiership-rugby-union
Presidential debates format to be overhauled after calamity in Cleveland,2020-09-30T18:22:56Z,<p>Trump and Biden’s much-criticised clash leads Commission on Presidential Debates to plan ‘additional structure’ in future</p>,https://www.theguardian.com/us-news/2020/sep/30/presidential-debates-format-overhauled-trump-biden,748,<p>Trump and Biden’s much-criticised clash leads Commission on Presidential Debates to plan ‘additional structure’ in future</p>,US news,News,article,Martin Pengelly in New York,"US elections 2020, Donald Trump, US politics, US news, Joe Biden, Republicans, Democrats",us-news/2020/sep/30/presidential-debates-format-overhauled-trump-biden
What does the first climate question at a US debate in 20 years reveal?,2020-09-30T18:02:47Z,<p>The question framed the existence of a human-made climate crisis as something that is for some Americans still debatable</p>,https://www.theguardian.com/us-news/2020/sep/30/presidential-debate-climate-crisis-question-trump-biden-analysis,715,<p>The question framed the existence of a human-made climate crisis as something that is for some Americans still debatable</p>,US news,News,article,Emily Holden,"US elections 2020, Climate crisis, Donald Trump, Joe Biden, US politics, Environment, US news, World news",us-news/2020/sep/30/presidential-debate-climate-crisis-question-trump-biden-analysis
The Guardian view on the US presidential debate: a bad night for the world,2020-09-30T17:51:21Z,<p>The dismal spectacle reminded viewers what is at stake in November for the US – and the rest of us<br></p>,https://www.theguardian.com/commentisfree/2020/sep/30/the-guardian-view-on-the-us-presidential-debate-a-bad-night-for-the-world,652,<p>The dismal spectacle reminded viewers what is at stake in November for the US – and the rest of us<br></p>,Opinion,Opinion,article,Editorial,"US elections 2020, Donald Trump, Joe Biden, Republicans, Xi Jinping, Democrats, US news, US politics, World news, China, Asia Pacific, Russia, Vladimir Putin, Uyghurs",commentisfree/2020/sep/30/the-guardian-view-on-the-us-presidential-debate-a-bad-night-for-the-world
American woman working at embassy in Ukraine killed while jogging in Kyiv,2020-09-30T17:46:32Z,"<ul><li>Woman had non-diplomatic job at embassy, source says</li><li>Police looking for tall, dark-haired man aged about 30</li></ul>",https://www.theguardian.com/world/2020/sep/30/american-woman-working-at-embassy-in-ukraine-killed-while-jogging-in-kyiv,370,"<ul><li>Woman had non-diplomatic job at embassy, source says</li><li>Police looking for tall, dark-haired man aged about 30</li></ul>",World news,News,article,Julian Borger in Washington and Shaun Walker in Moscow,"Ukraine, US news, World news, Europe",world/2020/sep/30/american-woman-working-at-embassy-in-ukraine-killed-while-jogging-in-kyiv
"UK coronavirus: 'We will not hesitate to take further measures' if pandemic worsens, PM warns – as it happened",2020-09-30T17:36:30Z,"<p>News updates: PM <a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74acac8f08097c0582227f#block-5f74acac8f08097c0582227f"">promises more frequent press conferences</a> on Covid situation; <a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74b61f8f08097c0582235b#block-5f74b61f8f08097c0582235b"">MPs vote by 330 to 24</a> to renew Coronavirus Act</p><ul><li><a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74a4298f08097c058221dc#block-5f74a4298f08097c058221dc"">UK records 7,108 more Covid cases as sharp increase sustained</a></li><li><a href=""https://www.theguardian.com/world/2020/sep/30/rebel-tory-mps-fail-in-bid-to-get-more-say-over-covid-restrictions"">Government bows to pressure to let MPs vote on Covid restrictions</a></li><li><a href=""https://www.theguardian.com/politics/2020/sep/30/keir-starmer-accuses-boris-johnson-of-abandoning-people-with-viable-jobs"">Starmer accuses Johnson of abandoning people with ‘viable’ jobs</a></li><li><a href=""https://www.theguardian.com/world/2020/sep/30/covid-hit-merseyside-economy-collapse-without-funding-local-leaders"">Merseyside economy ‘may collapse without Covid help’</a></li><li><a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74b6df8f08df432c7ab2e0#block-5f74b6df8f08df432c7ab2e0"">Summary of Johnson/Whitty/Vallance press conference</a></li><li><a href=""https://www.theguardian.com/world/live/2020/sep/30/coronavirus-live-news-60m-indians-may-have-contracted-covid-disney-announces-mass-layoffs"">Global coronavirus updates - live</a><br></li></ul>",https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules,11610,"<p>News updates: PM <a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74acac8f08097c0582227f#block-5f74acac8f08097c0582227f"">promises more frequent press conferences</a> on Covid situation; <a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74b61f8f08097c0582235b#block-5f74b61f8f08097c0582235b"">MPs vote by 330 to 24</a> to renew Coronavirus Act</p><ul><li><a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74a4298f08097c058221dc#block-5f74a4298f08097c058221dc"">UK records 7,108 more Covid cases as sharp increase sustained</a></li><li><a href=""https://www.theguardian.com/world/2020/sep/30/rebel-tory-mps-fail-in-bid-to-get-more-say-over-covid-restrictions"">Government bows to pressure to let MPs vote on Covid restrictions</a></li><li><a href=""https://www.theguardian.com/politics/2020/sep/30/keir-starmer-accuses-boris-johnson-of-abandoning-people-with-viable-jobs"">Starmer accuses Johnson of abandoning people with ‘viable’ jobs</a></li><li><a href=""https://www.theguardian.com/world/2020/sep/30/covid-hit-merseyside-economy-collapse-without-funding-local-leaders"">Merseyside economy ‘may collapse without Covid help’</a></li><li><a href=""https://www.theguardian.com/politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules?page=with:block-5f74b6df8f08df432c7ab2e0#block-5f74b6df8f08df432c7ab2e0"">Summary of Johnson/Whitty/Vallance press conference</a></li><li><a href=""https://www.theguardian.com/world/live/2020/sep/30/coronavirus-live-news-60m-indians-may-have-contracted-covid-disney-announces-mass-layoffs"">Global coronavirus updates - live</a><br></li></ul>",Politics,News,liveblog,Andrew Sparrow,"Politics, Coronavirus, UK news, Boris Johnson, PMQs, Keir Starmer, House of Commons, Alok Sharma, Media, Conservatives, Liverpool, Chris Whitty, Patrick Vallance, Infectious diseases",politics/live/2020/sep/30/uk-coronavirus-live-news-updates-boris-johnson-warned-rule-of-law-at-risk-if-mps-dont-get-more-of-a-say-over-covid-rules
It’s hard to Trump this hairdressing bill,2020-09-30T17:30:04Z,<p>Donald Trump | Panic buying | Swearing parrots | Training for new jobs | Football</p>,https://www.theguardian.com/us-news/2020/sep/30/its-hard-to-trump-this-hairdressing-bill,256,<p>Donald Trump | Panic buying | Swearing parrots | Training for new jobs | Football</p>,US news,News,article,Letters,"Donald Trump, Politics",us-news/2020/sep/30/its-hard-to-trump-this-hairdressing-bill
