headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Blinken meets with Johnson at Capitol amid disagreement over Israel and Ukraine aid – as it happened,2023-10-31T20:03:09Z,<p>This blog has now closed. The secretary of state called meeting with the new House speaker ‘very positive’</p>,https://www.theguardian.com/us-news/live/2023/oct/31/biden-israel-us-aid-republicans-democrats-trump-latest-updates,3803,<p>This blog has now closed. The secretary of state called meeting with the new House speaker ‘very positive’</p>,US news,News,liveblog,Chris Stein (now) and Richard Luscombe (earlier),"US politics, Republicans, Democrats, Joe Biden, Donald Trump, US Congress",us-news/live/2023/oct/31/biden-israel-us-aid-republicans-democrats-trump-latest-updates
"Morning Mail: Israeli airstrike on refugee camp, ports in a tax storm, Boris Johnson a ‘trolley’",2023-10-31T19:53:11Z,"<p>Want to get this in your inbox every weekday? <a href=""https://www.theguardian.com/australia-news/2022/sep/23/morning-mail-newsletter-best-daily-news-email-guardian-australia-free-sign-up-inbox-subscribe?CMP=cvau_sfl&amp;CMP=mm_sfl"">Sign up for the Morning Mail here</a>, and finish your day with <a href=""https://www.theguardian.com/australia-news/2022/oct/13/afternoon-update-newsletter-best-daily-news-email-guardian-australia-free-sign-up?CMP=cvau_sfl&amp;CMP=mm_sfl"">our Afternoon Update newsletter</a></p>",https://www.theguardian.com/australia-news/2023/nov/01/morning-mail-israeli-airstrike-on-refugee-camp-ports-in-a-tax-storm-boris-johnson-a-trolley,1091,"<p>Want to get this in your inbox every weekday? <a href=""https://www.theguardian.com/australia-news/2022/sep/23/morning-mail-newsletter-best-daily-news-email-guardian-australia-free-sign-up-inbox-subscribe?CMP=cvau_sfl&amp;CMP=mm_sfl"">Sign up for the Morning Mail here</a>, and finish your day with <a href=""https://www.theguardian.com/australia-news/2022/oct/13/afternoon-update-newsletter-best-daily-news-email-guardian-australia-free-sign-up?CMP=cvau_sfl&amp;CMP=mm_sfl"">our Afternoon Update newsletter</a></p>",Australia news,News,article,Martin Farrer,Australia news,australia-news/2023/nov/01/morning-mail-israeli-airstrike-on-refugee-camp-ports-in-a-tax-storm-boris-johnson-a-trolley
Buff and hulking or small and meek? Courtroom artist on sketching Sam Bankman-Fried,2023-10-31T19:36:31Z,<p>Jane Rosenberg’s viral illustrations paint a changing picture of the crypto mogul as his trial continues</p>,https://www.theguardian.com/business/2023/oct/31/sam-bankman-fried-courtroom-sketches-interview,507,<p>Jane Rosenberg’s viral illustrations paint a changing picture of the crypto mogul as his trial continues</p>,Business,News,article,Alaina Demopoulos in New York,"Sam Bankman-Fried, US news, Cryptocurrencies, FTX, Technology",business/2023/oct/31/sam-bankman-fried-courtroom-sketches-interview
The Guardian view on the Covid inquiry: shocking failures under the spotlight ,2023-10-31T19:08:46Z,<p>Evidence from Dominic Cummings and other key figures points to a deadly combination of chaos and recklessness</p>,https://www.theguardian.com/commentisfree/2023/oct/31/the-guardian-view-on-the-covid-inquiry-shocking-failures-under-the-spotlight,565,<p>Evidence from Dominic Cummings and other key figures points to a deadly combination of chaos and recklessness</p>,Opinion,Opinion,article,Editorial,"Covid inquiry, Dominic Cummings, Boris Johnson, Politics, UK news, Coronavirus",commentisfree/2023/oct/31/the-guardian-view-on-the-covid-inquiry-shocking-failures-under-the-spotlight
"Russia will succeed in Ukraine unless American support continues, warns US defence secretary – as it happened",2023-10-31T18:47:47Z,"<p>Lloyd Austin ‘guarantees Putin will be successful’ if US support for Kyiv ends during Senate hearing on Joe Biden’s request for funding. This live blog is closed</p><ul><li><a href=""https://www.theguardian.com/world/2023/oct/31/russia-ukraine-war-at-a-glance-what-we-know-on-day-615"">What we know on day 615 of the invasion</a></li></ul>",https://www.theguardian.com/world/live/2023/oct/31/russia-ukraine-war-live-biden-officials-to-make-case-for-ukraine-funding-russia-bulks-up-forces-around-bakhmut-says-kyiv,4250,"<p>Lloyd Austin ‘guarantees Putin will be successful’ if US support for Kyiv ends during Senate hearing on Joe Biden’s request for funding. This live blog is closed</p><ul><li><a href=""https://www.theguardian.com/world/2023/oct/31/russia-ukraine-war-at-a-glance-what-we-know-on-day-615"">What we know on day 615 of the invasion</a></li></ul>",World news,News,liveblog,Yohannes Lowe and  Charlie Moloney,"World news, Ukraine, Russia, Europe",world/live/2023/oct/31/russia-ukraine-war-live-biden-officials-to-make-case-for-ukraine-funding-russia-bulks-up-forces-around-bakhmut-says-kyiv
"Tucker Carlson fired by Fox News for getting ‘too big for his boots’, book says",2023-10-31T15:10:43Z,"<p>Network of Lies by Brian Stelter, excerpted in Vanity Fair, says firing was inevitable after he alienated large parts of network</p>",https://www.theguardian.com/media/2023/oct/31/tucker-carlson-fox-news-book-brian-stelter,876,"<p>Network of Lies by Brian Stelter, excerpted in Vanity Fair, says firing was inevitable after he alienated large parts of network</p>",Media,News,article,Richard Luscombe,"Fox News, Tucker Carlson, US television industry, US news, Fox, Media, World news, Television industry",media/2023/oct/31/tucker-carlson-fox-news-book-brian-stelter
Top Trump allies facing charges lose lawyers after failing to pay legal bills,2023-10-31T11:00:19Z,"<p>Steve Bannon, Rudy Giuliani and Mike Lindell, who pushed false claims about the 2020 election, face six- and seven-figure bills</p>",https://www.theguardian.com/us-news/2023/oct/31/top-trump-allies-facing-charges-lose-lawyers-after-failing-to-pay-legal-bills,1318,"<p>Steve Bannon, Rudy Giuliani and Mike Lindell, who pushed false claims about the 2020 election, face six- and seven-figure bills</p>",US news,News,article,Peter Stone in Washington,"Donald Trump, US news, US politics, Steve Bannon, Rudy Giuliani",us-news/2023/oct/31/top-trump-allies-facing-charges-lose-lawyers-after-failing-to-pay-legal-bills
Have war crimes been committed in Israel and Gaza and what international laws apply?,2023-10-31T05:00:36Z,"<p>The UN has said there is evidence that international humanitarian law may have been breached by both sides in the conflict</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/oct/31/israel-hamas-war-live-updates-latest-news-today-hamas-clashes-idf-gaza-aid-plan-failure"">Israel and Hamas at war – live updates</a></li></ul><p></p>",https://www.theguardian.com/world/2023/oct/31/have-war-crimes-been-committed-in-israel-and-gaza-and-what-international-laws-apply,1640,"<p>The UN has said there is evidence that international humanitarian law may have been breached by both sides in the conflict</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/oct/31/israel-hamas-war-live-updates-latest-news-today-hamas-clashes-idf-gaza-aid-plan-failure"">Israel and Hamas at war – live updates</a></li></ul><p></p>",World news,News,article,Chris McGreal,"Israel-Gaza war, War crimes, International criminal court, Hamas, Israel, World news, Palestine, International criminal justice, Law, Middle East and north Africa, International law",world/2023/oct/31/have-war-crimes-been-committed-in-israel-and-gaza-and-what-international-laws-apply
How the UK’s emphasis on apocalyptic AI risk helps business,2023-10-31T05:00:35Z,<p>Experts say focus of the UK’s global AI summit on ‘frontier AI’ distracts from regulation of existing ills of technology</p>,https://www.theguardian.com/technology/2023/oct/31/uk-ai-summit-tech-regulation,1986,<p>Experts say focus of the UK’s global AI summit on ‘frontier AI’ distracts from regulation of existing ills of technology</p>,Technology,News,article,Johana Bhuiyan,"Technology, Artificial intelligence (AI), Rishi Sunak, UK news",technology/2023/oct/31/uk-ai-summit-tech-regulation
US dismisses Putin’s claim that west was behind Dagestan antisemitic riots,2023-10-31T04:05:39Z,"<p>US National Security Council spokesman John Kirby denies any role, saying airport mob was display of ‘hate, bigotry and intimidation, pure and simple’</p>",https://www.theguardian.com/world/2023/oct/31/vladimir-putin-claims-west-behind-dagestan-antisemitic-riots-us-denies,384,"<p>US National Security Council spokesman John Kirby denies any role, saying airport mob was display of ‘hate, bigotry and intimidation, pure and simple’</p>",World news,News,article,Staff and agencies,"Russia, Ukraine, US foreign policy, Europe",world/2023/oct/31/vladimir-putin-claims-west-behind-dagestan-antisemitic-riots-us-denies
