headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
"Russia-Ukraine war: only 500 of 70,000 residents left in Bakhmut, mayor says – as it happened",2023-05-31T17:52:39Z,"<p>This live blog has now closed, you can <a href=""https://www.theguardian.com/world/ukraine"">read more of our Ukraine war coverage here</a></p>",https://www.theguardian.com/world/live/2023/may/31/russia-ukraine-war-live-russian-oil-refinery-in-krasnodar-on-fire-belgorod-shelled-says-governor,8536,"<p>This live blog has now closed, you can <a href=""https://www.theguardian.com/world/ukraine"">read more of our Ukraine war coverage here</a></p>",World news,News,liveblog,Harry Taylor (now); Martin Belam and Jonathan Yerushalmy (earlier),"Ukraine, Russia, Europe, World news",world/live/2023/may/31/russia-ukraine-war-live-russian-oil-refinery-in-krasnodar-on-fire-belgorod-shelled-says-governor
Ministers accused of cover-up over claims former UK ambassador leaked intelligence,2023-05-31T17:21:54Z,"<p>Ex-civil servant alleges he was arrested to protect Kim Darroch, former UK diplomat in Washington</p>",https://www.theguardian.com/uk-news/2023/may/31/ministers-accused-of-cover-up-over-claims-former-uk-ambassador-leaked-intelligence,566,"<p>Ex-civil servant alleges he was arrested to protect Kim Darroch, former UK diplomat in Washington</p>",UK news,News,article,Haroon Siddique Legal affairs correspondent,"UK news, Foreign, Commonwealth and Development Office, Politics, Foreign policy, Civil service, UK security and counter-terrorism",uk-news/2023/may/31/ministers-accused-of-cover-up-over-claims-former-uk-ambassador-leaked-intelligence
‘Stop the dirty deal’: activists decry Schumer and Manchin over pipeline plan,2023-05-31T16:45:20Z,<p>Climate protesters call provision in US debt ceiling bill to expedite controversial project in Virginia and West Virginia a ‘betrayal’</p>,https://www.theguardian.com/us-news/2023/may/31/west-virginia-pipeline-debt-ceiling-vote,791,<p>Climate protesters call provision in US debt ceiling bill to expedite controversial project in Virginia and West Virginia a ‘betrayal’</p>,US news,News,article,Dharna Noor,"US politics, US debt ceiling, Oil and gas companies, Oil, West Virginia, US news, Fossil fuels, Environment, Energy, World news",us-news/2023/may/31/west-virginia-pipeline-debt-ceiling-vote
Chris Christie will reportedly announce 2024 presidential bid next week,2023-05-31T14:32:00Z,"<p>Former New Jersey governor, who ran for Republican nomination in 2016, intends a ‘more hopeful note’ as he takes on Trump</p>",https://www.theguardian.com/us-news/2023/may/31/chris-christie-2024-presidential-bid,574,"<p>Former New Jersey governor, who ran for Republican nomination in 2016, intends a ‘more hopeful note’ as he takes on Trump</p>",US news,News,article,Martin Pengelly in New York,"Chris Christie, Republicans, US news, US politics, US elections 2024",us-news/2023/may/31/chris-christie-2024-presidential-bid
Alexandria Ocasio-Cortez says she will vote against US debt ceiling deal,2023-05-31T13:42:56Z,<p>Democratic congresswoman confirms she will not support agreement to raise debt ceiling and avoid 5 June default</p>,https://www.theguardian.com/us-news/2023/may/31/alexandria-ocasio-cortez-vote-against-us-debt-ceiling-deal,352,<p>Democratic congresswoman confirms she will not support agreement to raise debt ceiling and avoid 5 June default</p>,US news,News,article,Gloria Oladipo in New York,"US debt ceiling, Alexandria Ocasio-Cortez, US Congress, Democrats, US news, US politics, US economy",us-news/2023/may/31/alexandria-ocasio-cortez-vote-against-us-debt-ceiling-deal
"Across Europe, the far right is rising. That it seems normal is all the more terrifying",2023-05-31T11:34:41Z,"<p>Austria, France, Germany, Sweden and now Spain – the firewall between the mainstream and the far right is crumbling</p>",https://www.theguardian.com/commentisfree/2023/may/31/across-europe-the-far-right-is-rising-that-it-seems-normal-is-all-the-more-terrifying,817,"<p>Austria, France, Germany, Sweden and now Spain – the firewall between the mainstream and the far right is crumbling</p>",Opinion,Opinion,article,Owen Jones,"The far right, Austria, Spain, Europe, France, Marine Le Pen, Jörg Haider, Germany, French presidential election 2022, Sweden",commentisfree/2023/may/31/across-europe-the-far-right-is-rising-that-it-seems-normal-is-all-the-more-terrifying
First Thing: Debt ceiling deal clears first hurdle and advances for debate,2023-05-31T10:13:34Z,"<p>The committee voted 7-6 to allow debate by the full chamber with expected vote on passage today. Plus, the downfall of Elizabeth Holmes</p><ul><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Don’t already get First Thing in your inbox? Sign up here</a></li></ul>",https://www.theguardian.com/us-news/2023/may/31/first-thing-debt-ceiling-deal-clears-first-hurdle-and-advances-for-debate,1711,"<p>The committee voted 7-6 to allow debate by the full chamber with expected vote on passage today. Plus, the downfall of Elizabeth Holmes</p><ul><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Don’t already get First Thing in your inbox? Sign up here</a></li></ul>",US news,News,article,Nicola Slawson,US news,us-news/2023/may/31/first-thing-debt-ceiling-deal-clears-first-hurdle-and-advances-for-debate
North Carolina’s gerrymandered districts set stage for 2024 Republican wins,2023-05-31T10:00:22Z,<p>State’s congressional delegation likely to go from even split to 10-4 or 11-3 in favor of GOP despite fewer registered Republicans</p>,https://www.theguardian.com/us-news/2023/may/31/north-carolina-gerrymander-republicans-2024-us-elections,914,<p>State’s congressional delegation likely to go from even split to 10-4 or 11-3 in favor of GOP despite fewer registered Republicans</p>,US news,News,article,Daniel Walton,"US news, North Carolina, Law, Law (US), US elections 2024",us-news/2023/may/31/north-carolina-gerrymander-republicans-2024-us-elections
Wednesday briefing: What’s behind the drone attacks on Russia,2023-05-31T06:01:47Z,"<p>In today’s newsletter: Could yesterday’s assault on Moscow prompt a response that helps Zelenskiy’s long-trailed counteroffensive – or hurts it?</p><ul><li><strong><a href=""https://www.theguardian.com/global/2022/sep/20/sign-up-for-the-first-edition-newsletter-our-free-news-email"">Sign up here for our daily newsletter, First Edition</a></strong></li></ul>",https://www.theguardian.com/world/2023/may/31/wednesday-briefing-drone-attacks-moscow-russia-first-edition-ukraine,2606,"<p>In today’s newsletter: Could yesterday’s assault on Moscow prompt a response that helps Zelenskiy’s long-trailed counteroffensive – or hurts it?</p><ul><li><strong><a href=""https://www.theguardian.com/global/2022/sep/20/sign-up-for-the-first-edition-newsletter-our-free-news-email"">Sign up here for our daily newsletter, First Edition</a></strong></li></ul>",World news,News,article,Archie Bland,"Russia, Europe, World news, Vladimir Putin, Volodymyr Zelenskyy, Ukraine, Drones (military)",world/2023/may/31/wednesday-briefing-drone-attacks-moscow-russia-first-edition-ukraine
Donald Trump reiterates pledge to scrap birthright US citizenship,2023-05-31T05:00:17Z,<p>Ex-president promises executive order revoking right enshrined in 14th amendment during anti-immigrant tirade on social media</p>,https://www.theguardian.com/us-news/2023/may/31/donald-trump-birthright-us-citizenship,522,<p>Ex-president promises executive order revoking right enshrined in 14th amendment during anti-immigrant tirade on social media</p>,US news,News,article,Martin Pengelly in New York,"Donald Trump, US news, US immigration",us-news/2023/may/31/donald-trump-birthright-us-citizenship
