headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Brazil records 287 new Covid deaths – as it happened,2020-11-30T23:58:48Z,<p>This blog is now closed. We’ve launched a new blog at the link below: </p><ul><li>Coronavirus news – live</li></ul>,https://www.theguardian.com/world/live/2020/nov/30/coronavirus-live-news-dr-fauci-warns-of-surge-upon-surge-in-us-cases-after-thanksgiving,15448,<p>This blog is now closed. We’ve launched a new blog at the link below: </p><ul><li>Coronavirus news – live</li></ul>,World news,News,liveblog,"Harry Taylor (now), Jessica Murray, Haroon Siddique and Helen Sullivan (earlier)","Coronavirus, World news, Infectious diseases, Science, US news, Europe, Middle East and north Africa, UK news, Asia Pacific, Microbiology, Medical research",world/live/2020/nov/30/coronavirus-live-news-dr-fauci-warns-of-surge-upon-surge-in-us-cases-after-thanksgiving
Amazon deforestation surges to 12-year high under Bolsonaro,2020-11-30T23:43:59Z,<p>An area seven times larger than Greater London has been lost in what one activist called a ‘humiliating and shameful’ destruction</p>,https://www.theguardian.com/environment/2020/dec/01/amazon-deforestation-surges-to-12-year-high-under-bolsonaro,744,<p>An area seven times larger than Greater London has been lost in what one activist called a ‘humiliating and shameful’ destruction</p>,Environment,News,article,Tom Phillips in Rio de Janeiro,"Amazon rainforest, Brazil, Deforestation, Environment, Trees and forests",environment/2020/dec/01/amazon-deforestation-surges-to-12-year-high-under-bolsonaro
Chef David Chang is first celebrity to win Who Wants to Be a Millionaire?,2020-11-30T23:13:08Z,<p>Momofuku restaurant group founder will donate winnings to restaurant workers affected by pandemic</p>,https://www.theguardian.com/tv-and-radio/2020/nov/30/chef-david-chang-wins-who-wants-to-be-millionaire,244,<p>Momofuku restaurant group founder will donate winnings to restaurant workers affected by pandemic</p>,Television & radio,Arts,article,Guardian staff,"US television, Television, Television & radio, Food, Restaurants",tv-and-radio/2020/nov/30/chef-david-chang-wins-who-wants-to-be-millionaire
Joe Biden names diverse economic team with first female secretary of treasury,2020-11-30T22:09:17Z,"<p>Official nominations came after president-elect announces all-female communications team and are likely to draw Republican opposition</p><ul><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/30/us-election-joe-biden-donald-trump-coronavirus-covid-19-live-updates"">US politics – live coverage</a></li></ul>",https://www.theguardian.com/us-news/2020/nov/30/joe-biden-diverse-economic-team-first-female-secretary-of-treasury,755,"<p>Official nominations came after president-elect announces all-female communications team and are likely to draw Republican opposition</p><ul><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/30/us-election-joe-biden-donald-trump-coronavirus-covid-19-live-updates"">US politics – live coverage</a></li></ul>",US news,News,article,Adam Gabbatt in New York,"US politics, US news, Joe Biden, Donald Trump",us-news/2020/nov/30/joe-biden-diverse-economic-team-first-female-secretary-of-treasury
How Hillbilly Elegy tries and fails to show the 'real' America,2020-11-30T21:25:51Z,<p>Ron Howard’s misjudged adaptation of JD Vance’s bestselling memoir is both histrionic and boring – and too shallow to act as social commentary</p>,https://www.theguardian.com/film/2020/nov/30/how-hillbilly-elegy-tries-and-fails-to-show-the-real-america,1061,<p>Ron Howard’s misjudged adaptation of JD Vance’s bestselling memoir is both histrionic and boring – and too shallow to act as social commentary</p>,Film,Arts,article,Adrian Horton,"Ron Howard, Amy Adams, Glenn Close, Film, Netflix, Drama films, Culture",film/2020/nov/30/how-hillbilly-elegy-tries-and-fails-to-show-the-real-america
Experts warn of coronavirus surge after widespread Thanksgiving travel,2020-11-30T20:03:51Z,"<ul><li>More than 100,000 Covid cases a day over holiday weekend</li><li><a href=""https://www.theguardian.com/world/2020/nov/30/moderna-covid-vaccine-has-94-efficacy-final-results-confirm"">Moderna Covid vaccine has 94% efficacy, final results confirm</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/30/us-election-joe-biden-donald-trump-coronavirus-covid-19-live-updates"">US politics – live coverage</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li></ul>",https://www.theguardian.com/world/2020/nov/30/coronavirus-surge-thanksgiving-travel-experts-warn,1065,"<ul><li>More than 100,000 Covid cases a day over holiday weekend</li><li><a href=""https://www.theguardian.com/world/2020/nov/30/moderna-covid-vaccine-has-94-efficacy-final-results-confirm"">Moderna Covid vaccine has 94% efficacy, final results confirm</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/30/us-election-joe-biden-donald-trump-coronavirus-covid-19-live-updates"">US politics – live coverage</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li></ul>",World news,News,article,Adam Gabbatt in New York and agencies,"Coronavirus, Thanksgiving, US news, Travel, Infectious diseases",world/2020/nov/30/coronavirus-surge-thanksgiving-travel-experts-warn
Supreme court questions Trump bid to bar undocumented immigrants from census,2020-11-30T19:44:36Z,"<p>But justices seem hesitant to immediately stop policy, which could affect distribution of congressional seats</p>",https://www.theguardian.com/us-news/2020/nov/30/supreme-court-us-census-undocumented-immigrants-trump,810,"<p>But justices seem hesitant to immediately stop policy, which could affect distribution of congressional seats</p>",US news,News,article,Sam Levine in New York,"Census, US supreme court, US immigration, Trump administration, Donald Trump, Law (US), Law, US news",us-news/2020/nov/30/supreme-court-us-census-undocumented-immigrants-trump
FTSE 100 records best month since 1989 after Covid vaccine hopes,2020-11-30T18:59:54Z,"<p>Index of leading UK company shares rose by more than £180bn in November</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/business/2020/nov/30/ftse-on-course-for-best-month-on-record-after-covid-vaccine-hopes,579,"<p>Index of leading UK company shares rose by more than £180bn in November</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Business,News,article,Richard Partington Economics correspondent,"FTSE, Stock markets, Business, Coronavirus, UK news, World news, Dow Jones, US news, Europe, Economic recovery, Economics",business/2020/nov/30/ftse-on-course-for-best-month-on-record-after-covid-vaccine-hopes
Trump losing Twitter followers – as Biden gains them,2020-11-30T17:44:43Z,"<p>President has lost 133,902 followers since 17 November as president-elect has gained 1,156,610</p>",https://www.theguardian.com/us-news/2020/nov/30/trump-losing-twitter-followers-biden-gains-them,245,"<p>President has lost 133,902 followers since 17 November as president-elect has gained 1,156,610</p>",US news,News,article,Martin Pengelly in New York,"Donald Trump, Joe Biden, X, US elections 2020, US news, US politics",us-news/2020/nov/30/trump-losing-twitter-followers-biden-gains-them
Has political consensus become a pipe dream?,2020-11-30T17:11:27Z,"<p><strong>Doug Simpson, </strong><strong>Dr Nicholas Falk </strong>and<strong> </strong><strong>Susan Zagor </strong>respond to an article by Martin Kettle on the polarisation of politics. Plus <strong>Terry Ward </strong>on Labour’s source of inspiration</p>",https://www.theguardian.com/politics/2020/nov/30/has-political-consensus-become-a-pipe-dream,544,"<p><strong>Doug Simpson, </strong><strong>Dr Nicholas Falk </strong>and<strong> </strong><strong>Susan Zagor </strong>respond to an article by Martin Kettle on the polarisation of politics. Plus <strong>Terry Ward </strong>on Labour’s source of inspiration</p>",Politics,News,article,Letters,"Politics, US politics, Economic policy, Donald Trump, Economics, Technology, Inequality, Social exclusion, Society, Business, Labour, Jeremy Corbyn",politics/2020/nov/30/has-political-consensus-become-a-pipe-dream
