headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
"Global confirmed virus death toll passes 40,000 – as it happened",2020-03-31T23:38:33Z,"<p>This blog is closed</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/world/live/2020/mar/31/coronavirus-live-news-usa-confirmed-cases-double-china-update-uk-italy-spain-europe-latest-updates,22808,"<p>This blog is closed</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",World news,News,liveblog,"Helen Sullivan (now and earlier); Kevin Rawlinson , Damien Gayle ,Alexandra Topping, and Aamna Mohdin","Coronavirus, World news, Infectious diseases, Science, UK news, Europe, Africa, Middle East and north Africa, US news, China, India, Russia, Asia Pacific, Microbiology, South and central Asia, Medical research, Ruby Princess",world/live/2020/mar/31/coronavirus-live-news-usa-confirmed-cases-double-china-update-uk-italy-spain-europe-latest-updates
Coronavirus latest: 31 March at a glance,2020-03-31T23:05:05Z,"<p>A summary of the biggest developments in the global coronavirus outbreak</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Follow our latest coronavirus blog for live news and updates</a></li></ul>",https://www.theguardian.com/world/2020/apr/01/coronavirus-at-glance,553,"<p>A summary of the biggest developments in the global coronavirus outbreak</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Follow our latest coronavirus blog for live news and updates</a></li></ul>",World news,News,article,Kevin Rawlinson,"World news, Coronavirus",world/2020/apr/01/coronavirus-at-glance
"Push to end low pay may have to be scrapped, UK government warned",2020-03-31T22:59:34Z,<p>Low Pay Commission says cost of fighting coronavirus pandemic endangers flagship pledge to raise national living wage to £10.50 an hour</p>,https://www.theguardian.com/money/2020/mar/31/uk-minimum-wage-rise-of-6-to-go-ahead-despite-coronavirus-pay-freeze-call,921,<p>Low Pay Commission says cost of fighting coronavirus pandemic endangers flagship pledge to raise national living wage to £10.50 an hour</p>,Money,Lifestyle,article,Richard Partington Economics correspondent,"Pay, Money, Family finances, Economic policy, Economics, Coronavirus, Business, Politics, Institute for Fiscal Studies, Unemployment, Thinktanks, UK news, Society, Retail industry, Minimum wage, National living wage, Work & careers",money/2020/mar/31/uk-minimum-wage-rise-of-6-to-go-ahead-despite-coronavirus-pay-freeze-call
New York's Andrew Cuomo decries 'eBay'-style bidding war for ventilators,2020-03-31T21:10:27Z,"<p>The state is in a race against time to secure enough breathing machines for coronavirus patients – just as the governor’s brother has tested positive</p><ul><li><a href=""https://www.theguardian.com/us-news/2020/mar/31/andrew-cuomo-chris-cnn-new-york-coronavirus-trump"">CNN’s Chris Cuomo, Andrew’s brother, tests positive for Covid-19</a><br></li><li><a href=""https://www.theguardian.com/us-news/2020/mar/30/las-vegas-parking-lot-homeless-shelter"">Las Vegas parking lot turned into ‘homeless shelter’</a> </li><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a><br></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/us-news/2020/mar/31/new-york-andrew-cuomo-coronavirus-ventilators,884,"<p>The state is in a race against time to secure enough breathing machines for coronavirus patients – just as the governor’s brother has tested positive</p><ul><li><a href=""https://www.theguardian.com/us-news/2020/mar/31/andrew-cuomo-chris-cnn-new-york-coronavirus-trump"">CNN’s Chris Cuomo, Andrew’s brother, tests positive for Covid-19</a><br></li><li><a href=""https://www.theguardian.com/us-news/2020/mar/30/las-vegas-parking-lot-homeless-shelter"">Las Vegas parking lot turned into ‘homeless shelter’</a> </li><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a><br></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",US news,News,article,David Smith in Washington,"New York, Andrew Cuomo, US news, Coronavirus, US politics, Donald Trump",us-news/2020/mar/31/new-york-andrew-cuomo-coronavirus-ventilators
Seven of Donald Trump's most misleading coronavirus claims,2020-03-31T20:24:47Z,"<p>As US deaths rise, the president seems unable to grasp the severity of the problem – and he’s made multiple false claims along the way</p><ul><li><a href=""https://www.theguardian.com/world/live/2020/mar/28/coronavirus-news-trump-us-latest-live-updates"">US coronavirus outbreak: live</a></li><li><a href=""https://www.theguardian.com/world/live/2020/mar/28/coronavirus-live-news-cases-in-italy-overtake-china-us-infections-pass-100000"">Global coronavirus outbreak: live</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">Read all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/us-news/2020/mar/28/trump-coronavirus-misleading-claims,1335,"<p>As US deaths rise, the president seems unable to grasp the severity of the problem – and he’s made multiple false claims along the way</p><ul><li><a href=""https://www.theguardian.com/world/live/2020/mar/28/coronavirus-news-trump-us-latest-live-updates"">US coronavirus outbreak: live</a></li><li><a href=""https://www.theguardian.com/world/live/2020/mar/28/coronavirus-live-news-cases-in-italy-overtake-china-us-infections-pass-100000"">Global coronavirus outbreak: live</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">Read all our coronavirus coverage</a></li></ul>",US news,News,article,Oliver Milman in New York,"Donald Trump, Coronavirus, US news, World news",us-news/2020/mar/28/trump-coronavirus-misleading-claims
Corrections and clarifications,2020-03-31T20:00:01Z,<p>Covid-19 death toll | University of Liverpool </p>,https://www.theguardian.com/news/2020/mar/31/corrections-and-clarifications,163,<p>Covid-19 death toll | University of Liverpool </p>,News,News,article,Corrections and clarifications column editor,,news/2020/mar/31/corrections-and-clarifications
FTSE 100 suffers worst quarter since 1987 as Covid-19 recession looms - as it happened,2020-03-31T18:47:11Z,"<p>Britain’s stock market has posted its biggest quarterly slump since Black Monday, as the coronavirus forces UK into a deep recession</p><ul><li><a href=""https://www.theguardian.com/business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live?page=with:block-5e8363a98f0866297e9f4618#block-5e8363a98f0866297e9f4618"">Latest: FTSE 100 ends Q1 down 24.8%</a></li><li><a href=""https://www.theguardian.com/business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live?page=with:block-5e8350d48f0866297e9f4497#block-5e8350d48f0866297e9f4497"">Chart: The FTSE’s worst quarters ever</a><br></li></ul><p>Earlier:<br></p><ul><li><a href=""https://www.theguardian.com/business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live?page=with:block-5e82dbc78f08af215f6fe995#block-5e82dbc78f08af215f6fe995"">Introduction: Chinese PMIs show economy strengthening</a><br></li><li>Composite PMI surged to 53, from 28.9, showing growth</li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live,5259,"<p>Britain’s stock market has posted its biggest quarterly slump since Black Monday, as the coronavirus forces UK into a deep recession</p><ul><li><a href=""https://www.theguardian.com/business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live?page=with:block-5e8363a98f0866297e9f4618#block-5e8363a98f0866297e9f4618"">Latest: FTSE 100 ends Q1 down 24.8%</a></li><li><a href=""https://www.theguardian.com/business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live?page=with:block-5e8350d48f0866297e9f4497#block-5e8350d48f0866297e9f4497"">Chart: The FTSE’s worst quarters ever</a><br></li></ul><p>Earlier:<br></p><ul><li><a href=""https://www.theguardian.com/business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live?page=with:block-5e82dbc78f08af215f6fe995#block-5e82dbc78f08af215f6fe995"">Introduction: Chinese PMIs show economy strengthening</a><br></li><li>Composite PMI surged to 53, from 28.9, showing growth</li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Business,News,liveblog,Graeme Wearden,"Business, UK news, Stock markets, China, Economics, Coronavirus",business/live/2020/mar/31/china-economy-picks-up-covid-19-german-unemployment-us-confidence-stock-markets-business-live
"Coronavirus pandemic 'far from over' in Asia, WHO warns",2020-03-31T18:15:41Z,"<p>Statement comes as China and South Korea delay college exams to keep lid on Covid-19 spread</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/world/2020/mar/31/china-and-korea-delay-college-exams-to-keep-lid-on-coronavirus,994,"<p>Statement comes as China and South Korea delay college exams to keep lid on Covid-19 spread</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",World news,News,article,Jon Henley,"Coronavirus, World news, Infectious diseases, China, South Korea, Italy, US news, Spain",world/2020/mar/31/china-and-korea-delay-college-exams-to-keep-lid-on-coronavirus
US calls on Maduro and Guaidó to stand down in Venezuela transition plan,2020-03-31T17:56:45Z,<ul><li>Plan includes five-member council and sanctions relief</li><li>Sceptics see little incentive for government leaders</li></ul>,https://www.theguardian.com/world/2020/mar/31/venezuela-us-transition-plan-maduro-guaido,618,<ul><li>Plan includes five-member council and sanctions relief</li><li>Sceptics see little incentive for government leaders</li></ul>,World news,News,article,Julian Borger in Washington,"Venezuela, World news, Americas, Nicolás Maduro, US foreign policy, US news, Mike Pompeo",world/2020/mar/31/venezuela-us-transition-plan-maduro-guaido
"Will Andrew Cuomo run for president, his brother asks? 'No. No'",2020-03-31T17:42:57Z,"<ul><li>Cuomo tamps down talk of a late run for Democratic nomination</li><li>CNN’s Chris Cuomo, Andrew’s brother, tests positive for Covid-19</li><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",https://www.theguardian.com/us-news/2020/mar/31/andrew-cuomo-chris-cnn-new-york-coronavirus-trump,873,"<ul><li>Cuomo tamps down talk of a late run for Democratic nomination</li><li>CNN’s Chris Cuomo, Andrew’s brother, tests positive for Covid-19</li><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",US news,News,article,Martin Pengelly in New York,"Andrew Cuomo, New York, Coronavirus, CNN, US news",us-news/2020/mar/31/andrew-cuomo-chris-cnn-new-york-coronavirus-trump
