headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
Garland vows to hold January 6 attackers to account after Oath Keepers conviction – as it happened,2022-11-30T22:27:27Z,"<p>Attorney general condemns ‘those responsible for crimes related to the attack on our democracy’ – follow US politics live</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></strong></li></ul>",https://www.theguardian.com/us-news/live/2022/nov/30/democrats-hakeem-jeffries-house-leadership-rail-strike-biden-politics-live,4216,"<p>Attorney general condemns ‘those responsible for crimes related to the attack on our democracy’ – follow US politics live</p><ul><li><strong><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></strong></li></ul>",US news,News,liveblog,Maanvi Singh in Oakland (now) and Lauren Aratani in New York (earlier),"US politics, US news, House of Representatives, US Congress, Democrats, Republicans, Joe Biden",us-news/live/2022/nov/30/democrats-hakeem-jeffries-house-leadership-rail-strike-biden-politics-live
Covid restrictions lifted in Guangzhou and Chongqing after China protests,2022-11-30T21:12:28Z,<p>Announcements ordered the removal of ‘control orders’ and to designate areas as low risk</p>,https://www.theguardian.com/world/2022/nov/30/us-and-canada-urge-china-not-to-harm-zero-covid-protesters-amid-calls-for-crackdown,1377,<p>Announcements ordered the removal of ‘control orders’ and to designate areas as low risk</p>,World news,News,article,Helen Davidson and agencies,"China, Coronavirus, Asia Pacific, World news, Infectious diseases, US foreign policy, Canada, Xi Jinping, Protest",world/2022/nov/30/us-and-canada-urge-china-not-to-harm-zero-covid-protesters-amid-calls-for-crackdown
Ron DeSantis book announcement a clear sign of presidential ambition,2022-11-30T20:28:24Z,<p>Florida governor expected to challenge Trump for Republican nod in 2024 will publish The Courage to Be Free in February</p>,https://www.theguardian.com/books/2022/nov/30/ron-desantis-book-president-2024-trump-republicans,528,<p>Florida governor expected to challenge Trump for Republican nod in 2024 will publish The Courage to Be Free in February</p>,Books,Arts,article,Martin Pengelly in New York,"Books, Ron DeSantis, US elections 2024, US politics, US news, World news, Republicans, Florida",books/2022/nov/30/ron-desantis-book-president-2024-trump-republicans
Republican Nikki Haley to decide on presidential bid over Christmas holidays,2022-11-30T17:17:37Z,"<p>‘If we decide to get into it, we’ll put 1,000% in,’ says former South Carolina governor and Trump’s US ambassador to the UN</p>",https://www.theguardian.com/us-news/2022/nov/30/nikki-haley-2024-republican-president-candidate-decision,513,"<p>‘If we decide to get into it, we’ll put 1,000% in,’ says former South Carolina governor and Trump’s US ambassador to the UN</p>",US news,News,article,Martin Pengelly in New York,"US elections 2024, Nikki Haley, US news, US politics, Republicans, Donald Trump",us-news/2022/nov/30/nikki-haley-2024-republican-president-candidate-decision
Colbert on Trump’s dinner with a racist: ‘His most upsetting meal since every other meal’,2022-11-30T16:02:23Z,<p>Late-night hosts took aim at the Mar-a-Lago dinner with Kanye West and Nick Fuentes and Republicans’ half-hearted criticism</p>,https://www.theguardian.com/culture/2022/nov/30/stephen-colbert-trump-dinner-trevor-noah-jimmy-kimmel,709,<p>Late-night hosts took aim at the Mar-a-Lago dinner with Kanye West and Nick Fuentes and Republicans’ half-hearted criticism</p>,Culture,Arts,article,Guardian staff,"Late-night TV roundup, Stephen Colbert, Trevor Noah, Seth Meyers, Culture, TV comedy, Comedy, Television, Television & radio, US television, Donald Trump",culture/2022/nov/30/stephen-colbert-trump-dinner-trevor-noah-jimmy-kimmel
‘Don’t let him use the press’: Guardian readers on how the media should cover Trump’s 2024 run,2022-11-30T15:36:09Z,"<p>More than 3,000 readers responded to our callout, and urged a ‘less is more’ approach when reporting on the former president</p>",https://www.theguardian.com/us-news/2022/nov/30/trump-2024-election-guardian-readers,1507,"<p>More than 3,000 readers responded to our callout, and urged a ‘less is more’ approach when reporting on the former president</p>",US news,News,article,Guardian readers,"US news, Donald Trump, World news, US politics, The Guardian, Media",us-news/2022/nov/30/trump-2024-election-guardian-readers
Milo Yiannopoulos claims he set up Fuentes dinner ‘to make Trump’s life miserable’,2022-11-30T15:13:26Z,<p>Rightwing provocateur says he helped arrange for white supremacist to attend dinner with Trump and Kanye West</p>,https://www.theguardian.com/us-news/2022/nov/30/milo-yiannopoulos-nick-fuentes-donald-trump-dinner,615,<p>Rightwing provocateur says he helped arrange for white supremacist to attend dinner with Trump and Kanye West</p>,US news,News,article,Adam Gabbatt in New York,"Donald Trump, Republicans, US news, US politics, US elections 2024, Kanye West",us-news/2022/nov/30/milo-yiannopoulos-nick-fuentes-donald-trump-dinner
Oath Keepers founder Stewart Rhodes found guilty of seditious conspiracy,2022-11-30T15:11:25Z,<p>Jury convicts leader of rightwing group which supported Trump’s attempt to overturn 2020 election</p>,https://www.theguardian.com/us-news/2022/nov/29/oath-keepers-militia-founder-stewart-rhodes-seditious-conspiracy,771,<p>Jury convicts leader of rightwing group which supported Trump’s attempt to overturn 2020 election</p>,US news,News,article,Guardian staff and agencies,"US Capitol attack, US politics, US news, Donald Trump, US crime, World news, The far right",us-news/2022/nov/29/oath-keepers-militia-founder-stewart-rhodes-seditious-conspiracy
The politics of air: Goma’s blockbuster exhibition is an ‘incredibly powerful’ ode to an element,2022-11-30T14:00:20Z,"<p>With large-scale works from around the world, Brisbane’s major show comes with a message: we may all inhabit the same planet, but we do not breathe the same air</p><ul><li><a href=""https://www.theguardian.com/newsletters/2019/oct/18/saved-for-later-sign-up-for-guardian-australias-culture-and-lifestyle-email?CMP=cvau_sfl"">Get our weekend culture and lifestyle email</a></li></ul>",https://www.theguardian.com/culture/2022/dec/01/the-politics-of-air-gomas-blockbuster-exhibition-is-an-incredibly-powerful-ode-to-an-element,1007,"<p>With large-scale works from around the world, Brisbane’s major show comes with a message: we may all inhabit the same planet, but we do not breathe the same air</p><ul><li><a href=""https://www.theguardian.com/newsletters/2019/oct/18/saved-for-later-sign-up-for-guardian-australias-culture-and-lifestyle-email?CMP=cvau_sfl"">Get our weekend culture and lifestyle email</a></li></ul>",Culture,Arts,article,Kelly Burke,"Art, Culture, Museums, Sculpture, Painting, Photography, Brisbane, Queensland, Australia news",culture/2022/dec/01/the-politics-of-air-gomas-blockbuster-exhibition-is-an-incredibly-powerful-ode-to-an-element
‘I live in Texas’: Herschel Walker speech adds to Georgia Senate run problems,2022-11-30T13:14:46Z,<p>Republican candidate’s reference to his out-of-state home opens him to same attacks that dogged Mehmet Oz in Pennsylvania</p>,https://www.theguardian.com/us-news/2022/nov/30/herschel-walker-texas-home-georgia-senate-runoff,528,<p>Republican candidate’s reference to his out-of-state home opens him to same attacks that dogged Mehmet Oz in Pennsylvania</p>,US news,News,article,Martin Pengelly,"Georgia, US midterm elections 2022, US politics, US news, Republicans",us-news/2022/nov/30/herschel-walker-texas-home-georgia-senate-runoff
First Thing: Oath Keepers founder guilty of seditious conspiracy,2022-11-30T11:43:13Z,"<p>Trial was biggest test yet for authorities after attack that shook foundations of democracy. Plus, Senate votes to protect same-sex marriages</p>",https://www.theguardian.com/us-news/2022/nov/30/first-thing-oath-keepers-founder-guilty-of-seditious-conspiracy,1738,"<p>Trial was biggest test yet for authorities after attack that shook foundations of democracy. Plus, Senate votes to protect same-sex marriages</p>",US news,News,article,Mattha Busby,US news,us-news/2022/nov/30/first-thing-oath-keepers-founder-guilty-of-seditious-conspiracy
Labor adds extra week of Senate estimates – as it happened,2022-11-30T07:57:54Z,"<p>This blog is now closed </p><ul><li><a href=""https://www.theguardian.com/australia-news/2022/nov/30/scott-morrison-falsely-claimed-he-lacked-powers-to-help-biloela-family"">Scott Morrison falsely claimed he lacked powers to help Biloela family</a></li><li>Katharine Murphy: <a href=""https://www.theguardian.com/australia-news/2022/nov/30/nothing-in-scott-morrisons-demeanour-projected-regret-as-he-was-censured-by-parliament"">Nothing in Scott Morrison’s demeanour projected regret as he was censured by parliament</a></li><li>Get our <a href=""https://www.theguardian.com/australia-news/2022/oct/29/email-newsletters-guardian-australia-best-daily-news-emails-newsletter-free-sign-up-inbox-subscribe-headlines?CMP=cvau_sfl"">morning and afternoon news emails</a>, <a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul>",https://www.theguardian.com/australia-news/live/2022/nov/30/australian-politics-live-scott-morrison-censure-albanese-dutton-parliament-gas-energy-covid-coronavirus-weather-closing-the-gap,23777,"<p>This blog is now closed </p><ul><li><a href=""https://www.theguardian.com/australia-news/2022/nov/30/scott-morrison-falsely-claimed-he-lacked-powers-to-help-biloela-family"">Scott Morrison falsely claimed he lacked powers to help Biloela family</a></li><li>Katharine Murphy: <a href=""https://www.theguardian.com/australia-news/2022/nov/30/nothing-in-scott-morrisons-demeanour-projected-regret-as-he-was-censured-by-parliament"">Nothing in Scott Morrison’s demeanour projected regret as he was censured by parliament</a></li><li>Get our <a href=""https://www.theguardian.com/australia-news/2022/oct/29/email-newsletters-guardian-australia-best-daily-news-emails-newsletter-free-sign-up-inbox-subscribe-headlines?CMP=cvau_sfl"">morning and afternoon news emails</a>, <a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul>",Australia news,News,liveblog,Mostafa Rachwani and Amy Remeikis (earlier),"Australia news, Australian politics, Indigenous Australians, Scott Morrison, Liberal party, Labor party, Anthony Albanese",australia-news/live/2022/nov/30/australian-politics-live-scott-morrison-censure-albanese-dutton-parliament-gas-energy-covid-coronavirus-weather-closing-the-gap
"Voters will reject Liberals if they don’t have enough female candidates, Matt Kean says",2022-11-30T07:51:06Z,"<p>NSW treasurer savaged his party’s preselection processes and warned that the community expects more diversity in its parliaments</p><ul><li><a href=""http://theguardian.com/australia-news/live/2022/nov/30/australian-politics-live-scott-morrison-censure-albanese-dutton-parliament-gas-energy-covid-coronavirus-weather-closing-the-gap"">Follow our Australia news live blog for the latest updates</a></li><li>Get our <a href=""https://www.theguardian.com/australia-news/2022/oct/29/email-newsletters-guardian-australia-best-daily-news-emails-newsletter-free-sign-up-inbox-subscribe-headlines?CMP=cvau_sfl"">morning and afternoon news emails</a>, <a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul>",https://www.theguardian.com/australia-news/2022/nov/30/voters-will-reject-liberals-if-they-dont-have-enough-female-candidates-matt-kean-says,702,"<p>NSW treasurer savaged his party’s preselection processes and warned that the community expects more diversity in its parliaments</p><ul><li><a href=""http://theguardian.com/australia-news/live/2022/nov/30/australian-politics-live-scott-morrison-censure-albanese-dutton-parliament-gas-energy-covid-coronavirus-weather-closing-the-gap"">Follow our Australia news live blog for the latest updates</a></li><li>Get our <a href=""https://www.theguardian.com/australia-news/2022/oct/29/email-newsletters-guardian-australia-best-daily-news-emails-newsletter-free-sign-up-inbox-subscribe-headlines?CMP=cvau_sfl"">morning and afternoon news emails</a>, <a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul>",Australia news,News,article,Tamsin Rose,"New South Wales politics, NSW election 2023, New South Wales, Liberal party, Independents, Victoria state election 2022, Australia news, Matt Kean",australia-news/2022/nov/30/voters-will-reject-liberals-if-they-dont-have-enough-female-candidates-matt-kean-says
Krishnan Guru-Murthy says it is time for a black or Asian boss of a UK TV channel,2022-11-30T07:00:10Z,<p>Exclusive: Channel 4 News presenter to make case in speech to station’s Inclusion festival on Wednesday</p>,https://www.theguardian.com/tv-and-radio/2022/nov/30/krishnan-guru-murthy-says-it-is-time-for-a-black-or-asian-to-run-a-uk-tv-channel,538,<p>Exclusive: Channel 4 News presenter to make case in speech to station’s Inclusion festival on Wednesday</p>,Television & radio,Arts,article,Jim Waterson Media editor,"Television, Krishnan Guru-Murthy, Race, Media, Culture, Television & radio",tv-and-radio/2022/nov/30/krishnan-guru-murthy-says-it-is-time-for-a-black-or-asian-to-run-a-uk-tv-channel
How should late-night comedy handle a third Trump candidacy?,2022-11-30T06:43:09Z,"<p>Two years after an escape hatch from the Trump attention loop, late-night shows are again confronted with the question of how to cover him</p>",https://www.theguardian.com/tv-and-radio/2022/nov/29/late-night-comedy-shows-second-trump-candidacy,1107,"<p>Two years after an escape hatch from the Trump attention loop, late-night shows are again confronted with the question of how to cover him</p>",Television & radio,Arts,article,Adrian Horton,"TV comedy, Comedy, US television, Culture, Television, Television & radio, Donald Trump, Jimmy Fallon, Jimmy Kimmel, Stephen Colbert, Seth Meyers",tv-and-radio/2022/nov/29/late-night-comedy-shows-second-trump-candidacy
Congress to take up bill to avert rail strike as Biden and unions clash – as it happened,2022-11-29T21:16:23Z,"<ul><li>President urges Congress to impose deal on rail workers</li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",https://www.theguardian.com/us-news/live/2022/nov/29/congress-rail-strike-same-sex-marriage-democrats-biden-republicans-live-updates,5136,"<ul><li>President urges Congress to impose deal on rail workers</li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",US news,News,liveblog,Joanna Walters in New York,"US politics, US news, Joe Biden, Republicans, Democrats, US domestic policy, US unions",us-news/live/2022/nov/29/congress-rail-strike-same-sex-marriage-democrats-biden-republicans-live-updates
"Morning Mail: Child vaping surge prompts government crackdown, ‘crazy’ Covid fines, Morrison censure motion",2022-11-29T20:02:36Z,"<p>In today’s newsletter: children were vaping nicotine without realising it; NSW urged to cancel more lockdown fines; Morrison on track for official censure</p><ul><li>Want to get this in your inbox every weekday? <a href=""https://www.theguardian.com/australia-news/2022/sep/23/morning-mail-newsletter-best-daily-news-email-guardian-australia-free-sign-up-inbox-subscribe?CMP=cvau_sfl&amp;CMP=mm_sfl"">Sign up for the Morning Mail here</a>, and finish your day with <a href=""https://www.theguardian.com/australia-news/2022/oct/13/afternoon-update-newsletter-best-daily-news-email-guardian-australia-free-sign-up?CMP=cvau_sfl&amp;CMP=mm_sfl"">our Afternoon Update newsletter</a></li></ul>",https://www.theguardian.com/australia-news/2022/nov/30/morning-mail-child-vaping-surge-prompts-government-crackdown-crazy-covid-fines-morrison-censure-motion,1119,"<p>In today’s newsletter: children were vaping nicotine without realising it; NSW urged to cancel more lockdown fines; Morrison on track for official censure</p><ul><li>Want to get this in your inbox every weekday? <a href=""https://www.theguardian.com/australia-news/2022/sep/23/morning-mail-newsletter-best-daily-news-email-guardian-australia-free-sign-up-inbox-subscribe?CMP=cvau_sfl&amp;CMP=mm_sfl"">Sign up for the Morning Mail here</a>, and finish your day with <a href=""https://www.theguardian.com/australia-news/2022/oct/13/afternoon-update-newsletter-best-daily-news-email-guardian-australia-free-sign-up?CMP=cvau_sfl&amp;CMP=mm_sfl"">our Afternoon Update newsletter</a></li></ul>",Australia news,News,article,Martin Farrer,Australia news,australia-news/2022/nov/30/morning-mail-child-vaping-surge-prompts-government-crackdown-crazy-covid-fines-morrison-censure-motion
The Guardian view on Biden’s ‘Buy America’ strategy: a wake-up call for Europe,2022-11-29T18:50:30Z,<p>Huge subsidies for US-based low-carbon manufacturers are posing big problems for EU leaders</p>,https://www.theguardian.com/commentisfree/2022/nov/29/the-guardian-view-on-bidens-buy-america-strategy-a-wake-up-call-for-europe,615,<p>Huge subsidies for US-based low-carbon manufacturers are posing big problems for EU leaders</p>,Opinion,Opinion,article,Editorial,"Economics, Joe Biden, US economy, European Union, US news, Europe, Economic policy, Business",commentisfree/2022/nov/29/the-guardian-view-on-bidens-buy-america-strategy-a-wake-up-call-for-europe
Trevor Noah: ‘Why still act surprised when Trump does Trump stuff?’,2022-11-29T16:15:57Z,<p>Late-night hosts on outrage over Trump’s Mar-a-Lago dinner party with Kanye West and Holocaust denier Nick Fuentes</p>,https://www.theguardian.com/culture/2022/nov/29/trevor-noah-trump-ye-nick-fuentes-stephen-colbert-jimmy-kimmel,745,<p>Late-night hosts on outrage over Trump’s Mar-a-Lago dinner party with Kanye West and Holocaust denier Nick Fuentes</p>,Culture,Arts,article,Guardian staff,"Late-night TV roundup, Trevor Noah, Stephen Colbert, Jimmy Kimmel, TV comedy, Comedy, Culture, US television, Television & radio, Television",culture/2022/nov/29/trevor-noah-trump-ye-nick-fuentes-stephen-colbert-jimmy-kimmel
Jewish conservatives condemn Trump for meeting antisemite Nick Fuentes,2022-11-29T16:00:37Z,"<p>Mike Pence, Chris Christie and several Republican senators were also critical, to varying degrees, of former president</p>",https://www.theguardian.com/us-news/2022/nov/29/jewish-conservatives-condemn-trump-meeting-antisemite-nick-fuentes,655,"<p>Mike Pence, Chris Christie and several Republican senators were also critical, to varying degrees, of former president</p>",US news,News,article,Adam Gabbatt,"Donald Trump, US politics, US news, Republicans, Antisemitism, The far right, Kanye West",us-news/2022/nov/29/jewish-conservatives-condemn-trump-meeting-antisemite-nick-fuentes
US courts ruling in favor of justice department turns legal tide on Trump,2022-11-29T10:00:23Z,<p>The ex-president’s supporters will no longer be able to avoid testifying before grand juries in Washington DC and Georgia</p>,https://www.theguardian.com/us-news/2022/nov/29/donald-trump-legal-trouble-us-courts-favor-justice-department,994,<p>The ex-president’s supporters will no longer be able to avoid testifying before grand juries in Washington DC and Georgia</p>,US news,News,article,Peter Stone in Washington,"Donald Trump, US news, US Capitol attack, Law, Law (US), Florida, Mar-a-Lago, Georgia, Joe Biden, US elections 2020, Mark Meadows, Merrick Garland, US politics, Republicans",us-news/2022/nov/29/donald-trump-legal-trouble-us-courts-favor-justice-department
China police move to deter zero-Covid demonstrations and trace protesters,2022-11-29T09:32:37Z,"<p>One arrested as police reportedly demand information from Beijing protester, while show of force largely prevents fresh demonstrations</p>",https://www.theguardian.com/world/2022/nov/29/china-police-move-to-deter-zero-covid-demonstrations-and-trace-protesters,1051,"<p>One arrested as police reportedly demand information from Beijing protester, while show of force largely prevents fresh demonstrations</p>",World news,News,article,Helen Davidson in Taipei,"China, Coronavirus, World news, Asia Pacific, Xi Jinping",world/2022/nov/29/china-police-move-to-deter-zero-covid-demonstrations-and-trace-protesters
"‘The Godfather, Saudi-style’: inside the palace coup that brought MBS to power",2022-11-29T06:00:18Z,"<p>Not long ago, Saudi Arabia’s crown prince, Mohammed bin Nayef, was all set to assume power. But his ambitious young cousin had a ruthless plan to seize control for himself</p>",https://www.theguardian.com/world/2022/nov/29/mbs-v-mbn-the-bitter-power-struggle-between-rival-saudi-princes,4753,"<p>Not long ago, Saudi Arabia’s crown prince, Mohammed bin Nayef, was all set to assume power. But his ambitious young cousin had a ruthless plan to seize control for himself</p>",World news,News,article,Anuj Chopra,"Saudi Arabia, Mohammed bin Salman, Middle East and north Africa, Jamal Khashoggi, Turki al-Sheikh",world/2022/nov/29/mbs-v-mbn-the-bitter-power-struggle-between-rival-saudi-princes
Arizona secretary of state sues after Republican officials refuse to certify county election results,2022-11-29T03:22:05Z,<p>Cochise county officials have endorsed claims of voter fraud despite no evidence of any problems</p>,https://www.theguardian.com/us-news/2022/nov/28/republicans-arizona-county-refuse-to-certify-midterm-election-results,682,<p>Cochise county officials have endorsed claims of voter fraud despite no evidence of any problems</p>,US news,News,article,Gloria Oladipo and agencies,"US midterm elections 2022, Arizona, US news, US politics",us-news/2022/nov/28/republicans-arizona-county-refuse-to-certify-midterm-election-results
Donald Trump ‘shied away from criticising Nick Fuentes’,2022-11-28T21:53:05Z,<p>Advisers wanted ex-president to distance himself from white supremacist with whom he dined but Trump feared alienating supporters – insiders</p>,https://www.theguardian.com/us-news/2022/nov/28/donald-trump-shied-away-from-criticising-nick-fuentes,859,<p>Advisers wanted ex-president to distance himself from white supremacist with whom he dined but Trump feared alienating supporters – insiders</p>,US news,News,article,Hugo Lowell in Washington,"Donald Trump, The far right, Antisemitism, US news, US politics, World news",us-news/2022/nov/28/donald-trump-shied-away-from-criticising-nick-fuentes
Congress returns after holiday break to face lengthy to-do list – as it happened,2022-11-28T21:09:46Z,"<ul><li>Lawmakers bid to pass bills on shutdown and assault rifles</li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",https://www.theguardian.com/us-news/live/2022/nov/28/congress-lame-duck-agenda-assault-weapons-shutdown-biden-politics-live,2591,"<ul><li>Lawmakers bid to pass bills on shutdown and assault rifles</li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",US news,News,liveblog,Gloria Oladipo in New York,"US politics, Joe Biden, US news, Republicans, Democrats, World news",us-news/live/2022/nov/28/congress-lame-duck-agenda-assault-weapons-shutdown-biden-politics-live
It ain’t me babe: Bob Dylan apologises for using a machine to autograph books,2022-11-28T17:23:30Z,<p>Musician says he had vertigo when he used autopen on books advertised as hand-signed</p>,https://www.theguardian.com/music/2022/nov/28/bob-dylan-apologises-for-using-a-machine-to-autograph-hand-signed-books,757,<p>Musician says he had vertigo when he used autopen on books advertised as hand-signed</p>,Music,Arts,article,Michael Sun and Nadia Khomami,"Bob Dylan, Music, Culture, US news, Books, World news",music/2022/nov/28/bob-dylan-apologises-for-using-a-machine-to-autograph-hand-signed-books
The other New York: how Republicans made ‘shocking’ gains in the empire state,2022-11-28T10:00:22Z,"<p>The GOP made surprise gains in immigrant enclaves in Brooklyn, as Republicans slammed Democrats as ‘soft on crime’</p>",https://www.theguardian.com/us-news/2022/nov/28/new-york-republicans-midterm-elections-brooklyn-crime,2584,"<p>The GOP made surprise gains in immigrant enclaves in Brooklyn, as Republicans slammed Democrats as ‘soft on crime’</p>",US news,News,article,Wilfred Chan in Brooklyn,"New York, US news, US midterm elections 2022, Republicans, Democrats, US politics",us-news/2022/nov/28/new-york-republicans-midterm-elections-brooklyn-crime
"‘There was one prima donna on Star Trek’: George Takei on William Shatner, love and life as an ‘enemy alien’",2022-11-28T06:00:16Z,"<p>TV made him a star, but activism turned him into a hero. Now 85 and still going strong, the actor remembers his friendships and feuds, and his shameful treatment in the second world war</p>",https://www.theguardian.com/stage/2022/nov/28/star-trek-george-takei-on-william-shatner-love-and-life-as-an-enemy-alien,2700,"<p>TV made him a star, but activism turned him into a hero. Now 85 and still going strong, the actor remembers his friendships and feuds, and his shameful treatment in the second world war</p>",Stage,Arts,article,Simon Hattenstone,"Stage, Theatre, Musicals, Star Trek, Culture, Television, Television & radio, Japan, US news, Race, LGBTQ+ rights, Asia Pacific, Science fiction TV",stage/2022/nov/28/star-trek-george-takei-on-william-shatner-love-and-life-as-an-enemy-alien
White House health officials: up-to-date vaccines key to move on from Covid,2022-11-27T20:45:55Z,<p>Fauci and Jha comments come amid campaign to encourage public to get the new coronavirus boosters as well as flu shots</p>,https://www.theguardian.com/world/2022/nov/27/white-house-fauci-jha-covid-vaccines,642,<p>Fauci and Jha comments come amid campaign to encourage public to get the new coronavirus boosters as well as flu shots</p>,World news,News,article,Edward Helmore in New York,"Omicron variant, Coronavirus, Biden administration, US news, Infectious diseases, US politics",world/2022/nov/27/white-house-fauci-jha-covid-vaccines
