headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"Following Setbacks, Climate Activists Rethink Their Approach",2023-05-30T11:41:12Z,Climate-focused shareholder activists have scored only a few victories in their efforts to push oil giants to adopt cleaner business strategies.,https://www.nytimes.com/2023/05/30/business/dealbook/climate-shareholder-activists-oil.html,1605,Climate-focused shareholder activists have scored only a few victories in their efforts to push oil giants to adopt cleaner business strategies.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch, Ephrat Livni and Vivienne Walt",
Why North Korea’s Princess Will Never Wear the Crown,2023-05-30T05:00:09Z,"Routine missile tests aren’t generating the headlines he craves, so Kim Jong-un is tapping his daughter’s global star power.",https://www.nytimes.com/2023/05/30/opinion/north-korea-succession-daughter.html,1413,"Routine missile tests aren’t generating the headlines he craves, so Kim Jong-un is tapping his daughter’s global star power.",OpEd,Opinion,,Op-Ed,By Chun Su-jin,
‘Succession’ Nailed the Unreal Way We Live Now,2023-05-29T05:58:24Z,"The show captured the terrifying, mesmerizing interplay between fact and fiction and turned it into great television.",https://www.nytimes.com/2023/05/29/opinion/succession-finale.html,2487,"The show captured the terrifying, mesmerizing interplay between fact and fiction and turned it into great television.",OpEd,Opinion,,Op-Ed,By Kurt Andersen,
Trump Must Be Pleased With the Way the Republican Race Is Shaping Up,2023-05-27T14:19:38Z,It’s 2016 all over again.,https://www.nytimes.com/2023/05/27/opinion/republican-trump-desantis-2024.html,1046,It’s 2016 all over again.,OpEd,Opinion,,Op-Ed,By Jamelle Bouie,
"DeSantis Steps Up Attacks on Trump, Hitting Him on Crime and Covid",2023-05-27T00:50:25Z,"Gov. Ron DeSantis of Florida vowed to repeal the First Step Act, a Trump-era criminal justice law, if elected president. He called it “basically a jailbreak bill.”",https://www.nytimes.com/2023/05/26/us/politics/desantis-trump-crime-covid.html,851,"Gov. Ron DeSantis of Florida vowed to repeal the First Step Act, a Trump-era criminal justice law, if elected president. He called it “basically a jailbreak bill.”",Politics,U.S.,Politics,News,"By Neil Vigdor, Maggie Haberman and Nicholas Nehamas",
"Citi Bike, 10 Years Old and Part of New York’s Street Life",2023-05-26T04:30:06Z,"The bike-share service has grown and spread into more city neighborhoods, and it even had a cameo on “Succession.”",https://www.nytimes.com/2023/05/26/nyregion/citi-bike-10-years-old.html,1532,"The bike-share service has grown and spread into more city neighborhoods, and it even had a cameo on “Succession.”",Metro,New York,,briefing,By James Barron,
Will DeSantis Destroy Conservatism as We Know It?,2023-05-25T19:30:03Z,He has distilled Trump’s impulses into an ideology — and there’s nothing conservative about it.,https://www.nytimes.com/2023/05/25/opinion/desantis-conservatism-gop-trump.html,1623,He has distilled Trump’s impulses into an ideology — and there’s nothing conservative about it.,OpEd,Opinion,,Op-Ed,By David French,
Ron DeSantis Launches His Campaign,2023-05-24T22:29:54Z,"Also, Tina Turner dies at 83. Here’s the latest at the end of Wednesday.",https://www.nytimes.com/2023/05/24/briefing/ron-desantis-campaign-tina-turner.html,1183,"Also, Tina Turner dies at 83. Here’s the latest at the end of Wednesday.",NYTNow,Briefing,,News,By Matthew Cullen,
"Conservatives like DeSantis’s aggressive policies, especially on social issues.",2023-05-24T21:51:04Z,,https://www.nytimes.com/live/2023/05/24/us/desantis-2024-election-president/conservatives-like-desantiss-aggressive-policies-especially-on-social-issues,308,,Politics,U.S.,Politics,Live Blog Post,By Nicholas Nehamas,
"In Shaky Start, Ron DeSantis Joins 2024 Race, Hoping to Topple Trump",2023-05-24T18:34:50Z,"The Florida governor, Donald Trump’s strongest challenger since 2016, made an unusual and glitch-marred entrance on Twitter alongside Elon Musk. He now faces a daunting clash with Mr. Trump and his scorched-earth tactics.",https://www.nytimes.com/2023/05/24/us/politics/ron-desantis-2024-presidential-election.html,1860,"The Florida governor, Donald Trump’s strongest challenger since 2016, made an unusual and glitch-marred entrance on Twitter alongside Elon Musk. He now faces a daunting clash with Mr. Trump and his scorched-earth tactics.",Politics,U.S.,Politics,News,By Nicholas Nehamas and Shane Goldmacher,
Walensky Resigns as C.D.C. Director,2023-05-05T16:50:31Z,"In an announcement on Friday, the head of the beleaguered agency said she would step down in June. “We made this world a safer place,” she said.",https://www.nytimes.com/2023/05/05/health/walensky-cdc-resignation.html,1482,"In an announcement on Friday, the head of the beleaguered agency said she would step down in June. “We made this world a safer place,” she said.",Science,Health,,News,By Apoorva Mandavilli and Noah Weiland,
