headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Transcript: Ezra Klein Interviews Scott Wiener,2023-04-28T16:35:09Z,"The April 28, 2023, episode of “The Ezra Klein Show.”",https://www.nytimes.com/2023/04/28/podcasts/ezra-klein-podcast-transcript-scott-wiener.html,14420,"The April 28, 2023, episode of “The Ezra Klein Show.”",OpEd,Podcasts,,Op-Ed,,
‘The Most Dangerous Person in the World Is Randi Weingarten’,2023-04-28T09:00:36Z,School closures and culture wars turned classrooms into battlegrounds — and made the head of one of the country’s largest teachers’ unions a lightning rod for criticism.,https://www.nytimes.com/2023/04/28/magazine/randi-weingarten-teachers-unions.html,7443,School closures and culture wars turned classrooms into battlegrounds — and made the head of one of the country’s largest teachers’ unions a lightning rod for criticism.,Magazine,Magazine,,News,By Jonathan Mahler,
"And in This Corner, Hailing From Dagestan, Presenting Hasbulla",2023-04-28T09:00:21Z,A charismatic viral video star who stands just over three feet tall has become the most beloved man in the U.F.C. universe — even though he doesn’t actually fight.,https://www.nytimes.com/2023/04/28/style/hasbulla-influencer-ufc.html,2370,A charismatic viral video star who stands just over three feet tall has become the most beloved man in the U.F.C. universe — even though he doesn’t actually fight.,Styles,Style,,News,By Joseph Bernstein,
‘White House Plumbers’ Revisits the Fringes of Watergate,2023-04-27T09:00:25Z,A new HBO “slapstick tragedy” mostly avoids the Oval Office in favor of the men who actually executed the infamous burglary that brought down a president.,https://www.nytimes.com/2023/04/27/arts/television/white-house-plumbers-hbo-watergate.html,1517,A new HBO “slapstick tragedy” mostly avoids the Oval Office in favor of the men who actually executed the infamous burglary that brought down a president.,Arts&Leisure,Arts,Television,News,By Adam Nagourney,
The Pillow Guy and the R.N.C. Chair,2023-04-27T09:00:24Z,Conversations with Mike Lindell and Ronna McDaniel reveal the complexities of the divisions at the heart of the G.O.P.,https://www.nytimes.com/2023/04/27/podcasts/mike-lindell-ronna-mcdaniel-republican-party.html,246,Conversations with Mike Lindell and Ronna McDaniel reveal the complexities of the divisions at the heart of the G.O.P.,Podcasts,Podcasts,,News,By ‘The Run-Up’ Team,
Who’s to Blame for a Million Deaths?,2023-04-26T18:52:58Z,"While fingers are pointed at Trump and Fauci, the virus was an unbeaten foe.",https://www.nytimes.com/2023/04/26/opinion/whos-to-blame-for-a-million-deaths.html,1655,"While fingers are pointed at Trump and Fauci, the virus was an unbeaten foe.",OpEd,Opinion,,Op-Ed,By David Wallace-Wells,
Biden’s Quiet Re-election Strategy,2023-04-26T10:38:35Z,"As Biden starts his campaign, we ask why he doesn’t spend more time in the public eye.",https://www.nytimes.com/2023/04/26/briefing/biden-reelection-campaign.html,1673,"As Biden starts his campaign, we ask why he doesn’t spend more time in the public eye.",NYTNow,Briefing,,briefing,By David Leonhardt,
Biden’s 2024 Campaign Begins. You Might Miss It at First.,2023-04-26T07:00:11Z,"The president has no immediate plans to barnstorm key states with large rallies. He will instead try to burnish his record, and hope Republican infighting continues.",https://www.nytimes.com/2023/04/26/us/politics/biden-2024-campaign.html,1422,"The president has no immediate plans to barnstorm key states with large rallies. He will instead try to burnish his record, and hope Republican infighting continues.",Politics,U.S.,Politics,News,By Reid J. Epstein and Shane Goldmacher,
Your Wednesday Briefing,2023-04-26T04:50:31Z,Joe Biden’s bid for re-election.,https://www.nytimes.com/2023/04/26/world/europe/biden-election-taliban-heat.html,1344,Joe Biden’s bid for re-election.,NYTNow,World,Europe,News,By Natasha Frost,
Your Wednesday Briefing: Biden’s Re-Election Bid,2023-04-25T21:14:21Z,"Also, Ukraine prepares for a counteroffensive and South Korea’s president visits Washington.",https://www.nytimes.com/2023/04/25/briefing/biden-2024-ukraine-counteroffensive-asia.html,1173,"Also, Ukraine prepares for a counteroffensive and South Korea’s president visits Washington.",Dining,Briefing,,briefing,By Amelia Nierenberg,
