headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Right-Wing Media Says Virus Fears Were Whipped Up to Hurt Trump,2020-02-28T23:02:21Z,Rush Limbaugh and Fox News pundits accused Democrats and journalists of “politicizing and actually weaponizing” an infectious disease.,https://www.nytimes.com/2020/02/28/business/media/coronavirus-right-wing-media.html,1031,Rush Limbaugh and Fox News pundits accused Democrats and journalists of “politicizing and actually weaponizing” an infectious disease.,Business,Business,Media,News,By Michael M. Grynbaum and Rachel Abrams,
"Democrats, Your Time Is Running Out",2020-02-28T12:57:24Z,"Amy Klobuchar, Pete Buttigieg, Tom Steyer, Mike Bloomberg and perhaps Elizabeth Warren need to get out of the race.",https://www.nytimes.com/2020/02/28/opinion/democrats-super-tuesday.html,936,"Amy Klobuchar, Pete Buttigieg, Tom Steyer, Mike Bloomberg and perhaps Elizabeth Warren need to get out of the race.",OpEd,Opinion,,Op-Ed,By Timothy Egan,
On Politics: Where Things Stand Before South Carolina,2020-02-28T12:05:15Z,This is your morning tip sheet.,https://www.nytimes.com/2020/02/28/us/politics/on-politics-south-carolina-pelosi-biden.html,1721,,Politics,U.S.,Politics,News,By Giovanni Russonello,
Will the Economy Re-elect Trump? Should It?,2020-02-28T10:00:20Z,"People often vote with their wallets, crediting, or blaming, the president for things that economists say are outside any policymaker’s control.",https://www.nytimes.com/2020/02/28/business/will-economy-re-elect-trump.html,859,"People often vote with their wallets, crediting, or blaming, the president for things that economists say are outside any policymaker’s control.",SundayBusiness,Business,,News,By N. Gregory Mankiw,
Late Night Awaits Mike Pence’s Cure for the Coronavirus,2020-02-28T08:03:52Z,"The vice president has been put in charge of America’s response to the outbreak. “In other words, it’s been nice knowing you,” Conan O’Brien said.",https://www.nytimes.com/2020/02/28/arts/television/late-night-mike-pence-coronavirus.html,801,"The vice president has been put in charge of America’s response to the outbreak. “In other words, it’s been nice knowing you,” Conan O’Brien said.",Culture,Arts,Television,News,By Trish Bendix,
When a Pandemic Meets a Personality Cult,2020-02-28T00:49:16Z,The Trump team confirms all of our worst fears.,https://www.nytimes.com/2020/02/27/opinion/coronavirus-trump.html,874,The Trump team confirms all of our worst fears.,OpEd,Opinion,,Op-Ed,By Paul Krugman,
Bloomberg seems more at ease in a town hall format.,2020-02-27T01:21:56Z,,https://www.nytimes.com/live/2020/south-carolina-debate-primary-02-26/michael-bloomberg-cnn-town-hall,554,,Politics,U.S.,Politics,Live Blog Post,By Rebecca R. Ruiz,
"I Can’t Hear You, There’s a Debate Going On",2020-02-26T13:20:53Z,"In a rush for attention at the Democrats’ noisy showdown, CBS’s moderators got stampeded, our television critic writes.",https://www.nytimes.com/2020/02/26/arts/television/south-carolina-democratic-debate.html,823,"In a rush for attention at the Democrats’ noisy showdown, CBS’s moderators got stampeded.",Culture,Arts,Television,News,By James Poniewozik,
Why Russia Is Rooting for Both Trump and Sanders,2020-02-26T10:52:22Z,Why Russia Is rooting for both President Trump and Bernie Sanders.,https://www.nytimes.com/2020/02/26/podcasts/the-daily/russia-trump-sanders.html,310,"The Russian government is again trying to meddle in the presidential election. In doing so, they’re working to aid two very different candidates.",Podcasts,Podcasts,The Daily,News,,
The Democratic Party Devours Itself,2020-02-26T10:00:17Z,"At a raucous debate, Bernie Sanders was the target, but who really got hurt?",https://www.nytimes.com/2020/02/26/opinion/democratic-debate-south-carolina.html,1107,"At a raucous debate, Bernie Sanders was the target, but who really got hurt?",OpEd,Opinion,,Op-Ed,By Frank Bruni,
Government Eyes War Powers to Speed Medical Manufacturing Ahead of Virus,2020-02-28T21:03:37Z,The Trump administration may use a law enacted during the Korean War to speed up the manufacturing of medical supplies.,https://www.nytimes.com/2020/02/28/us/politics/trump-coronavirus.html,1289,"Alex M. Azar II, the health secretary, raised the prospect of invoking a Korean War-era law to expand production of materials for national security purposes in a potential coronavirus outbreak.",Washington,U.S.,Politics,News,By Noah Weiland and Emily Cochrane,
Trump Names Mike Pence to Lead Coronavirus Response,2020-02-26T14:54:44Z,President Trump named Vice President Mike Pence to lead the effort and sought to reassure Americans that his government was controlling the virus’s spread.,https://www.nytimes.com/2020/02/26/us/politics/trump-coronavirus-cdc.html,1941,President Trump sought to reassure the country that his government was controlling the spread of the coronavirus after his administration weathered days of criticism.,Washington,U.S.,Politics,News,"By Michael D. Shear, Noah Weiland and Katie Rogers",
White House Asks Congress for Billions to Fight Coronavirus,2020-02-24T18:28:01Z,The request arrived at the same time the Trump administration is proposing cuts to health programs across the government and as health officials across the nation struggle to keep up with costs.,https://www.nytimes.com/2020/02/24/us/politics/trump-coronavirus-response.html,1505,The request arrived at the same time the Trump administration is proposing cuts to health programs across the government and as health officials across the nation struggle to keep up with costs.,Washington,U.S.,Politics,News,"By Noah Weiland, Emily Cochrane and Maggie Haberman",
C.D.C. Officials Warn of Coronavirus Outbreaks in the U.S.,2020-02-25T18:19:22Z,"Clusters of infection are likely in the U.S., health officials said. Some lawmakers doubted that the Trump administration was ready.",https://www.nytimes.com/2020/02/25/health/coronavirus-us.html,1532,"Clusters of infection are likely in American communities, health officials said. Some lawmakers questioned whether the nation is prepared.",Science,Health,,News,By Pam Belluck and Noah Weiland,
