headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"William P. Barr’s Memoir Is Part Lawyerly Defense, Part Culture-War Diatribe",2022-02-27T19:50:52Z,"In “One Damn Thing After Another,” the former attorney general suggests that Republicans move past Donald Trump and his “madcap rhetoric,” but saves his harshest words for the former president’s critics.",https://www.nytimes.com/2022/02/27/books/review-william-barr-memoir-one-damn-thing-after-another.html,1532,"In “One Damn Thing After Another,” the former attorney general suggests that Republicans move past Donald Trump and his “madcap rhetoric,” but saves his harshest words for the former president’s critics.",Culture,Books,,Review,By Jennifer Szalai,
Is Humility the Right Tone for Biden’s State of the Union Address?,2022-02-27T16:30:10Z,What approach should the president take in his address? Also: The Trump case in New York; protecting the vulnerable; travel as an escape from Covid; working from home.,https://www.nytimes.com/2022/02/27/opinion/letters/biden-state-of-the-union.html,1284,What approach should the president take in his address? Also: The Trump case in New York; protecting the vulnerable; travel as an escape from Covid; working from home.,Letters,Opinion,Letters,Letter,,
A Kennedy’s Crusade Against Covid Vaccines Anguishes Family and Friends,2022-02-26T10:00:22Z,Robert F. Kennedy Jr. has risen to become a major figure in the vaccine resistance movement. Those close to him say it’s “heartbreaking.”,https://www.nytimes.com/2022/02/26/us/robert-kennedy-covid-vaccine.html,2145,Robert F. Kennedy Jr. has risen to become a major figure in the vaccine resistance movement. Those close to him say it’s “heartbreaking.”,National,U.S.,,News,By Adam Nagourney,
The Drift Wants You to ‘Examine Your Ideas’,2022-02-26T10:00:19Z,"The lit mag of the moment, founded by two women in their 20s, isn’t afraid to say what’s on its mind.",https://www.nytimes.com/2022/02/26/style/the-drift-magazine.html,1974,"The lit mag of the moment, founded by two women in their 20s, isn’t afraid to say what’s on its mind.",Styles,Style,,News,By Alex Vadukul,
Your Friday Evening Briefing,2022-02-25T22:33:06Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2022/02/25/briefing/kyiv-supreme-court-star-wars.html,1282,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Remy Tumin,
Putin’s War on Ukraine: Rising Outrage,2022-02-25T20:32:35Z,Readers question the decision not to send U.S. troops into Ukraine and speculate about Russia’s motives and timing. Also: Justice reforms and crime rates.,https://www.nytimes.com/2022/02/25/opinion/letters/russia-ukraine-putin.html,1058,Readers question the decision not to send U.S. troops into Ukraine and speculate about Russia’s motives and timing. Also: Justice reforms and crime rates.,Letters,Opinion,Letters,Letter,,
‘I’ll Stand on the Side of Russia’: Pro-Putin Sentiment Spreads Online,2022-02-25T17:10:52Z,"After marinating in conspiracy theories and Donald J. Trump’s Russia stance, some online discourse about Vladimir Putin has grown more complimentary.",https://www.nytimes.com/2022/02/25/technology/russia-supporters.html,1397,"After marinating in conspiracy theories and Donald J. Trump’s Russia stance, some online discourse about Vladimir Putin has grown more complimentary.",Business,Technology,,News,By Davey Alba and Stuart A. Thompson,
Sanctions and Consequences,2022-02-25T13:18:38Z,The ripple effects of Russia’s invasion of Ukraine are coming into focus.,https://www.nytimes.com/2022/02/25/business/dealbook/russia-ukraine-sanctions-energy.html,1816,The ripple effects of Russia’s invasion of Ukraine are coming into focus.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Michael J. de la Merced and Lauren Hirsch",
Late Night Gets Serious About Ukraine,2022-02-25T06:40:26Z,Hosts did their best to bring levity to their shows on an otherwise somber day.,https://www.nytimes.com/2022/02/25/arts/television/late-night-ukraine-serious.html,902,Hosts did their best to bring levity to their shows on an otherwise somber day.,Culture,Arts,Television,News,By Trish Bendix,
Your Thursday Evening Briefing,2022-02-24T22:57:08Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2022/02/24/briefing/ukraine-sanctions-guilty-verdict-your-thursday-evening-briefing.html,1232,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Lauren McCarthy,
