headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
The Antitrust Case Against Facebook Crumbles,2021-06-29T11:45:52Z,A federal judge delivered a major blow to those trying to shrink Big Tech.,https://www.nytimes.com/2021/06/29/business/dealbook/facebook-antitrust-ftc.html,1782,A federal judge delivered a major blow to those trying to shrink Big Tech.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",
The War on History Is a War on Democracy,2021-06-29T09:00:23Z,A scholar of totalitarianism argues that new laws restricting the discussion of race in American schools have dire precedents in Europe.,https://www.nytimes.com/2021/06/29/magazine/memory-laws.html,4297,A scholar of totalitarianism argues that new laws restricting the discussion of race in American schools have dire precedents in Europe.,Magazine,Magazine,,News,By Timothy Snyder,
Red America’s Covid Problem,2021-06-28T10:32:54Z,David Leonhardt on the growing Covid problem in heavily Republican areas.,https://www.nytimes.com/2021/06/28/briefing/covid-cases-rising-red-america.html,1288,"Cases are rising, because of the Delta variant.",NYTNow,Briefing,,briefing,By David Leonhardt,
The Mike Pence Saga Tells Us More Than We Want to Know,2021-06-28T09:00:12Z,But he is not the only politician who shows which way the wind is blowing. ,https://www.nytimes.com/2021/06/28/opinion/trump-pence-biden-eric-adams.html,1535,But he is not the only politician who shows which way the wind is blowing. ,OpEd,Opinion,,Op-Ed,By Gail Collins and Bret Stephens,
Transcript: Ezra Klein Interviews Ari Berman,2021-06-25T16:44:04Z,,https://www.nytimes.com/2021/06/25/podcasts/transcript-ezra-klein-interviews-ari-berman.html,14064,,OpEd,Podcasts,,Op-Ed,,
I Created ‘The X-Files.’ Here’s Why I’m Skeptical of the New U.F.O. Report.,2021-06-25T09:00:19Z,“Could the government actually be telling the truth? Or is the truth above top secret?” asks “X-Files” creator Chris Carter.,https://www.nytimes.com/2021/06/25/opinion/chris-carter-aliens-ufo-xfiles.html,1239,“Could the government actually be telling the truth? Or is the truth above top secret?” asks “X-Files” creator Chris Carter.,OpEd,Opinion,,Op-Ed,By Chris Carter,
They Seemed Like Democratic Activists. They Were Secretly Conservative Spies.,2021-06-25T07:00:14Z,"Operatives infiltrated progressive groups across the West to try to manipulate politics and reshape the national electoral map. They targeted moderate Republicans, too — anyone seen as threats to hard-line conservatives.",https://www.nytimes.com/2021/06/25/us/politics/spies-conservatives-left-political-enemies.html,3608,"Operatives infiltrated progressive groups across the West to try to manipulate politics and reshape the national electoral map. They targeted moderate Republicans, too — anyone seen as threats to hard-line conservatives.",Washington,U.S.,Politics,News,By Mark Mazzetti and Adam Goldman,
"Infrastructure, Surfside, Giuliani: Your Thursday Evening Briefing",2021-06-24T21:30:50Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2021/06/24/briefing/infrastructure-surfside-giuliani.html,1062,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Will Dudding,
Dialogue Is Not Possible With ‘Opposing Views of Reality’,2021-06-24T16:30:51Z,Readers say today's Republican Party is too extreme to engage with. Also: Britney Spears; military aid to the Saudis; the Tokyo Olympics: moms and work; manicures.,https://www.nytimes.com/2021/06/24/opinion/letters/republicans-dialogue.html,1267,Readers say today's Republican Party is too extreme to engage with. Also: Britney Spears; military aid to the Saudis; the Tokyo Olympics: moms and work; manicures.,Letters,Opinion,Letters,Letter,,
Buffett Weighs In on Tax-Free Philanthropy,2021-06-24T11:09:58Z,"The Berkshire Hathaway chief, who has given away billions, asks whether donations should keep their special status.",https://www.nytimes.com/2021/06/24/business/dealbook/buffett-philanthropy-taxes.html,1701,"The Berkshire Hathaway chief, who has given away billions, asks whether donations should keep their special status.",Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",
"OSHA issues a new Covid safety rule, but only for the health care industry.",2021-06-10T17:49:21Z,The Labor Department says it will issue optional guidance to other employers. Some advocacy groups say more is needed.,https://www.nytimes.com/2021/06/10/business/economy/osha-covid-rule.html,910,The Labor Department says it will issue optional guidance to other employers. Some advocacy groups say more is needed.,Business,Business,Economy,News,By Noam Scheiber,
