headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Robert F. Kennedy Jr. Hints Strongly at Third-Party Presidential Bid,2023-09-29T22:21:17Z,"The political scion, whose long-shot Democratic primary challenge has faltered, released a video teasing a third-party candidacy that would put Democrats on high alert.",https://www.nytimes.com/2023/09/29/us/politics/robert-f-kennedy-third-party-democrats-primary.html,845,"The political scion, whose long-shot Democratic primary challenge has faltered, released a video teasing a third-party candidacy that would put Democrats on high alert.",Politics,U.S.,Politics,News,By Reid J. Epstein and Rebecca Davis O’Brien,
"Dianne Feinstein, a Trailblazing Senator, Dies at 90",2023-09-29T21:55:56Z,"Also, heavy rains flood the streets of New York City. Here’s the latest at the end of Friday.",https://www.nytimes.com/2023/09/29/briefing/dianne-feinstein-flooding-new-york-city.html,1329,"Also, heavy rains flood the streets of New York City. Here’s the latest at the end of Friday.",NYTNow,Briefing,,News,By Matthew Cullen,
‘The Mosquitoes Are Winning’,2023-09-29T10:37:55Z,Public health crises don’t operate on the same timetable as academic journals.,https://www.nytimes.com/2023/09/29/briefing/the-mosquitoes-are-winning.html,1446,Public health crises don’t operate on the same timetable as academic journals.,NYTNow,Briefing,,briefing,By David Leonhardt,
Why They Love Slime in SoHo,2023-09-29T04:02:05Z,"Two women run an emporium where, for a price, customers can squish, squeeze and set aside their phones.",https://www.nytimes.com/2023/09/29/nyregion/slime-soho.html,1483,"Two women run an emporium where, for a price, customers can squish, squeeze and set aside their phones.",Metro,New York,,briefing,By Katherine Rosman,
Republican Group Running Anti-Trump Ads Finds Little Is Working,2023-09-28T23:33:11Z,"With over 40 ads and $6 million spent, a group tied to the Club for Growth is no closer to an answer, a memo to donors says. Some ads even gave Donald Trump a boost.",https://www.nytimes.com/2023/09/28/us/politics/anti-trump-ads-memo.html,855,"With over 40 ads and $6 million spent, a group tied to the Club for Growth is no closer to an answer, a memo to donors says. Some ads even gave Donald Trump a boost.",Politics,U.S.,Politics,News,By Jonathan Swan,
An Appeals Court Rejected Trump’s Effort to Delay His Fraud Trial,2023-09-28T22:36:45Z,"Also, a government shutdown is looking likely. Here’s the latest at the end of Thursday.",https://www.nytimes.com/2023/09/28/briefing/trump-trial-appeals-court-government-shutdown.html,1291,"Also, a government shutdown is looking likely. Here’s the latest at the end of Thursday.",NYTNow,Briefing,,News,By Matthew Cullen,
Friday Briefing: New Trouble for China Evergrande,2023-09-28T20:42:59Z,Plus the Japanese Formula 1 driver who became a cult star.,https://www.nytimes.com/2023/09/28/briefing/china-evergrande-nagorno-karabakh-india-sikh.html,1180,Plus the Japanese Formula 1 driver who became a cult star.,NYTNow,Briefing,,briefing,By Justin Porter,
A Chaotic Republican Debate: ‘Turn Off the Mic!’,2023-09-28T17:02:29Z,Readers fault the debate for a lack of civility and substance. Also: Shutdown pay; Robert Menendez; Columbia University; high-quality TV; Joe Biden’s dog.,https://www.nytimes.com/2023/09/28/opinion/letters/republican-debate.html,1017,Readers fault the debate for a lack of civility and substance. Also: Shutdown pay; Robert Menendez; Columbia University; high-quality TV; Joe Biden’s dog.,Letters,Opinion,Letters,Letter,,
Biden Issues a Blistering Attack on Trump,2023-09-28T09:02:07Z,"During an appearance in Arizona, President Biden portrayed former President Donald J. Trump as a budding autocrat with no fidelity to the tenets of American democracy.",https://www.nytimes.com/2023/09/28/us/politics/biden-mccain-library.html,1306,"During an appearance in Arizona, President Biden portrayed former President Donald J. Trump as a budding autocrat with no fidelity to the tenets of American democracy.",Washington,U.S.,Politics,News,By Peter Baker,
Trump Tries to Court Blue-Collar Workers at a Nonunion Factory,2023-09-27T18:28:04Z,"A day after President Biden appeared on a union picket line, the former president spoke at an auto parts factory in Michigan.",https://www.nytimes.com/2023/09/27/us/politics/trump-autoworkers-detroit.html,1137,"A day after President Biden appeared on a union picket line, the former president spoke at an auto parts factory in Michigan.",Politics,U.S.,Politics,News,By Trip Gabriel,
