headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"As Virus Resurges in Africa, Doctors Fear the Worst Is Yet to Come",2020-12-26T08:00:19Z,"The coronavirus killed far fewer people in Africa than in Europe and the Americas. Now, a tide of new cases on the continent is raising alarms.",https://www.nytimes.com/2020/12/26/world/africa/africa-coronavirus-pandemic.html,3222,"The coronavirus killed far fewer people in Africa than in Europe and the Americas, leading to a widespread perception that it was a disease of the West. Now, a tide of new cases on the continent is raising alarms.",Investigative,World,Africa,News,By Sheri Fink,
Trump Officials Push Ambitious Vaccine Timeline as California Locks Down,2020-12-07T01:43:57Z,Millions in California went into lockdown for at least three weeks today as federal officials said a vaccine could be distributed to as many as 24 million people by January.,https://www.nytimes.com/2020/12/06/us/politics/covid-vaccine-timeline-california.html,1900,"As cases surge and hospital beds fill up, federal officials said a vaccine could be distributed to as many as 24 million people by mid-January.",Washington,U.S.,Politics,News,"By Michael D. Shear, Apoorva Mandavilli and Jill Cowan",
"As Virus Spreads, C.D.C. Draws Up an Urgent Battle Plan",2020-12-04T23:34:25Z,"The multipronged advice, for individuals and state and local officials, may augur a national strategy in the months to come, experts said.",https://www.nytimes.com/2020/12/04/health/coronavirus-cdc-recommendations.html,1218,"The multipronged advice, for individuals and state and local officials, may augur a national strategy in the months to come, experts said.",Science,Health,,News,By Roni Caryn Rabin and Apoorva Mandavilli,
