headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"A Governor on Her Own, With Everything at Stake",2020-06-25T09:00:10Z,"From her living room, Gretchen Whitmer has led Michigan through a pandemic, an economic meltdown and even a dam collapse — all at a time when government itself seems broken.",https://www.nytimes.com/2020/06/25/magazine/gretchen-whitmer-coronavirus-michigan.html,6775,"From her living room, Gretchen Whitmer has led Michigan through a pandemic, an economic meltdown and even a dam collapse — all at a time when government itself seems broken.",Magazine,Magazine,,News,By Jonathan Mahler,
Honduran President Tests Positive,2020-06-16T09:27:50Z,"And in the U.S., officials in Oklahoma are concerned about President Trump’s planned rally. Florida reported a new daily high of cases. Here’s the latest.",https://www.nytimes.com/2020/06/16/world/coronavirus-live-updates.html,5975,"Scientists at the University of Oxford say they have identified a drug that can reduce coronavirus-related deaths. The virus flares in Beijing. Officials in Tulsa, Okla., worry that President Trump’s planned rally could cause a spike.",National,World,,News,,
"The Global Death Toll Now Tops 500,000",2020-06-28T11:46:50Z,"In the West and South, people waited in long lines and others were turned away as testing sites reached capacity. Here’s the latest.",https://www.nytimes.com/2020/06/28/world/coronavirus-updates.html,4420,"Vice President Mike Pence asserts that increased testing explains a surge in cases, but experts and evidence say otherwise. Houston’s top official has self-quarantined.",Foreign,World,,News,,
"With the Federal Health Megaphone Silent, States Struggle With a Shifting Pandemic",2020-06-18T00:14:14Z,State and local health officials have been left to figure out how to handle rising infections and to navigate conflicting signals from the White House.,https://www.nytimes.com/2020/06/17/us/politics/coronavirus-pandemic-federal-response.html,1827,"As state and local governments confront a new wave of coronavirus infections, President Trump is sending mixed messages and Washington’s public health bully pulpit has gone silent.",Washington,U.S.,Politics,News,"By Sheryl Gay Stolberg, Noah Weiland, Sarah Mervosh and David E. Sanger",
Coronavirus Attacks the Lungs. A Federal Agency Just Halted Funding for New Lung Treatments.,2020-06-19T09:00:32Z,"The shift, quietly disclosed on a government website, highlights how the Trump administration is favoring development of vaccines over treatments for the sickest patients.",https://www.nytimes.com/2020/06/19/health/coronavirus-lung-treatment-funding.html,1876,"The shift, quietly disclosed on a government website, highlights how the Trump administration is favoring development of vaccines over treatments for the sickest patients.",Science,Health,,News,By Katie Thomas,
States Pause Plans to Reopen as Cases Soar,2020-06-29T09:28:07Z,"The worldwide toll is continuing to rise, with more than 10 million confirmed cases. More than a quarter of deaths have been in the United States.",https://www.nytimes.com/2020/06/29/world/coronavirus-updates.html,4660,"54,000 deaths in the U.S. were linked to nursing homes. A top C.D.C. official warned, “We are not even beginning to be over this.” At least 95 people who visited a Michigan bar have tested positive.",National,World,,News,,
"White House Blames Rise in Virus Cases on More Testing, as Experts Dispute the Claim",2020-06-28T17:17:14Z,"Vice President Mike Pence and the nation’s top health official, Alex M. Azar II, continued to assert on Sunday that reopenings in many states were not causing the sharp rises in coronavirus cases.",https://www.nytimes.com/2020/06/28/us/politics/coronavirus-sunday-talk-shows.html,987,"Vice President Mike Pence and the nation’s top health official, Alex M. Azar II, continued to assert on Sunday that reopenings in many states were not causing the sharp rises in coronavirus cases.",Washington,U.S.,Politics,News,By Chris Cameron and Sheila Kaplan,
U.S. States Backtrack on Reopening as Coronavirus Cases Climb,2020-06-27T11:58:37Z,Mississippi and Houston are among the areas in danger of being overwhelmed. Catch up on the latest.,https://www.nytimes.com/2020/06/27/world/coronavirus-updates.html,5323,Mississippi and Houston are among the areas in danger of being overwhelmed. The resurgent virus has left many Americans questioning whether earlier lockdowns were worth their sacrifices.,Foreign,World,,News,,
New Numbers Showing Coronavirus Spread Intrude on a White House in Denial,2020-06-26T23:34:03Z,"The Trump administration has insisted for weeks that the pandemic was winding down, but rising cases in Texas, Arizona and Florida indicate otherwise.",https://www.nytimes.com/2020/06/26/us/politics/trump-coronavirus.html,1478,Both President Trump and Vice President Pence seem oblivious to the new chapter in the pandemic.,Washington,U.S.,Politics,News,By Michael D. Shear and Maggie Haberman,
"As New Coronavirus Cases Hit Another Record in the U.S., Some States Delay Reopenings",2020-06-25T09:29:06Z,"The number of Americans who have been infected is most likely about 10 times higher than reported, the C.D.C. director said. Catch up on the latest.",https://www.nytimes.com/2020/06/25/world/coronavirus-updates.html,6186,"The U.S. reported more than 41,000 new cases on Thursday, the second consecutive day with a record total, and the C.D.C. said the true national caseload was probably 10 times the official count. India plans to test all 29 million residents of its capital for the virus.",National,World,,News,,
Texas Sets Another Record as Governor Urges Residents to Stay Home,2020-06-23T09:20:27Z,Local leaders in Texas fear they may be close to overloading hospital capacity. New York City’s beaches will reopen July 1.,https://www.nytimes.com/2020/06/23/world/coronavirus-updates.html,4478,Health officials testified to Congress about the government’s pandemic response.  Swimming will be allowed at New York City beaches starting on July 1.,National,World,,News,,
University of Michigan to Drop Out as Presidential Debate Host,2020-06-22T09:17:03Z,The university is concerned about hosting large groups during the pandemic. And Saudi Arabia is imposing strict limits on the hajj. Here’s the latest.,https://www.nytimes.com/2020/06/22/world/coronavirus-updates.html,5241,"The university is concerned about bringing hordes of people to campus amid the pandemic. New cases in the U.S. account for 20 percent of new global infections. New York City allowed offices to reopen, with limits.",National,World,,News,,
Brazil and the U.S. Drive New Coronavirus Infections,2020-06-21T11:52:39Z,Infections in the U.S. are up 15 percent over the last two weeks. Seven states hit single-day case records Saturday.,https://www.nytimes.com/2020/06/21/world/coronavirus-updates.html,4865,"The W.H.O. reported more than 183,000 new cases, the largest one-day increase so far, as the global tally inched toward nine million. A Trump administration official said the White House was preparing for a potential wave of infections in the fall.",Foreign,World,,News,,
