headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"White House Embraces Optimism as Death Toll Passes 60,000",2020-04-29T09:16:44Z,"The G.D.P. plummeted, but because widespread layoffs and shutdowns hit at the end of the quarter, economists say it will fall much further. Officially, more than 53,000 have died, according to The Times’s count, but death rates suggest the true toll is far greater.",https://www.nytimes.com/2020/04/29/us/coronavirus-usa-cases-deaths.html,5393,"The early results of a trial of an experimental drug left White House officials hopeful. President Trump is pressing a crash vaccine program, but experts see risk in a rushed process.",National,U.S.,,News,,
‘A Terrible Price’: The Deadly Racial Disparities of Covid-19 in America,2020-04-29T09:00:14Z,"For the Zulu club, a black social organization in New Orleans, Mardi Gras was a joy. The coronavirus made it a tragedy.",https://www.nytimes.com/2020/04/29/magazine/racial-disparities-covid-19.html,6815,"For the Zulu club, a black social organization in New Orleans, Mardi Gras was a joy. The coronavirus made it a tragedy.",Magazine,Magazine,,News,By Linda Villarosa and L. Kasimu Harris,
Texas and Ohio Push to Reopen; White House Promises to Help States Test,2020-04-27T09:33:45Z,"About three million cases have been detected around the world, and the global death toll passed 200,000. States across the U.S. gradually allowed some businesses to resume.",https://www.nytimes.com/2020/04/27/us/coronavirus-live.html,5130,More states gradually lift restrictions on some businesses even as cases remain high. A new testing plan falls short of what public health experts say is necessary.,National,U.S.,,News,,
Coronavirus Live Updates: Summer Is Coming. Some States Are Reopening. Can We Keep Our Distance?,2020-04-26T12:00:11Z,"A heat wave drew crowds to California beaches this weekend, likely foreshadowing the challenges ahead for governors and mayors.",https://www.nytimes.com/2020/04/26/us/coronavirus-updates.html,4085,"Nevada is one especially thorny example because of its dependence on tourism. But everywhere, faster and more widespread testing will be vital.",National,U.S.,,News,,
Vaccine Chief Says He Was Removed After Questioning Drug Trump Promoted,2020-04-22T09:09:55Z,The first known death from the illness in the U.S. came weeks earlier than thought. President Trump’s 60-day ban on green cards could go into effect today. The Senate approved a $484 billion relief plan.,https://www.nytimes.com/2020/04/22/us/coronavirus-live-coverage.html,6701,The first known U.S. death from the illness came in early February in California. Trump says he ‘strongly’ disagrees with Georgia’s governor on reopening some businesses.,National,U.S.,,News,,
Trump Says He Will Halt Immigration; States Start to Reopen Businesses,2020-04-20T09:29:56Z,"Congress is nearing a $450 billion deal to aid taxpayers and small businesses. Maryland’s governor struck a deal with South Korea for test kits. As the virus overwhelms the health care system, people with other illnesses struggle to find treatment.",https://www.nytimes.com/2020/04/20/us/coronavirus-live-news.html,6210,"South Carolina eases some lockdown restrictions, and Georgia and Tennessee will follow suit. Cases at an Ohio prison surge, and oil prices plummet.",National,U.S.,,News,,
Trump Insists He Has ‘Total’ Authority to Supersede Governors,2020-04-13T09:08:38Z,"Policymakers around the world are debating when to reopen businesses. President Trump reposted a tweet that said, “Time to #FireFauci.” Here’s the latest.",https://www.nytimes.com/2020/04/13/us/coronavirus-updates.html,5070,State leaders on both coasts are starting to debate how and when to reopen. The closure of a major meat processing plant could affect the nation’s food supply.,National,U.S.,,News,,
He Could Have Seen What Was Coming: Behind Trump’s Failure on the Virus,2020-04-11T16:13:09Z,"An examination reveals the president was warned about the potential for a pandemic but that internal divisions, lack of planning and his faith in his own instincts led to a halting response.",https://www.nytimes.com/2020/04/11/us/politics/coronavirus-trump-response.html,5356,"An examination reveals the president was warned about the potential for a pandemic but that internal divisions, lack of planning and his faith in his own instincts led to a halting response.",Washington,U.S.,Politics,News,"By Eric Lipton, David E. Sanger, Maggie Haberman, Michael D. Shear, Mark Mazzetti and Julian E. Barnes",
White House Adviser Warned of Risks of Pandemic; Trump Misleads on Testing,2020-04-06T04:03:16Z,"Dr. Anthony S. Fauci, the nation’s top infectious disease specialist, gave a much larger estimate than the director of the C.D.C. Here’s the latest.",https://www.nytimes.com/2020/04/06/world/coronavirus-live-news-updates.html,8187,"Britain’s prime minister, Boris Johnson, has been moved to intensive care, and the Supreme Court rejected an extension of Wisconsin’s voting deadline.",Foreign,World,,News,,
Trump Again Promotes Use of Unproven Anti-Malaria Drug; Deaths in Country May Be Undercounted,2020-04-05T04:14:49Z,"For the second straight day, President Trump pushed hydroxychloroquine. Washington State is returning 400 ventilators to states in more dire need. Here’s the latest.",https://www.nytimes.com/2020/04/05/world/coronavirus-live-news-updates.html,7436,"For the second straight day, the president pushed the use of hydroxychloroquine, which has not been proven to treat the coronavirus. Washington State is returning 400 ventilators to be redeployed to states in more dire need.",Foreign,World,,News,,
Scientists Race For a Coronavirus Vaccine,2020-04-27T04:01:44Z,"Limited testing means the actual toll is higher. In Italy, the government outlines plans to lift Europe’s longest lockdown.",https://www.nytimes.com/2020/04/27/world/coronavirus-world-pandemic.html,6522,"Even as the global death toll passed 200,000, countries are mapping out a return to public life. Health care workers in Mexico, India and other countries are facing attacks.",Foreign,World,,News,,
Trump’s Remarks Prompt Warnings on Disinfectants,2020-04-24T09:12:32Z,"A new comparison of antibodies tests delivered mixed results, prompting frustration as the public looks for ways to safely escape lockdowns. Here’s the latest.",https://www.nytimes.com/2020/04/24/us/coronavirus-us-usa-updates.html,4190,Several states take tentative steps to reopen businesses. The Navy recommended reinstating the captain of an aircraft carrier who had sought help as the virus spread on his ship.,National,U.S.,,News,,
Death Toll Climbs in California; House Passes Aid Package,2020-04-23T09:16:15Z,"Mitch McConnell, the Republican Senate leader, said states should consider declaring bankruptcy. Unemployment is set to soar again. The discovery of an early death rewrites the timeline of the U.S. outbreak.",https://www.nytimes.com/2020/04/23/us/coronavirus-live-news-coverage.html,5143,"President Trump said he would sign the $484 billion package, which replenishes a depleted small-business loan program. Another 4.4 million people filed for unemployment.",National,U.S.,,News,,
Your Thursday Briefing,2020-04-22T20:19:32Z,"Global instability from the oil prices plunge, panic in the Indian diaspora over new U.S. immigration rules, a looming food crisis. ",https://www.nytimes.com/2020/04/22/briefing/coronavirus-oil-india-us-immigration-food.html,1591,Let us help you start your day. ,NYTNow,Briefing,,briefing,By Carole Landry,
California Announces Early Coronavirus Deaths; Trump Narrows Immigration Ban,2020-04-21T09:27:14Z,"President Trump announced the temporary ban in a late-night tweet with few details. The worldwide death toll from the pandemic is far higher than official counts suggest, according to a Times analysis.",https://www.nytimes.com/2020/04/21/us/coronavirus-live-news-updates.html,5473,A 60-day pause in immigration will not apply to guest workers. The Senate passed a $484 billion aid package.,National,U.S.,,News,,
