headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"Emulating Trump, Ramaswamy Shows a Penchant for Dispensing With the Facts",2023-08-30T15:34:14Z,"In clashes with the news media and his rivals, the Republican upstart has retreated from past comments and lied about on-the-record statements.",https://www.nytimes.com/2023/08/30/us/politics/ramaswamy-2024-lies.html,2024,"In clashes with the news media and his rivals, the Republican upstart has retreated from past comments and lied about on-the-record statements.",Politics,U.S.,Politics,News,"By Neil Vigdor, Jonathan Weisman and Maggie Haberman",
Transcript: David Wallace-Wells Interviews Katelyn Jetelina,2023-08-29T18:47:59Z,"The Aug. 29, 2023, episode of “The Ezra Klein Show.”",https://www.nytimes.com/2023/08/29/podcasts/transcript-david-wallace-wells-interviews-katelyn-jetelina.html,10105,"The Aug. 29, 2023, episode of “The Ezra Klein Show.”",OpEd,Podcasts,,Op-Ed,,
It’s Time to Talk About ‘Pandemic Revisionism’,2023-08-29T09:00:03Z,"The epidemiologist Katelyn Jetelina takes stock of school closures, mask mandates and the pandemic response.",https://www.nytimes.com/2023/08/29/opinion/ezra-klein-podcast-katelyn-jetelina.html,429,"The epidemiologist Katelyn Jetelina takes stock of school closures, mask mandates and the pandemic response.",OpEd,Opinion,,Op-Ed,By ‘The Ezra Klein Show’,
Tuesday Briefing,2023-08-29T04:23:24Z,Donald Trump’s trial date.,https://www.nytimes.com/2023/08/29/briefing/donald-trump-trial-date-ukraine.html,1068,Donald Trump’s trial date.,NYTNow,Briefing,,briefing,By Natasha Frost,
A Judge Rejected Trump’s Efforts to Delay His Federal Jan. 6 Trial,2023-08-28T22:04:34Z,"Also, Florida braces for a hurricane. Here’s the latest at the end of Monday.",https://www.nytimes.com/2023/08/28/briefing/trump-trial-date-florida-storm-us-open.html,1291,"Also, Florida braces for a hurricane. Here’s the latest at the end of Monday.",NYTNow,Briefing,,News,By Matthew Cullen,
Where’s ‘Woke’? Republicans Test a Different Education Message,2023-08-28T18:05:05Z,"Ron DeSantis rose to prominence in part on his “anti-woke” agenda, especially when it comes to education. In some settings, culture-war messaging seems to be receding.",https://www.nytimes.com/2023/08/28/us/politics/republican-education-woke-2024.html,1262,"Ron DeSantis rose to prominence in part on his “anti-woke” agenda, especially when it comes to education. In some settings, culture-war messaging seems to be receding.",Politics,U.S.,Politics,News,By Trip Gabriel and Nicholas Nehamas,
How an Instagram Account Turned a Bay Area Community Against Itself,2023-08-28T13:00:06Z,"A conversation with Dashka Slater, who wrote recently about the fallout from a racist, student-run social media account at Albany High School.",https://www.nytimes.com/2023/08/28/us/california-instagram-bay-area.html,1343,"A conversation with Dashka Slater, who wrote recently about the fallout from a racist, student-run social media account at Albany High School.",National,U.S.,,briefing,By Soumya Karlamangla,
Monday Briefing: Russia Confirmed Prigozhin’s Death,2023-08-27T20:40:06Z,"Also, three U.S. Marines died in an air crash in Australia.",https://www.nytimes.com/2023/08/27/briefing/monday-briefing-russia-confirmed-prigozhins-death.html,1039,"Also, three U.S. Marines died in an air crash in Australia.",NYTNow,Briefing,,briefing,By Jonathan Wolfe,
Jill Lepore Revisits American Myths With an Eye to the Present,2023-08-26T09:00:18Z,“The Deadline” collects 46 essays on subjects ranging from Herman Melville and Jane Franklin to feminism and A.I.,https://www.nytimes.com/2023/08/26/books/review/jill-lepore-the-deadline.html,1024,“The Deadline” collects 46 essays on subjects ranging from Herman Melville and Jane Franklin to feminism and A.I.,BookReview,Books,Book Review,Review,By Sloane Crosley,
U.S. Consumers Show Signs of Stress,2023-08-25T21:43:32Z,"Also, Maui continues its search for victims. Here’s the latest at the end of Friday.",https://www.nytimes.com/2023/08/25/briefing/consumer-spending-maui-fire-search.html,1045,"Also, Maui continues its search for victims. Here’s the latest at the end of Friday.",NYTNow,Briefing,,News,By Matthew Cullen,
