headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Your Monday Briefing,2023-01-30T05:01:05Z,A wave of violence in Israel and the West Bank.,https://www.nytimes.com/2023/01/30/briefing/israel-violence-russian-troops-donbas.html,1402,A wave of violence in Israel and the West Bank.,NYTNow,Briefing,,briefing,By Natasha Frost,
Your Monday Briefing: The Fallout from a Police Beating,2023-01-29T21:01:12Z,"Also, violence is flaring in Israel and the West Bank.",https://www.nytimes.com/2023/01/29/briefing/memphis-nichols-us-israel-asia.html,1210,"Also, violence is flaring in Israel and the West Bank.",NYTNow,Briefing,,briefing,By Amelia Nierenberg,
"See Workers as Workers, Not as a College Credential",2023-01-28T14:00:07Z,Eliminating the college degree requirement for state government jobs is both good policy and good leadership.,https://www.nytimes.com/2023/01/28/opinion/jobs-college-degree-requirement.html,1206,Eliminating the college degree requirement for state government jobs is both good policy and good leadership.,Editorial,Opinion,,Editorial,By The Editorial Board,
Police Beating in Memphis,2023-01-28T12:30:47Z,Americans once again protested after another recorded instance of police brutality.,https://www.nytimes.com/2023/01/28/briefing/memphis-police-tyre-nichols-beating.html,1819,Americans once again protested after another recorded instance of police brutality.,NYTNow,Briefing,,briefing,By German Lopez and Ian Prasad Philbrick,
Transcript: Ezra Klein Interviews Jessica Chen Weiss,2023-01-27T15:19:00Z,"The Jan. 27, 2023, episode of “The Ezra Klein Show.”",https://www.nytimes.com/2023/01/27/podcasts/ezra-klein-show-transcript-jessica-chen-weiss.html,7691,"The Jan. 27, 2023, episode of “The Ezra Klein Show.”",OpEd,Podcasts,,Op-Ed,,
The Revolutionary Power of a Skein of Yarn,2023-01-27T10:00:26Z,Knitting has its own practical magic.,https://www.nytimes.com/2023/01/27/opinion/sunday/knitting-fabric-michelle-obama.html,1281,Knitting has its own practical magic.,OpEd,Opinion,Sunday Opinion,Op-Ed,By Peggy Orenstein,
Meta’s Trump Calculus and Regime Change at Netflix,2023-01-27T10:00:08Z,"Plus, we play the Bored Ape Yacht Club’s video game “Dookey Dash.”",https://www.nytimes.com/2023/01/27/podcasts/hard-fork-meta-trump-netflix.html,160,"Plus, we play the Bored Ape Yacht Club’s video game “Dookey Dash.”",Podcasts,Podcasts,,News,"By Kevin Roose, Casey Newton, Davis Land, Paula Szuchman, Shreeya Sinha, Alyssa Moxley, Dan Powell, Elisheba Ittoop, Marion Lozano and Rowan Niemisto",
Your Thursday Evening Briefing,2023-01-26T23:01:45Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2023/01/26/briefing/memphis-police-murder-charge-us-economy.html,1329,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,News,By Matthew Cullen,
A Lasting Impact,2023-01-26T11:43:38Z,“The 1619 Project” continues to provoke national debate about race and history.,https://www.nytimes.com/2023/01/26/briefing/the-1619-project-hulu-show.html,1672,“The 1619 Project” continues to provoke national debate about race and history.,NYTNow,Briefing,,briefing,By German Lopez,
"N.I.H. Did Not Properly Track a Group Studying Coronaviruses, Report Finds",2023-01-26T00:26:14Z,"An internal federal watchdog said that the health agency had not given adequate oversight to EcoHealth Alliance, which had been awarded $8 million in grants.",https://www.nytimes.com/2023/01/25/science/nih-ecohealth-coronavirus-lab-leak.html,1021,"An internal federal watchdog said that the health agency had not given adequate oversight to EcoHealth Alliance, which had been awarded $8 million in grants.",Science,Science,,News,By Benjamin Mueller and Sheryl Gay Stolberg,
