headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
The Surging Coronavirus Finds a Federal Leadership Vacuum,2020-11-11T10:00:21Z,"The winter wave has been anticipated for months. Now that it’s here, health officials worry once again about strategy and supplies.",https://www.nytimes.com/2020/11/11/us/politics/coronavirus-surge-trump.html,1847,"The winter wave has been anticipated for months. Now that it’s here, health officials worry once again about strategy and supplies.",Washington,U.S.,Politics,News,"By Sheryl Gay Stolberg, Noah Weiland, Sharon LaFraniere and Andrew Jacobs",
Biden Implores Trump to Confront a Surging Pandemic,2020-11-14T00:22:39Z,President Trump broke his near-total silence on the coronavirus on Friday with an appearance in the Rose Garden in which he threatened to deny New York access to a vaccine.,https://www.nytimes.com/2020/11/13/us/politics/biden-trump-coronavirus-transition.html,1271,President Trump broke his near-total silence on the coronavirus on Friday with an appearance in the Rose Garden in which he threatened to deny New York access to a vaccine.,Washington,U.S.,Politics,News,By Michael D. Shear,
"Thanksgiving, Coronavirus, Presidential Transition: Your Weekend Briefing",2020-11-22T11:03:53Z,Here’s what you need to know about the week’s top stories.,https://www.nytimes.com/2020/11/22/briefing/thanksgiving-coronavirus-presidential-transition-your-weekend-briefing.html,1377,Here’s what you need to know about the week’s top stories.,NYTNow,Briefing,,briefing,By Remy Tumin and Judith Levitt,
A Washington Tragedy,2020-11-19T23:59:27Z,Hundreds of thousands of Americans have died. Coronavirus cases are surging again. There’s still no federal plan.,https://www.nytimes.com/2020/11/19/us/politics/trump-coronavirus-plan.html,1285,Hundreds of thousands of Americans have died. Coronavirus cases are surging again. There’s still no federal plan.,Politics,U.S.,Politics,News,By Lisa Lerer,
