headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Beware the Pandemic Panic,2020-01-29T21:09:14Z,Coronavirus is scary. How we respond to it may be worse.,https://www.nytimes.com/2020/01/29/opinion/coronavirus-panic.html,1193,Coronavirus is scary. How we respond to it may be worse.,OpEd,Opinion,,Op-Ed,By Farhad Manjoo,
"Chuck Schumer on Impeachment, Witnesses and the Truth",2020-01-29T10:58:15Z,"Chuck Schumer on impeachment, witnesses and the truth.",https://www.nytimes.com/2020/01/29/podcasts/the-daily/schumer-impeachment-trump.html,260,The senate minority leader is making a moral case to Republicans with the power to shape the trial that they should break from their party line.,Podcasts,Podcasts,The Daily,News,,
What John Bolton Knows,2020-01-28T11:00:09Z,How John Bolton could change the course of the impeachment.,https://www.nytimes.com/2020/01/28/podcasts/the-daily/bolton-impeachment.html,285,Details in a coming book by the former national security adviser are threatening to derail Republican senators’ plans for a speedy acquittal.,Podcasts,Podcasts,The Daily,News,,
Is America Ready for Another Outbreak?,2020-01-24T00:54:55Z,No. But there are clear steps the government needs to take.,https://www.nytimes.com/2020/01/23/opinion/coronavirus-wuhan-outbreak.html,888,No. But there are clear steps the government needs to take.,OpEd,Opinion,,Op-Ed,By Saad B. Omer,
