headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
DeSantis Burnishes Tough-on-Crime Image to Run in ’24 and Take On Trump,2023-03-30T01:34:10Z,"The Florida governor, preparing for an all-but-declared campaign, is said to see an opening to take on the former president from the right.",https://www.nytimes.com/2023/03/29/us/politics/ron-desantis-donald-trump-crime-2024.html,1504,"The Florida governor, preparing for an all-but-declared campaign, is said to see an opening to take on the former president from the right.",Politics,U.S.,Politics,News,By Maggie Haberman and Jonathan Swan,
How the Right Turned Radical and the Left Became Depressed,2023-03-29T09:00:24Z,A new poll offers the outline of a unifying theory of right-wing recklessness and liberal anomie.,https://www.nytimes.com/2023/03/29/opinion/america-unhappy-poll.html,1598,A new poll offers the outline of a unifying theory of right-wing recklessness and liberal anomie.,OpEd,Opinion,,Op-Ed,By Ross Douthat,
Hakeem Jeffries’s Path to Power in the House,2023-03-29T07:11:43Z,"Democrats in the House of Representatives have an enigmatic new leader whose style has been influenced by the Black church, hip-hop and his time as a corporate lawyer.",https://www.nytimes.com/2023/03/29/nyregion/hakeem-jeffriess-path-to-power-in-the-house.html,1494,"Democrats in the House of Representatives have an enigmatic new leader whose style has been influenced by the Black church, hip-hop and his time as a corporate lawyer.",Metro,New York,,briefing,By James Barron,
Your Tuesday Evening Briefing,2023-03-28T21:50:08Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2023/03/28/briefing/nashville-shooting-judge-mike-pence-chatgpt.html,1246,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Matthew Cullen,
A Win for Israel’s Protesters,2023-03-28T10:44:21Z,Demonstrations forced Israel’s prime minister to delay a judicial overhaul.,https://www.nytimes.com/2023/03/28/briefing/israel-opposition-protests-judicial-overhaul-delay.html,1601,Demonstrations forced Israel’s prime minister to delay a judicial overhaul.,NYTNow,Briefing,,briefing,By German Lopez and Claire Moses,
Dr. Fauci Could Have Said a Lot More,2023-03-28T09:00:25Z,"If officials don’t trust the public, the public won’t trust them.",https://www.nytimes.com/2023/03/28/opinion/covid-lab-leak-theory-disinformation.html,2399,"If officials don’t trust the public, the public won’t trust them.",OpEd,Opinion,,Op-Ed,By Megan K. Stack,
Your Monday Evening Briefing,2023-03-27T21:50:07Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2023/03/27/briefing/nashville-school-shooting-israel-judicial-overhaul.html,1234,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Matthew Cullen,
Here’s how the vote to indict Donald Trump could shake up the 2024 race.,2023-03-27T15:34:19Z,"The political and legal bombshell could rally Republican voters to the former president’s side, but it could also prompt them to seek out an alternative.",https://www.nytimes.com/live/2023/03/30/nyregion/trump-indictment-news/trump-indictment-2024-election,821,"The political and legal bombshell could rally Republican voters to the former president’s side, but it could also prompt them to seek out an alternative.",Politics,U.S.,Politics,Live Blog Post,By Maggie Haberman,
Your Monday Briefing: Arms Race in Asia,2023-03-26T20:33:27Z,"Also, Putin’s nuclear brinkmanship and a rift in the Israeli government.",https://www.nytimes.com/2023/03/26/briefing/asia-weapons-putin-belarus-israel-netanyahu.html,1293,"Also, Putin’s nuclear brinkmanship and a rift in the Israeli government.",NYTNow,Briefing,,briefing,By Mariah Kreutter,
‘Succession’ Returns,2023-03-25T11:04:57Z,The last season premieres tomorrow. Let the weeping and gnashing of teeth commence.,https://www.nytimes.com/2023/03/25/briefing/succession-season-4.html,1703,The last season premieres tomorrow. Let the weeping and gnashing of teeth commence.,NYTNow,Briefing,,briefing,By Melissa Kirsch,
‘We Were Helpless’: Despair at the C.D.C. as the Pandemic Erupted,2023-03-21T07:00:13Z,Current and former employees recall rising desperation as Trump administration officials squelched research into the new coronavirus.,https://www.nytimes.com/2023/03/21/health/covid-cdc.html,1829,Current and former employees recall rising desperation as Trump administration officials squelched research into the new coronavirus.,Science,Health,,News,By Apoorva Mandavilli,
