headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"It’s Been 10 Months, and I Still Don’t Know When to Replace My Mask!",2021-01-30T00:00:06Z,Practical pandemic guidance is still a huge problem.,https://www.nytimes.com/2021/01/29/opinion/coronavirus-masks.html,1849,Practical pandemic guidance is still a huge problem.,OpEd,Opinion,,Op-Ed,By Charlie Warzel and Zeynep Tufekci,
Who is Aleksei Navalny?,2021-01-29T18:38:44Z,"How we told the story of the Russian opposition leader on one of the most important weeks of his life. Plus, what to listen to this weekend.",https://www.nytimes.com/2021/01/29/podcasts/podcasts-recommendations-aleksei-navalny.html,939,"How we told the story of the Russian opposition leader on one of the most important weeks of his life. Plus, what to listen to this weekend.",Podcasts,Podcasts,,News,By Lauren Jackson,
Biden Moves Cautiously on Health Care,2021-01-29T12:00:04Z,“There’s nothing new that we’re doing here”: This is your morning tip sheet.,https://www.nytimes.com/2021/01/29/us/politics/biden-health-care-trump-obama.html,1543,“There’s nothing new that we’re doing here”: This is your morning tip sheet.,Politics,U.S.,Politics,News,By Giovanni Russonello,
Biden’s Health Care Moves,2021-01-29T11:28:27Z,"Make sense of the news, every day, with David Leonhardt.",https://www.nytimes.com/2021/01/29/briefing/novavax-vaccine-cicely-tyson-robinhood-gm.html,1719,And what else you need to know today.,NYTNow,Briefing,,briefing,By David Leonhardt,
A Conspiracy Theory Is Proved Wrong,2021-01-29T11:00:07Z,The inauguration of Joe Biden shattered the fundamentals of the baseless QAnon theory. What happens to its followers now?,https://www.nytimes.com/2021/01/29/podcasts/the-daily/qanon-conspiracy-theory-trump.html,364,The inauguration of Joe Biden shattered the fundamentals of the baseless QAnon theory. What happens to its followers now?,Podcasts,Podcasts,The Daily,News,,
The G.O.P. Is in a Doom Loop of Bizarro,2021-01-29T00:00:07Z,"But will it doom the rest of us, too?",https://www.nytimes.com/2021/01/28/opinion/republican-lies.html,872,"But will it doom the rest of us, too?",OpEd,Opinion,,Op-Ed,By Paul Krugman,
Swift Action by Biden to Reverse Trump Policies,2021-01-28T18:58:42Z,Readers have varied reactions to the president’s use of executive orders rather than waiting for Congress to act.,https://www.nytimes.com/2021/01/28/opinion/letters/biden-executive-orders.html,563,Readers have varied reactions to the president’s use of executive orders rather than waiting for Congress to act.,Letters,Opinion,Letters,Letter,,
Why Pennsylvania Republican Leaders Are All-In for Trump More Than Ever,2021-01-28T10:00:17Z,"Pennsylvania G.O.P. leaders have made loyalty to the defeated ex-president the sole organizing principle of the party, and would-be candidates are jockeying to prove they fought the hardest for him.",https://www.nytimes.com/2021/01/28/us/politics/pennsylvania-republicans-trump.html,1527,"Pennsylvania G.O.P. leaders have made loyalty to the defeated ex-president the sole organizing principle of the party, and would-be candidates are jockeying to prove they fought the hardest for him.",Politics,U.S.,Politics,News,By Trip Gabriel,
How Do We Regain Trust in Institutions?,2021-01-28T10:00:04Z,"In “Mistrust,” Ethan Zuckerman looks at the forces in American society trying to work around eroding systems, and those trying to build them back up.",https://www.nytimes.com/2021/01/28/books/review/ethan-zuckerman-mistrust.html,1075,"In “Mistrust,” Ethan Zuckerman looks at the forces in American society trying to work around eroding systems, and those trying to build them back up.",BookReview,Books,Book Review,Review,By Matthew Yglesias,
A Letter to My Conservative Friends,2021-01-28T00:00:05Z,"Hold us accountable, but please do the same for the charlatans who deceive you, use you and cheat you.",https://www.nytimes.com/2021/01/27/opinion/trump-supporters-conspiracy-theories.html,830,"Hold us accountable, but please do the same for the charlatans who deceive you, use you and cheat you.",OpEd,Opinion,,Op-Ed,By Nicholas Kristof,
Biden Unveils National Strategy That Trump Resisted,2021-01-21T10:00:31Z,"President Biden has a 200-page strategy to bolster production of vaccines, treatments and medical-grade protective gear while reaching out to communities of color.",https://www.nytimes.com/2021/01/21/us/politics/biden-coronavirus-response.html,1485,"President Biden has a 200-page strategy to bolster production of vaccines, treatments and medical-grade protective gear while reaching out to communities of color.",Washington,U.S.,Politics,News,By Sheryl Gay Stolberg,
"One Year, 400,000 Coronavirus Deaths: How the U.S. Guaranteed Its Own Failure",2021-01-17T21:45:29Z,"After the White House declined to pursue a unified national strategy, governors faced off against lobbyists, health experts and a restless public consumed by misinformation.",https://www.nytimes.com/2021/01/17/us/covid-deaths-2020.html,4183,"After the White House declined to pursue a unified national strategy, governors faced off against lobbyists, health experts and a restless public consumed by misinformation.",National,U.S.,,News,"By Sarah Mervosh, Mike Baker, Patricia Mazzei and Mark Walker",
Coronavirus Briefing: What Happened Today,2021-01-20T23:27:23Z,President Joe Biden began putting his plan to combat a pandemic into action.,https://www.nytimes.com/2021/01/20/us/coronavirus-today.html,1225,President Joe Biden began putting his plan to combat a pandemic into action.,NYTNow,U.S.,,News,By Jonathan Wolfe,
U.S. to Require Negative Virus Tests From International Air Passengers,2021-01-12T23:07:49Z,"Before they board planes to the U.S., passengers will have to produce proof that they are not infected or have recently recovered.",https://www.nytimes.com/2021/01/12/health/us-to-require-negative-virus-tests-from-international-air-passengers.html,690,"Before they board planes to the U.S., passengers will have to produce proof that they are not infected or have recently recovered.",Science,Health,,News,By Apoorva Mandavilli,
