headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Key Takeaways From Trump’s Tax Returns,2022-12-30T16:38:56Z,"Former President Donald J. Trump, who fought for years to keep his returns private, made no charitable donations in 2020, and his own tax law may have cost him. Here’s a running list of insights.",https://www.nytimes.com/2022/12/30/us/politics/trump-tax-returns-takeaways.html,1297,"Former President Donald J. Trump, who fought for years to keep his returns private, made no charitable donations in 2020, and his own tax law may have cost him. Here’s a running list of insights.",Washington,U.S.,Politics,News,"By Jim Tankersley, Susanne Craig and Russ Buettner",
Trump Tax Returns Undermine His Image as a Successful Entrepreneur,2022-12-30T14:05:07Z,The release of former President Donald J. Trump’s private tax documents by the House Ways and Means Committee shows heavy losses from his own ventures as he continued to cash in on inherited assets.,https://www.nytimes.com/2022/12/30/us/politics/trump-tax-returns.html,1713,The release of former President Donald J. Trump’s private tax documents by the House Ways and Means Committee shows heavy losses from his own ventures as he continued to cash in on inherited assets.,Washington,U.S.,Politics,News,"By Jim Tankersley, Susanne Craig and Russ Buettner",
The 2022 High School Yearbook of American Politics,2022-12-30T10:00:05Z,"Most egregious nepo couple, most stylish exit, top con man and more.",https://www.nytimes.com/2022/12/30/opinion/kevin-mccarthy-george-santos-donald-trump.html,1382,"Most egregious nepo couple, most stylish exit, top con man and more.",Editorial,Opinion,,Op-Ed,By Michelle Cottle,
Your Friday Briefing,2022-12-30T05:19:54Z,Russia has launched still more strikes on Ukrainian infrastructure.,https://www.nytimes.com/2022/12/30/briefing/ukraine-strikes-russia-vivienne-westwood-pele.html,1368,Russia has launched still more strikes on Ukrainian infrastructure.,NYTNow,Briefing,,News,By Natasha Frost,
Your Thursday Evening Briefing,2022-12-29T22:45:01Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2022/12/29/briefing/pele-ukraine-southwest-airlines.html,1290,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Jonathan Wolfe,
Your Friday Briefing: Israel’s New Government,2022-12-29T21:02:22Z,"Also, Russia strikes Ukraine, Pelé dies and the week in culture.",https://www.nytimes.com/2022/12/29/briefing/israel-netanyahu-pele-dead.html,1118,"Also, Russia strikes Ukraine, Pelé dies and the week in culture.",NYTNow,Briefing,,briefing,By Amelia Nierenberg,
"After Half a Century, Fauci Prepares for Life After Government",2022-12-29T17:30:04Z,"The nation’s top infectious disease expert, whose last day as a federal employee is Saturday, plans to write a memoir and wants to encourage people to go into public service.",https://www.nytimes.com/2022/12/29/us/politics/anthony-fauci-retirement.html,1611,"The nation’s top infectious disease expert, whose last day as a federal employee is Saturday, plans to write a memoir and wants to encourage people to go into public service.",Washington,U.S.,Politics,News,By Sheryl Gay Stolberg,
Personal Stories About Coming Out,2022-12-29T17:23:06Z,Readers are moved by a column by Charles Blow and offer their own experiences. Also: Santos’s lies; Covid in China; digital payments; ableist language.,https://www.nytimes.com/2022/12/29/opinion/letters/personal-stories-coming-out.html,1190,Readers are moved by a column by Charles Blow and offer their own experiences. Also: Santos’s lies; Covid in China; digital payments; ableist language.,Letters,Opinion,Letters,Letter,,
Pictures of the Year,2022-12-29T11:51:26Z,Some of the most memorable photos published in The Times in 2022.,https://www.nytimes.com/2022/12/29/briefing/pictures-of-the-year.html,1315,Some of the most memorable photos published in The Times in 2022.,NYTNow,Briefing,,briefing,By the staff of The Morning,
Your Thursday Briefing,2022-12-29T05:31:37Z,New requirements for passengers coming from China.,https://www.nytimes.com/2022/12/29/briefing/china-covid-passengers-russia-ukraine.html,1401,New requirements for passengers coming from China.,NYTNow,Briefing,,briefing,By Natasha Frost,
