headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"Memorial Day, Capitol Hill, French Open: Your Weekend Briefing",2021-05-30T10:25:17Z,Here’s what you need to know about the week’s top stories.,https://www.nytimes.com/2021/05/30/briefing/memorial-day-capitol-hill-french-open.html,1329,Here’s what you need to know about the week’s top stories.,NYTNow,Briefing,,briefing,By Remy Tumin and Marcus Payadue,
"Democrat or Republican, You Probably Love the Post Office",2021-05-28T23:00:06Z,A new bipartisan bill could help fix the U.S. Postal Service.,https://www.nytimes.com/2021/05/28/opinion/post-office-postal-service.html,952,A new bipartisan bill could help fix the U.S. Postal Service.,OpEd,Opinion,,Editorial,By The Editorial Board,
The Republicans and the Jan. 6 Commission,2021-05-28T20:41:26Z,The Jan. 6 commission; children killed in Gaza; the Wuhan lab theory; the Ohio vaccine lottery; ultramarathoner deaths; early motherhood; determined to live.,https://www.nytimes.com/2021/05/28/opinion/letters/republicans-jan-6.html,1400,The Jan. 6 commission; children killed in Gaza; the Wuhan lab theory; the Ohio vaccine lottery; ultramarathoner deaths; early motherhood; determined to live.,Letters,Opinion,Letters,Letter,,
Iran Clears Way for Hard-line Judiciary Chief to Become President,2021-05-28T20:19:25Z,"Potential rivals to Ebrahim Raisi, Ayatollah Khamenei’s favored choice, were barred from the June 18 election, and the remaining candidates do not present a serious challenge.",https://www.nytimes.com/2021/05/28/world/middleeast/iran-election-khamenei-raisi.html,1286,"Potential rivals to Ebrahim Raisi, Ayatollah Khamenei’s favored choice, were barred from the June 18 election, and the remaining candidates do not present a serious challenge.",Foreign,World,Middle East,News,By Farnaz Fassihi,
‘Democracy Is Truly in Crisis’,2021-05-27T17:49:53Z,Readers decry Republican efforts that they view as voter suppression. Also: Allocating vaccines; teaching our children about race.,https://www.nytimes.com/2021/05/27/opinion/letters/republicans-voting.html,843,Readers decry Republican efforts that they view as voter suppression. Also: Allocating vaccines; teaching our children about race.,Letters,Opinion,Letters,Letter,,
Wall Street Rebels Against Exxon,2021-05-27T11:39:52Z,A small activist investment fund scored a huge win.,https://www.nytimes.com/2021/05/27/business/dealbook/exxon-mobil-engine-no-1.html,1772,A small activist investment fund scored a huge win.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",
Here’s a look at explaining the Wuhan lab-leak theory.,2021-05-27T11:05:49Z,,https://www.nytimes.com/2021/05/27/briefing/heres-a-look-at-explaining-the-wuhan-lab-leak-theory.html,653,,NYTNow,Briefing,,News,,
The Lab-Leak Theory,2021-05-27T10:24:05Z,David Leonhardt explains the debate over the Covid lab-leak theory.,https://www.nytimes.com/2021/05/27/briefing/lab-leak-theory-covid-origins.html,1546,We have an explainer.,NYTNow,Briefing,,briefing,By David Leonhardt,
G.O.P. Rivals Trade Insults in Chaotic N.Y.C. Mayoral Debate,2021-05-27T01:19:48Z,"Curtis Sliwa, the founder of the Guardian Angels, and Fernando Mateo, a restaurateur, yelled at each other repeatedly during the free-wheeling virtual debate.",https://www.nytimes.com/2021/05/26/nyregion/sliwa-mateo-debate-republican-mayor.html,987,"Curtis Sliwa, the founder of the Guardian Angels, and Fernando Mateo, a restaurateur, yelled at each other repeatedly during the free-wheeling virtual debate.",Metro,New York,,News,By Emma G. Fitzsimmons,
The State of California’s ‘State of Jefferson’,2021-05-26T13:00:49Z,A look at the fascination with secession in the state's rural far north.,https://www.nytimes.com/2021/05/26/us/california-jefferson-secession.html,1129,"Wednesday: In California’s rural far northern counties, furor for the recall has taken hold alongside the region’s fascination with secession.",National,U.S.,,briefing,By Shawn Hubler,
Overcrowded Border Jails Give Way to Packed Migrant Child Shelters,2021-05-07T23:40:07Z,"Federal documents indicate that while the Biden administration has cleared migrant children from border detention centers, now shelters run by the Department of Health and Human Services are strained.",https://www.nytimes.com/2021/05/07/us/politics/migrant-children-shelters.html,1442,"Federal documents indicate that while the Biden administration has cleared migrant children from border detention centers, now shelters run by the Department of Health and Human Services are strained.",Washington,U.S.,Politics,News,"By Eileen Sullivan, Zolan Kanno-Youngs and Luke Broadwater",
