headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"Delta, Trump, Haiti: Your Friday Evening Briefing",2021-07-30T21:49:26Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2021/07/30/briefing/delta-trump-haiti.html,1250,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Whet Moser,
SPACs on Trial,2021-07-30T12:23:39Z,Charges against the founder of Nikola cast a shadow over the blank-check boom.,https://www.nytimes.com/2021/07/30/business/dealbook/spacs-fraud.html,1751,Charges against the founder of Nikola cast a shadow over the blank-check boom.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Lauren Hirsch and Ephrat Livni",
"Sarah Niles Needed ‘Ted Lasso,’ Too",2021-07-30T12:00:08Z,"Like a lot of the show’s fans, the British actress found the fish-out-of-water comedy to be an emotional balm during an exceptionally trying time. Now she’s the latest big addition to the cast.",https://www.nytimes.com/2021/07/30/arts/television/ted-lasso-sarah-niles.html,1450,"Like a lot of the show’s fans, the British actress found the fish-out-of-water comedy to be an emotional balm during an exceptionally trying time. Now she’s the latest big addition to the cast.",Culture,Arts,Television,News,By Christopher Orr,
The Saga of Congress’s Jan. 6 Investigation,2021-07-28T10:00:08Z,Why the House committee looking into the storming of the Capitol is not the kind of body anyone originally wanted.,https://www.nytimes.com/2021/07/28/podcasts/the-daily/capitol-attack-jan-6.html,351,Why the House committee looking into the storming of the Capitol is not the kind of body anyone originally wanted.,Podcasts,Podcasts,The Daily,News,"By Michael Barbaro, Austin Mitchell, Sydney Harper, Daniel Guillemette, Paige Cowett and Chris Wood",
Transcript: Ezra Klein Interviews Ross Douthat,2021-07-27T19:54:03Z,,https://www.nytimes.com/2021/07/27/podcasts/transcript-ezra-klein-interviews-ross-douthat.html,11255,,OpEd,Podcasts,,Op-Ed,,
"Vaccine Mandates, and Anger at the Unvaccinated",2021-07-27T18:54:24Z,"Readers discuss actions taken by a mayor, a governor and the N.F.L. Also: President Biden's spending; a cure for insomnia; Donald Trump's loyalists.",https://www.nytimes.com/2021/07/27/opinion/letters/covid-vaccines.html,1196,"Readers discuss actions taken by a mayor, a governor and the N.F.L. Also: President Biden's spending; a cure for insomnia; Donald Trump's loyalists.",Letters,Opinion,Letters,Letter,,
America Shouldn’t Compete Against China With One Arm Tied Behind Its Back,2021-07-27T09:00:15Z,"Building up domestic manufacturing and innovation is important. But we also need tariffs,  long an effective tool of economic policy.",https://www.nytimes.com/2021/07/27/opinion/us-china-trade-tariffs.html,1135,"Building up domestic manufacturing and innovation is important. But we also need tariffs,  long an effective tool of economic policy.",OpEd,Opinion,,Op-Ed,By Robert E. Lighthizer,
‘It’s Painful’: Infrastructure Talks Near Either a Deal or Collapse,2021-07-27T00:19:47Z,"The negotiations have entered that most excruciating of phases: tantalizingly close to an agreement, but with none in hand. And patience is wearing thin.",https://www.nytimes.com/2021/07/26/us/politics/infrastructure-deal.html,1101,"The negotiations have entered that most excruciating of phases: tantalizingly close to an agreement, but with none in hand. And patience is wearing thin.",Washington,U.S.,Politics,News,By Emily Cochrane,
"Breakthrough Covid, in Perspective",2021-07-26T10:45:04Z,We offer advice about how to think about the cases.,https://www.nytimes.com/2021/07/26/briefing/breakthrough-cases-covid-delta.html,1731,We offer advice about how to think about the cases.,NYTNow,Briefing,,briefing,By David Leonhardt,
Nancy Pelosi Is Working in a World Where the Other Side Won’t Play Fair,2021-07-26T09:00:09Z,How did the Jan. 6 investigation become such a political football?,https://www.nytimes.com/2021/07/26/opinion/jan-6-commission-pelosi.html,1562,How did the Jan. 6 investigation become such a political football?,OpEd,Opinion,,Op-Ed,By Gail Collins and Bret Stephens,
