headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
What a U.S. Debt Default Would Look Like,2021-09-29T12:16:44Z,Market watchers are taking the once-unthinkable possibility seriously.,https://www.nytimes.com/2021/09/29/business/dealbook/debt-limit-default.html,1759,Market watchers are taking the once-unthinkable possibility seriously.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Lauren Hirsch, Ephrat Livni and Anna Schaverien",
Why Is Every Young Person in America Watching ‘The Sopranos’?,2021-09-29T09:00:20Z,The show’s new audience is also seeing something different in it: a parable about a country in terminal decline.,https://www.nytimes.com/2021/09/29/magazine/sopranos.html,6665,The show’s new audience is also seeing something different in it: a parable about a country in terminal decline.,Magazine,Magazine,,News,By Willy Staley,
Manchin and Sinema Should Just Say No,2021-09-28T17:27:30Z,Don’t let the Democrats spend themselves into oblivion.,https://www.nytimes.com/2021/09/28/opinion/biden-infrastructure-congress.html,875,Don’t let the Democrats spend themselves into oblivion.,OpEd,Opinion,,Op-Ed,By Bret Stephens,
"Most N.B.A. Players Are Vaccinated, but Skeptics Speak Out",2021-09-27T23:07:57Z,"More than 90 percent of players have received at least one dose of the vaccine, but some, like Nets guard Kyrie Irving, won’t say if they have been or plan to be vaccinated.",https://www.nytimes.com/2021/09/27/sports/basketball/nba-vaccine-kyrie-irving.html,1036,"More than 90 percent of players have received at least one dose of the vaccine, but some, like Nets guard Kyrie Irving, won’t say if they have been or plan to be vaccinated.",Sports,Sports,Basketball,News,By Sopan Deb,
Tenure in Our Colleges: Problems and Promise,2021-09-27T15:26:30Z,Readers respond to an opinion essay about tenure. Also: The C.D.C. director and boosters; Joe Biden and Donald Trump; the spending bill.,https://www.nytimes.com/2021/09/27/opinion/letters/tenure-college.html,1195,Readers respond to an opinion essay about tenure. Also: The C.D.C. director and boosters; Joe Biden and Donald Trump; the spending bill.,Letters,Opinion,Letters,Letter,,
Red Covid,2021-09-27T10:30:39Z,Covid’s partisan pattern is growing more extreme.,https://www.nytimes.com/2021/09/27/briefing/covid-red-states-vaccinations.html,1638,Covid’s partisan pattern is growing more extreme.,NYTNow,Briefing,,briefing,By David Leonhardt,
Another Crisis at the Border,2021-09-27T10:00:06Z,Thousands of Haitians seeking refuge in the U.S. are being turned away and deported at a time when their nation is unstable and unsafe.,https://www.nytimes.com/2021/09/27/podcasts/the-daily/haiti-migration-us-border-joe-biden.html,374,Thousands of Haitians seeking refuge in the U.S. are being turned away and deported at a time when their nation is unstable and unsafe.,Podcasts,Podcasts,The Daily,News,"By Astead W. Herndon, Eric Krupke, Luke Vander Ploeg, Robert Jimison, Kaitlin Roberts, Alexandra Leigh Young, Paige Cowett, Larissa Anderson, Marion Lozano, Dan Powell and Chris Wood",
This Is No Way to End a Pandemic,2021-09-25T15:00:05Z,"Getting first shots in arms, globally, is more important than any booster program.",https://www.nytimes.com/2021/09/25/opinion/sunday/covid-booster-shots-fda-cdc.html,1220,"Getting first shots in arms, globally, is more important than any booster program.",Editorial,Opinion,Sunday Opinion,Editorial,By The Editorial Board,
Wole Soyinka Is Not Going Anywhere,2021-09-25T08:59:08Z,"The Nobel laureate, whose new novel, “Chronicles From the Land of the Happiest People on Earth,” is his first in nearly 50 years, refuses to back down when he senses that his homeland’s freedom is under threat.",https://www.nytimes.com/2021/09/25/books/wole-soyinka-chronicles-land-happiest-people-earth.html,1334,"The Nobel laureate, whose new novel, “Chronicles From the Land of the Happiest People on Earth,” is his first in nearly 50 years, refuses to back down when he senses that his homeland’s freedom is under threat.",Culture,Books,,News,By Ruth Maclean,
"Huawei, Booster Shots, Britney Spears: Your Friday Evening Briefing",2021-09-24T21:45:48Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2021/09/24/briefing/huawei-booster-shots-britney-spears.html,1247,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Lauren McCarthy,
