headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Markets Aren’t That Spooked by Omicron,2021-11-29T12:14:32Z,Investors are re-pricing the risks of the latest coronavirus variant.,https://www.nytimes.com/2021/11/29/business/dealbook/stock-markets-omicron-variant.html,1855,Investors are re-pricing the risks of the latest coronavirus variant.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",
The Latest on Omicron,2021-11-29T11:28:00Z,What should you assume about the new variant?,https://www.nytimes.com/2021/11/29/briefing/omicron-contagion-what-to-know.html,1399,What should you assume about the new variant?,NYTNow,Briefing,,briefing,By David Leonhardt,
Inside the ‘Misinformation’ Wars,2021-11-29T02:12:06Z,Journalists and academics are developing a new language for truth. The results are not always clearer.,https://www.nytimes.com/2021/11/28/business/media-misinformation-disinformation.html,1823,Journalists and academics are developing a new language for truth. The results are not always clearer.,Business,Business,,News,By Ben Smith,
Your Monday Briefing,2021-11-28T21:11:58Z,An update on the Omicron variant.,https://www.nytimes.com/2021/11/28/briefing/your-monday-briefing.html,1268,An update on the Omicron variant.,NYTNow,Briefing,,briefing,By Amelia Nierenberg,
Can Liberals Survive Progressivism?,2021-11-24T00:27:21Z,The main threat to the Democratic Party comes from the left.,https://www.nytimes.com/2021/11/23/opinion/liberals-survive-progressivism.html,880,The main threat to the Democratic Party comes from the left.,OpEd,Opinion,,Op-Ed,By Bret Stephens,
Will Olympics Sponsors Face Blowback Over Peng Shuai?,2021-11-23T12:53:30Z,Dismay over Olympics organizers’ assertion that the Chinese tennis star is safe and well may put pressure on the games’ corporate partners.,https://www.nytimes.com/2021/11/23/business/dealbook/olympics-peng-shuai.html,1924,Dismay over Olympics organizers’ assertion that the Chinese tennis star is safe and well may put pressure on the games’ corporate partners.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",
The Ronald Reagan Guide to Joe Biden’s Political Future,2021-11-23T10:00:24Z,"It is hard to act as an ambitious president without incurring a penalty, even if your policies are popular.",https://www.nytimes.com/2021/11/23/opinion/biden-reagan-approval.html,1054,"It is hard to act as an ambitious president without incurring a penalty, even if your policies are popular.",OpEd,Opinion,,Op-Ed,By Jamelle Bouie,
The Stakes Behind Elizabeth Holmes’s Taking the Stand,2021-11-22T12:16:30Z,The Theranos founder surprised many by testifying in her fraud trial.,https://www.nytimes.com/2021/11/22/business/dealbook/theranos-elizabeth-holmes.html,1786,The Theranos founder surprised many by testifying in her fraud trial.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",
What We Give Thanks for and What We Say No Thanks To,2021-11-22T10:00:16Z,"The Biden bill, the Rittenhouse verdict and the fate of the Democratic majority.",https://www.nytimes.com/2021/11/22/opinion/thanksgiving-biden-rittenhouse.html,1589,"The Biden bill, the Rittenhouse verdict and the fate of the Democratic majority.",OpEd,Opinion,,Op-Ed,By Gail Collins and Bret Stephens,
100 Notable Books of 2021,2021-11-22T10:00:03Z,"The year’s notable fiction, poetry and nonfiction, selected by the editors of The New York Times Book Review",https://www.nytimes.com/interactive/2021/11/22/books/notable-books.html,0,"The year’s notable fiction, poetry and nonfiction, selected by the editors of The New York Times Book Review",,Books,,Interactive Feature,,
