headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
"Winter Storm, Russia, N.F.L.: Your Weekend Briefing",2022-01-30T11:46:49Z,Here’s what you need to know about the week’s top stories.,https://www.nytimes.com/2022/01/30/briefing/winter-storm-russia-nfl.html,1291,Here’s what you need to know about the week’s top stories.,NYTNow,Briefing,,briefing,By Remy Tumin,
Will a Mask Debate Split Blue States?,2022-01-29T20:00:06Z,The growing normalcy divide within liberal America.,https://www.nytimes.com/2022/01/29/opinion/mask-school-covid-rules.html,858,The growing normalcy divide within liberal America.,OpEd,Opinion,,Op-Ed,By Ross Douthat,
"Is America Falling Apart? If So, Why?",2022-01-29T16:27:51Z,"Responding to a column by David Brooks, readers offer a mix of optimism, pessimism and puzzlement.",https://www.nytimes.com/2022/01/29/opinion/letters/america-falling-apart.html,1223,"Responding to a column by David Brooks, readers offer a mix of optimism, pessimism and puzzlement.",Letters,Opinion,Letters,Letter,,
Convoys of Canadian trucks are en route to Ottawa for a protest against vaccine mandates.,2022-01-28T19:45:55Z,Truckers from across the country aim to converge at on Saturday outside of Parliament to protest federal vaccination mandates.,https://www.nytimes.com/2022/01/28/world/vaccine-protest-ottawa-canada.html,603,Truckers from across the country aim to converge at on Saturday outside of Parliament to protest federal vaccination mandates.,Foreign,World,,News,By Vjosa Isai,
Political Theater on an Ohio Debate Stage,2022-01-28T19:03:57Z,"The Ohio Senate primary is months away, but candidates are already clamoring for attention. That hunger prompted a debate Thursday between a left-wing Democrat and far-right Republican even before voters decide who the eventual nominees will be.",https://www.nytimes.com/interactive/2022/01/28/us/politics/mandel-harper-ohio-senate-debate.html,0,"The Ohio Senate primary is months away, but candidates are already clamoring for attention. That hunger prompted a debate Thursday between a left-wing Democrat and far-right Republican even before voters decide who the eventual nominees will be.",,U.S.,Politics,Interactive Feature,By Trip Gabriel,
How Independent Voters Feel About Biden,2022-01-28T18:40:20Z,Responses to a focus group of independent voters. Also: President Biden and the economy; Boris Johnson; sanctions against Russia; debtors and lawyers.,https://www.nytimes.com/2022/01/28/opinion/letters/independent-voters-biden.html,1305,Responses to a focus group of independent voters. Also: President Biden and the economy; Boris Johnson; sanctions against Russia; debtors and lawyers.,Letters,Opinion,Letters,Letter,,
The Man at the Center of Arizona’s Primary,2022-01-28T00:00:05Z,Spoiler alert: It’s Donald Trump.,https://www.nytimes.com/2022/01/27/us/politics/trump-arizona-primary.html,1407,Spoiler alert: It’s Donald Trump.,Politics,U.S.,Politics,News,By Leah Askarinam and Blake Hounshell,
After Breyer,2022-01-27T11:29:31Z,The latest on the coming Supreme Court nomination.,https://www.nytimes.com/2022/01/27/briefing/stephen-breyer-retirement-biden-nomination.html,1612,The latest on the coming Supreme Court nomination.,NYTNow,Briefing,,briefing,By David Leonhardt,
"Germany, Apart",2022-01-26T11:17:07Z,Donald Trump’s shadow hangs over the Ukraine crisis.,https://www.nytimes.com/2022/01/26/briefing/russia-ukraine-trump-nato.html,1705,Donald Trump’s shadow hangs over the Ukraine crisis.,NYTNow,Briefing,,briefing,By David Leonhardt,
Confessions of a Liberal Heretic,2022-01-26T00:00:05Z,"Ruy Teixeira was co-author of one of the most influential political books of the 21st century. Now, he says, Democrats are getting its lessons all wrong.",https://www.nytimes.com/2022/01/25/us/politics/ruy-teixeira-democrats.html,1668,"Ruy Teixeira was co-author of one of the most influential political books of the 21st century. Now, he says, Democrats are getting its lessons all wrong.",Politics,U.S.,Politics,News,By Blake Hounshell and Leah Askarinam,
