feature,importance
sci_neg_count,1.1481446258461623
sci_norm_neg,0.7711845973954335
sci_pos_count,0.728546207484066
sci_net_score,0.7271156746371807
sci_norm_pos,0.38924264214308485
covid_mentions,0.15762212627250877
question_marks,0.1484282978613045
quote_count,0.13045817858234038
article_length,0.11694979915414663
trump_mentions,0.09640122945804026
death_mentions,0.0851917049912291
tfidf_3a,0.0776364200540202
tfidf_22,0.07425661054657237
tfidf_22 3a,0.07421626782082758
tfidf_fauci,0.07085401265469832
tfidf_2c,0.0693704871914955
tfidf_22 2c,0.0693704871914955
resp_neg_count,0.06535598283992909
tfidf_hydroxychloroquine,0.05016894476122418
tfidf_night,0.047047937285928966
resp_norm_neg,0.04524412034986438
fauci_mentions,0.04467079904697444
tfidf_support,0.03992025786710258
tfidf_claims,0.03691948239039233
tfidf_trump coronavirus,0.0368961571700379
tfidf_claim,0.03465952265525457
tfidf_media,0.031413435179497226
tfidf_br li li,0.03024208641346687
tfidf_2020,0.03001612447015046
resp_net_score,0.029780880733639128
tfidf_world 2020 apr,0.02771716017394069
tfidf_li href https,0.027661495160149013
tfidf_li href,0.027661495160149013
tfidf_drug,0.02762747447128341
tfidf_com news,0.02735130774258203
tfidf_theguardian com news,0.02735130774258203
tfidf_public,0.026800314652241208
tfidf_governor,0.026786596340787158
tfidf_https support,0.02610180398660589
tfidf_https support theguardian,0.02610180398660589
tfidf_support theguardian,0.02610180398660589
tfidf_href https support,0.02610180398660589
tfidf_support theguardian com,0.02610180398660589
tfidf_06,0.026045614804126673
tfidf_cuomo,0.025837783471397157
tfidf_2020 apr,0.02579942881339474
tfidf_apr,0.02579942881339474
tfidf_br li,0.025487375104611666
tfidf_amp,0.025373513350429984
tfidf_world 2020,0.02504385290573688
tfidf_com world 2020,0.02504270219564189
tfidf_impeachment,0.024972246596286357
tfidf_amid,0.024952618943010995
tfidf_com uk,0.02488881544889698
tfidf_theguardian com uk,0.02488881544889698
resp_norm_pos,0.024837381008327063
tfidf_make,0.024008272640516408
tfidf_latest coronavirus live,0.023906590064087577
resp_pos_count,0.023810702939297816
tfidf_economy,0.0234621970817044
tfidf_https www,0.02340374931642156
tfidf_href https www,0.02340374931642156
tfidf_www,0.02340374931642156
tfidf_www theguardian com,0.02340174469215863
tfidf_www theguardian,0.02340174469215863
tfidf_https www theguardian,0.02340174469215863
tfidf_pandemic,0.02326571500283543
tfidf_reopen,0.023176752319746682
tfidf_health,0.023015046749975482
tfidf_https,0.022964347326093565
tfidf_href,0.02296387804352182
tfidf_href https,0.02296387804352182
tfidf_com news series,0.022901714445187495
tfidf_news series,0.022857835026374757
tfidf_news series politics,0.022857835026374757
tfidf_series politics live,0.022857835026374757
tfidf_series politics,0.022857835026374757
tfidf_live updates li,0.02267362070677939
tfidf_ul li href,0.022585959015705072
tfidf_politics live latest,0.02256966277628005
tfidf_br,0.022318049806474276
tfidf_politics,0.02182085827182936
tfidf_live updates,0.021604149679273644
tfidf_coronavirus live updates,0.021191652921059668
