feature,importance
resp_neg_count,1.237290009553903
resp_norm_neg,1.0856304426533485
resp_net_score,1.0154651306213616
resp_pos_count,0.7829856332524677
resp_norm_pos,0.6332955512290526
article_length,0.19599562557069877
death_mentions,0.18360657061151547
question_marks,0.14085771195917604
covid_mentions,0.14025860957290695
exclamation_marks,0.09933934954003931
tfidf_pandemic,0.08833346021126712
tfidf_emergency,0.06011100865256688
tfidf_test,0.05940426423475882
quote_count,0.05676973219084663
sci_neg_count,0.05630340494038618
sci_norm_neg,0.05551966763078427
tfidf_president,0.05528887742085546
tfidf_campaign,0.05245096340565915
fauci_mentions,0.04888918688243546
tfidf_virus,0.048287868096529005
tfidf_australia,0.04471316397951637
sci_norm_pos,0.042883224101723454
tfidf_passes,0.04171978232679768
sci_pos_count,0.040593701075292275
tfidf_white house,0.036008833676548155
tfidf_testing,0.03532726945234348
tfidf_house,0.03504977786993251
tfidf_white,0.03433451955649197
tfidf_america,0.03425811403958065
tfidf_hosts,0.03407167816442214
sci_net_score,0.03255494721772809
tfidf_email,0.03182498371295951
tfidf_new,0.031652204953374584
tfidf_coronavirus,0.030592590939493285
tfidf_strong,0.030301640767586013
tfidf_says,0.02841162158531005
tfidf_death,0.028228540504409295
tfidf_3a,0.027961424849987773
tfidf_daily,0.027396537511069723
tfidf_22 3a,0.02675795422082052
tfidf_sign,0.026301226720200948
tfidf_22,0.026239773182825284
tfidf_biden,0.026031064791486633
trump_mentions,0.02502351259768535
tfidf_22 2c,0.0250148735574171
tfidf_2c,0.0250148735574171
tfidf_health,0.024862730780195852
tfidf_australia news 2020,0.02393689699781712
tfidf_02,0.022856603757148212
tfidf_election,0.022723975040353096
tfidf_updates br,0.022246867368806534
tfidf_li,0.021098669657251923
tfidf_news 2020 oct,0.02103811425564532
tfidf_say,0.020945787195669075
tfidf_theguardian com australia,0.020672261669100044
tfidf_com australia,0.020672261669100044
tfidf_com australia news,0.020672261669100044
tfidf_reopening,0.020655994761426984
tfidf_australia news,0.020592872329708446
tfidf_plan,0.02051205009377655
tfidf_14 coronavirus,0.020500343691673792
tfidf_14,0.02003802270862911
tfidf_late night hosts,0.018963666594374103
tfidf_late night,0.018887235680772628
tfidf_update,0.01874875706394289
tfidf_government,0.018655220861856225
tfidf_18,0.018583450182422245
tfidf_newsletter,0.01852310314642769
tfidf_quarantine,0.01833732816413386
tfidf_briefing,0.01817555491527719
tfidf_federal,0.017859598136356694
tfidf_li li,0.017397813829332594
tfidf_late,0.0167631352758841
tfidf_weekly,0.01659303680041762
tfidf_experts,0.016243124234425827
tfidf_coronavirus live updates,0.01597451904860669
tfidf_live 2020 mar,0.015886250000167926
tfidf_media,0.015782011594085443
tfidf_europe,0.015693649000810828
tfidf_2020 oct,0.015468432493613796
tfidf_oct,0.015468432493613796
tfidf_li li href,0.015253443291642115
tfidf_lives,0.014960339057533075
tfidf_second,0.014935276784379534
tfidf_cases,0.014912864454895787
tfidf_19,0.014698535555668323
tfidf_covid 19,0.01429075024123094
tfidf_live latest live,0.014234210384684275
tfidf_latest live global,0.014234210384684275
tfidf_italy,0.014122245287831289
tfidf_live global updates,0.013996919465511175
tfidf_latest live,0.013989019793755015
tfidf_informed thing,0.013912453286662844
tfidf_sign href,0.013912453286662844
tfidf_sign href https,0.013912453286662844
tfidf_informed thing newsletter,0.013912453286662844
tfidf_stay informed thing,0.013912453286662844
tfidf_thing newsletter,0.013912453286662844
tfidf_live trump,0.013878030538510172
tfidf_live global,0.013818210325706383
tfidf_sep,0.013793037318025508
tfidf_night,0.013726427340168776
tfidf_guardian,0.013635047910021304
tfidf_latest updates,0.013567067138434512
tfidf_new york,0.013340017560643833
tfidf_york,0.013340017560643833
tfidf_2020 mar,0.013220424196439578
tfidf_mar,0.013220424196439578
tfidf_response,0.013160658199708814
tfidf_thing newsletter li,0.013059152692557663
tfidf_global,0.012736284336411245
tfidf_world,0.012686275739709933
tfidf_updates li,0.012518169595802504
tfidf_news 2020 aug,0.01248034988354974
tfidf_updates li li,0.012245549098736548
tfidf_live latest,0.012200831754912558
tfidf_democrats,0.012182037342395292
tfidf_sep 17,0.012181933109317509
tfidf_morning briefing,0.012177308294436924
tfidf_2018 sep 17,0.01217709746884265
tfidf_17 guardian morning,0.01217709746884265
tfidf_17 guardian,0.01217709746884265
tfidf_2018 sep,0.01217709746884265
tfidf_sep 17 guardian,0.01217709746884265
tfidf_sign stay,0.01217709746884265
tfidf_briefing sign stay,0.01217709746884265
tfidf_morning briefing sign,0.01217709746884265
tfidf_stay informed,0.01217709746884265
tfidf_briefing sign,0.01217709746884265
